"09014PRIMARY CARE CLINIC","12478040","10102012","22580052","-3704345","18875707","-1448422","17427285", , , , , , , , , , , , 
"09015PSYCHIATRY CLINIC","641046","420109","1061155","-377307","683848","-43009","640839", , , , , , , , , , , , 
"09016PULMONARY CLINIC","369475","263530","633005","-138953","494052","-68977","425075", , , , , , , , , , , , 
"09017SPORTS MEDICINE CLINIC","661594","702167","1363761","-447922","915839","-94251","821588", , , , , , , , , , , , 
"09018SURGERY CLINIC","2696748","1607250","4303998","-449159","3854839","-315807","3539032", , , , , , , , , , , , 
"09019TRANSPLANT - HEART","938305","433912","1372217","-707795","664422","-56477","607945", , , , , , , , , , , , 
"09020TRANSPLANT - LIVER","790148","379308","1169456","-118303","1051153","-132114","919039", , , , , , , , , , , , 
"09021TRANSPLANT - LUNG","108873","-17183","91690","133318","225008","-25057","199951", , , , , , , , , , , , 
"09022TRANSPLANT - KIDNEY/PANCREAS","816568","227939","1044507","-60867","983640","-20611","963029", , , , , , , , , , , , 
"09023TRANSPLANT - BONE MARROW","251778","141126","392904","-20525","372379","-137048","235331", , , , , , , , , , , , 
"09024TRANSPLANT - MED SUPPORT","933044","546708","1479752","-748871","730881","-148316","582565", , , , , , , , , , , , 
"09025UROLOGY CLINIC","1409107","1216456","2625563","-561937","2063626","-130465","1933161", , , , , , , , , , , , 
"09100EMERGENCY","13702067","8039245","21741312","-380782","21360530","-2846261","18514269", , , , , , , , , , , , 
"09200OBSERVATION BEDS (NON-DISTINCT", , , , , , , , , , , , , , , , , , , 
"09201OBSERVATION BEDS (DIST) 1", , , , , , , , , , , , , , , , , , , 
"09500AMBULANCE SERVICES","674631","1393349","2067980","779","2068759","-4655","2064104", , , , , , , , , , , , 
"09910CORF", , , , , , , , , , , , , , , , , , , 
"09920OUTPATIENT PHYSICAL THERAPY", , , , , , , , , , , , , , , , , , , 
"09930OUTPATIENT OCCUPATIONAL THERAPY", , , , , , , , , , , , , , , , , , , 
"09940OUTPATIENT SPEECH PATHOLOGY", , , , , , , , , , , , , , , , , , , 
"10500KIDNEY ACQUISITION","726571","6476063","7202634","4237772","11440406","-4473604","6966802", , , , , , , , , , , , 
"10600HEART ACQUISITION","1040528","2404867","3445395","1268455","4713850","-1056504","3657346", , , , , , , , , , , , 
"10700LIVER ACQUISITION","744454","8262444","9006898","2379555","11386453","2480874","13867327", , , , , , , , , , , , 
"10800LUNG ACQUISITION","415184","1197837","1613021","67137","1680158","103065","1783223", , , , , , , , , , , , 
"10900PANCREAS ACQUISITION","49549","853283","902832","292929","1195761","154287","1350048", , , , , , , , , , , , 
"08601HLA LAB","705855","1553500","2259355","-1828826","430529","-430529", , , , , , , , , , , , , 
"11300INTEREST EXPENSE", ,"30869084","30869084","-30869084", , , , , , , , , , , , , , , 
 ,"303156952","813590045","1116746997","50573008","1167320005","-239754979","927565026", , , , , , , , , , , , 
"19100RESEARCH", , , , , , , , , , , , , , , , , , , 
"19101GUEST MEALS", , , , , , , , , , , , , , , , , , , 
"19200PHYSICIANS PRIVATE OFFICES", ,"940440","940440","-245041","695399","-59573","635826", , , , , , , , , , , , 
"19300NONPAID WORKERS", , , , , , , , , , , , , , , , , , , 
"19301VACANT SPACE", , , , , , , , , , , , , , , , , , , 
"07950BLANK", , , , , , , , , , , , , , , , , , , 
"07951NON ALLOW OH","4274306","3267823","7542129","7892070","15434199","-1103849","14330350", , , , , , , , , , , , 
"07952NON ALLOWABLE A&G","80707","289016","369723","2307","372030","-29809","342221", , , , , , , , , , , , 
"07953NON ALLOWABLE THERAPY","1136426","293691","1430117","-20016","1410101","5008","1415109", , , , , , , , , , , , 
"07954NON ALLOWABLE O/P PHARMACY","1619937","253262","1873199","-530201","1342998","3223","1346221", , , , , , , , , , , , 
"07955OCHSNER CLINIC","301773046","47759536","349532582","-59951901","289580681","-11752316","277828365", , , , , , , , , , , , 
"07956BOARD DESIGNATED/RESTRICT","2860157","3420006","6280163","2279441","8559604","-253312","8306292", , , , , , , , , , , , 
"07957DME","66305","156778","223083","333","223416","354","223770", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000A0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000A0[00000])","Entity[563455] Report(A6000A0[00100])", ,"Entity[563455] Report(A6000A0[00300])", ,"Entity[563455] Report(A6000A0[00500])", ,"Entity[563455] Report(A6000A0[00700])", ,"Entity[563455] Report(A6000A0[00900])", , , , , , , , , , 
"EKG STRESS TESTS","A", ,"59", ,"612078", ,"194", ,"612078", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000B0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000B0[00000])","Entity[563455] Report(A6000B0[00100])", ,"Entity[563455] Report(A6000B0[00300])","Entity[563455] Report(A6000B0[00400])","Entity[563455] Report(A6000B0[00500])", ,"Entity[563455] Report(A6000B0[00700])","Entity[563455] Report(A6000B0[00800])","Entity[563455] Report(A6000B0[00900])", , , , , , , , , , 
"PARAMED EDUC ADMIN","B", ,"23","29960","7206", ,"23","29960","7206", , , , , , , , , , 
"PARAMED EDUC ADMIN","B", ,"5", ,"1626", ,"23", ,"1626", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000C0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000C0[00000])","Entity[563455] Report(A6000C0[00100])", ,"Entity[563455] Report(A6000C0[00300])","Entity[563455] Report(A6000C0[00400])","Entity[563455] Report(A6000C0[00500])", ,"Entity[563455] Report(A6000C0[00700])","Entity[563455] Report(A6000C0[00800])","Entity[563455] Report(A6000C0[00900])", , , , , , , , , , 
"RADIOLOGY OP MANAGER/SUP SPREAD","C", ,"54","2081","416", ,"54","147729","29547", , , , , , , , , , 
"RADIOLOGY OP MANAGER/SUP SPREAD","C", ,"54","24968","4994", , , , , , , , , , , , , , 
"RADIOLOGY OP MANAGER/SUP SPREAD","C", ,"54","22888","4578", , , , , , , , , , , , , , 
"RADIOLOGY OP MANAGER/SUP SPREAD","C", ,"57","70743","14149", , , , , , , , , , , , , , 
"RADIOLOGY OP MANAGER/SUP SPREAD","C", ,"58","27049","5410", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000D0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000D0[00000])","Entity[563455] Report(A6000D0[00100])", ,"Entity[563455] Report(A6000D0[00300])","Entity[563455] Report(A6000D0[00400])","Entity[563455] Report(A6000D0[00500])", ,"Entity[563455] Report(A6000D0[00700])","Entity[563455] Report(A6000D0[00800])","Entity[563455] Report(A6000D0[00900])", , , , , , , , , , 
"NURSERY","D", ,"43","1841270","499462", ,"30","1841270","499462", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000E0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000E0[00000])","Entity[563455] Report(A6000E0[00100])", ,"Entity[563455] Report(A6000E0[00300])", ,"Entity[563455] Report(A6000E0[00500])", ,"Entity[563455] Report(A6000E0[00700])", ,"Entity[563455] Report(A6000E0[00900])", , , , , , , , , , 
"MALPRACTICE EXPENSE","E", ,"5", ,"18549271", ,"21", ,"2943779", , , , , , , , , , 
"MALPRACTICE EXPENSE","E", , , , , ,"35", ,"27410", , , , , , , , , , 
"MALPRACTICE EXPENSE","E", , , , , ,"59", ,"16294", , , , , , , , , , 
"MALPRACTICE EXPENSE","E", , , , , ,"112", ,"6101", , , , , , , , , , 
"MALPRACTICE EXPENSE","E", , , , , ,"194", ,"15555687", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000F0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000F0[00000])","Entity[563455] Report(A6000F0[00100])", ,"Entity[563455] Report(A6000F0[00300])","Entity[563455] Report(A6000F0[00400])","Entity[563455] Report(A6000F0[00500])", ,"Entity[563455] Report(A6000F0[00700])","Entity[563455] Report(A6000F0[00800])","Entity[563455] Report(A6000F0[00900])", , , , , , , , , , 
"REVERSE TRANSPLANT PAYROLL RECLASS","F", ,"90","639788","121561", ,"105","446177","84770", , , , , , , , , , 
"REVERSE TRANSPLANT PAYROLL RECLASS","F", ,"90","411833","78254", ,"106","639788","121561", , , , , , , , , , 
"REVERSE TRANSPLANT PAYROLL RECLASS","F", ,"90","235339","44720", ,"107","411833","78254", , , , , , , , , , 
"REVERSE TRANSPLANT PAYROLL RECLASS","F", ,"90","446177","84770", ,"108","235339","44720", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000G0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000G0[00000])","Entity[563455] Report(A6000G0[00100])", ,"Entity[563455] Report(A6000G0[00300])", ,"Entity[563455] Report(A6000G0[00500])", ,"Entity[563455] Report(A6000G0[00700])", ,"Entity[563455] Report(A6000G0[00900])", , , , , , , , , , 
"BAPTIST MOB UTILITIES","G", ,"7", ,"240725", ,"192", ,"240725", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000H0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000H0[00000])","Entity[563455] Report(A6000H0[00100])", ,"Entity[563455] Report(A6000H0[00300])", ,"Entity[563455] Report(A6000H0[00500])", ,"Entity[563455] Report(A6000H0[00700])", ,"Entity[563455] Report(A6000H0[00900])", , , , , , , , , , 
"MEDICAL SUPPLIES","H", ,"71", ,"53661163", ,"30", ,"2747886", , , , , , , , , , 
"MEDICAL SUPPLIES","H", ,"72", ,"48764287", ,"31", ,"1478873", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"32", ,"954252", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"35", ,"201415", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"35", ,"509435", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"40", ,"6985", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"41", ,"46640", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"44", ,"76390", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"50", ,"48730512", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"50", ,"6725407", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"50", ,"5256", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"51", ,"323802", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"52", ,"684799", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"53", ,"1775134", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"54", ,"4325973", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"54", ,"193458", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"54", ,"130147", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"54", ,"94326", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"54", ,"1014555", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"55", ,"201579", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"57", ,"261288", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"58", ,"77497", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"59", ,"22901603", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"63", ,"1549265", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"65", ,"803079", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"66", ,"60517", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"68", ,"259", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"70", ,"158", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"74", ,"554041", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"75", ,"262902", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"75", ,"1635383", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"46171", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"31648", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"113346", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"64906", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"53866", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"40883", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"201966", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"74777", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"85802", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"74662", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"102335", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"19880", , , , , , , , , , 
