"02102ANES", , , ,"5585310","5585310", ,"5585310", , , , , , , , , , , , 
"02103PATH", , , , , , , , , , , , , , , , , , , 
"02104RADIOLOGY DIAG", , , ,"2845721","2845721", ,"2845721", , , , , , , , , , , , 
"02105RAD MED", , , ,"123677","123677", ,"123677", , , , , , , , , , , , 
"02200I&R SERVICES-OTHER PRGM COSTS A", , , , , , , , , , , , , , , , , , , 
"02201M & S", , , ,"44129618","44129618","880235","45009853", , , , , , , , , , , , 
"02202ANES", , , ,"55424","55424","2627827","2683251", , , , , , , , , , , , 
"02203PATH", , , ,"456480","456480","2453669","2910149", , , , , , , , , , , , 
"02204RADIOLOGY DIAG", , , ,"653826","653826","2030933","2684759", , , , , , , , , , , , 
"02205RAD MED", , , ,"209883","209883","823325","1033208", , , , , , , , , , , , 
"02300PARAMED ED PRGM-(SPECIFY)", , , ,"236583","236583", ,"236583", , , , , , , , , , , , 
"02301PARAMED ED -  PSYCH", , , ,"377542","377542", ,"377542", , , , , , , , , , , , 
"02302PARAMED ED - ADMIN GF", , , ,"374618","374618", ,"374618", , , , , , , , , , , , 
"02303PARAMED ED - PT IHP", , , , , ,"29898","29898", , , , , , , , , , , , 
"02304PARAMED ED - SPEECH", , , , , ,"464501","464501", , , , , , , , , , , , 
"02305PARAMED ED -MEDI PHYSICS", , , ,"454745","454745", ,"454745", , , , , , , , , , , , 
"02306PARAMEDICAL PHARMACY", , , ,"240323","240323", ,"240323", , , , , , , , , , , , 
"02307PARAMEDICAL DIGITAL IMAGING", , , , , , , , , , , , , , , , , , , 
"03000ADULTS & PEDIATRICS","160059095","77420361","237479456","-4944173","232535283","-6379911","226155372", , , , , , , , , , , , 
"03100INTENSIVE CARE UNIT","10818147","5477944","16296091","-154829","16141262","-1471","16139791", , , , , , , , , , , , 
"03200CORONARY CARE UNIT","6653880","3350034","10003914","-88476","9915438", ,"9915438", , , , , , , , , , , , 
"03300BURN INTENSIVE CARE UNIT","604992","920545","1525537","-32719","1492818", ,"1492818", , , , , , , , , , , , 
"03400SURGICAL INTENSIVE CARE UNIT","7902366","4208187","12110553","-121464","11989089", ,"11989089", , , , , , , , , , , , 
"02180TRAUMA INTENSIVE CARE","24421479","13142070","37563549","-589479","36974070","-698133","36275937", , , , , , , , , , , , 
"02080PEDIATRIC INTENSIVE CAR","11969704","5572896","17542600","-178485","17364115", ,"17364115", , , , , , , , , , , , 
"04000SUBPROVIDER - IPF","5288616","2073529","7362145","-48847","7313298", ,"7313298", , , , , , , , , , , , 
"04300NURSERY","4968556","2110042","7078598","-28179","7050419", ,"7050419", , , , , , , , , , , , 
"05000OPERATING ROOM","73431621","126609734","200041355","-29487485","170553870","-2378275","168175595", , , , , , , , , , , , 
"05100RECOVERY ROOM","17441197","7999645","25440842","-274682","25166160","-1659","25164501", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","9995875","4762913","14758788","35047","14793835","-1533445","13260390", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","14616684","23408998","38025682","-11451213","26574469","-6980468","19594001", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","40516651","40641512","81158163","-28595310","52562853","-172120","52390733", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC","17752735","16517798","34270533","-3077523","31193010","-25759","31167251", , , , , , , , , , , , 
"05501PROTON BEAM","6257545","4156518","10414063","634683","11048746","-922658","10126088", , , , , , , , , , , , 
"05700CT SCAN","5094406","6813324","11907730","8903598","20811328","-14058","20797270", , , , , , , , , , , , 
"05800MRI","5989827","6901724","12891551","7006653","19898204","-3000","19895204", , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","4796568","17038115","21834683","-8854771","12979912","-2195883","10784029", , , , , , , , , , , , 
"06000LABORATORY","32672537","42617893","75290430","-4092394","71198036","-2200536","68997500", , , , , , , , , , , , 
"06001TISSUE TYPING LAB","620201","521895","1142096","-6249","1135847", ,"1135847", , , , , , , , , , , , 
"06250BLOOD CLOTTING FOR HEMOPHILIACS", , , , , , , , , , , , , , , , , , , 
"06300BLOOD STORING  PROCESSING & TRA","6448360","19240239","25688599","-342244","25346355","-542","25345813", , , , , , , , , , , , 
"06400INTRAVENOUS THERAPY", , , , , , , , , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","8012452","5826237","13838689","-62027","13776662", ,"13776662", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","16640051","8413048","25053099","-212996","24840103","-109650","24730453", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","376088","357173","733261","-13862","719399","-12690","706709", , , , , , , , , , , , 
"03280CARDIOLOGY","6285984","20964905","27250889","-8559667","18691222","-1620952","17070270", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","4313356","8377973","12691329","-435453","12255876","-877306","11378570", , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT","496197","1890876","2387073","22230508","24617581", ,"24617581", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"32134230","32134230", ,"32134230", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", ,"63337279","63337279","-63292294","44985", ,"44985", , , , , , , , , , , , 
"07400RENAL DIALYSIS","3897660","2951302","6848962","-462898","6386064","-425242","5960822", , , , , , , , , , , , 
"03950OTH ANCILLARY SERVICE C","6154227","11369429","17523656","-5200928","12322728","-1432565","10890163", , , , , , , , , , , , 
"07697CARDIAC REHABILITATION","822550","528389","1350939","-43168","1307771","-3036","1304735", , , , , , , , , , , , 
"07698HYPERBARIC OXYGEN THERAPY", , , , , , , , , , , , , , , , , , , 
"07699LITHOTRIPSY", , , , , , , , , , , , , , , , , , , 
"09000CLINIC","112941849","92642141","205583990","-10222948","195361042","-47693665","147667377", , , , , , , , , , , , 
"09100EMERGENCY","27533365","18184038","45717403","-482127","45235276","-2397856","42837420", , , , , , , , , , , , 
"09200OBSERVATION BEDS (NON-DISTINCT", , , , , , , , , , , , , , , , , , , 
"09201OBSERVATION BEDS-DISTINCT","1615152","3499695","5114847","-21045","5093802","-2499192", , , , , , , , , , , , , 
"09400HOME PROGRAM DIALYSIS","789182","824838","1614020","-128401","1485619","-39634","1445985", , , , , , , , , , , , 
"10500KIDNEY ACQUISITION","4540931","4980757","9521688","-4653986","4867702","-722967","4144735", , , , , , , , , , , , 
"10600HEART ACQUISITION","463943","1027642","1491585","-218838","1272747","-70544","1202203", , , , , , , , , , , , 
"10700LIVER ACQUISITION","1114189","3378428","4492617","169660","4662277","-261952","4400325", , , , , , , , , , , , 
"10800LUNG ACQUISITION","370949","1220863","1591812","-62950","1528862","-55640","1473222", , , , , , , , , , , , 
"10900PANCREAS ACQUISITION","99532","201966","301498","-237946","63552","-13507","50045", , , , , , , , , , , , 
"11000INTESTINAL ACQUISITION","94831","74113","168944","-148381","20563", ,"20563", , , , , , , , , , , , 
"11100ISLET ACQUISITION", , , ,"168267","168267", ,"168267", , , , , , , , , , , , 
"08600OTHER ORGAN ACQUISITION (SPECIF","913219","502244","1415463","-90069","1325394","-170515","1154879", , , , , , , , , , , , 
 ,"960076579","1358607173","2147483647","47980236","2147483647","-138020101","2147483647", , , , , , , , , , , , 
"19000GIFT  FLOWER  COFFEE SHOP & CAN","5571876","25965408","31537284","-16933111","14604173","-2690074","11914099", , , , , , , , , , , , 
"19101RESEARCH ADMIN & GENERAL","5006689","2639356","7646045","13606279","21252324","29908886","51161210", , , , , , , , , , , , 
"19102RESEARCH AND TRAINING","278972732","366811516","645784248","-28327218","617457030","-4009262","613447768", , , , , , , , , , , , 
"19103OTHER FUNDS","30909952","58447731","89357683","-2387806","86969877","-17622617","69347260", , , , , , , , , , , , 
"19104CRC- RESEARCH FUNDS","2338977","892069","3231046","991650","4222696", ,"4222696", , , , , , , , , , , , 
"19105GCRC","1124484","507839","1632323","-714471","917852", ,"917852", , , , , , , , , , , , 
"19106GCRC OUTPATIENT", , , , , , , , , , , , , , , , , , , 
"19200PHYSICIANS PRIVATE OFFICES","9818053","4397506","14215559","-14215559", , , , , , , , , , , , , , , 
"19201HOSPICE", , , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000A0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000A0[00000])","Entity[572875] Report(A6000A0[00100])", ,"Entity[572875] Report(A6000A0[00300])", ,"Entity[572875] Report(A6000A0[00500])", ,"Entity[572875] Report(A6000A0[00700])", ,"Entity[572875] Report(A6000A0[00900])","Entity[572875] Report(A6000A0[01000])", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"2276859", ,"1", ,"95226414","11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"2326605", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"415447", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"16756292", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"753604", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"3725274", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"428733", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"2776624", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"4274978", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"36948", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"958501", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"381579", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"814948", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"60463", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"1065915", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"304968", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"135184", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"4228653", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"2361406", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"159045", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"1617469", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"14049742", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"3601085", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"8808638", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"4946541", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"758539", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"9622429", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"969829", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"56770", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"321923", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"3339035", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"1547476", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"797926", , , , ,"11", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"546986", , , , ,"11", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000B0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000B0[00000])","Entity[572875] Report(A6000B0[00100])", ,"Entity[572875] Report(A6000B0[00300])", ,"Entity[572875] Report(A6000B0[00500])", ,"Entity[572875] Report(A6000B0[00700])", ,"Entity[572875] Report(A6000B0[00900])","Entity[572875] Report(A6000B0[01000])", , , , , , , , , 
"MME DEPRECIATION","B", ,"2", ,"23340086", ,"1", ,"130","9", , , , , , , , , 
"MME DEPRECIATION","B", , , , , ,"5", ,"8072212","9", , , , , , , , , 
"MME DEPRECIATION","B", , , , , ,"6", ,"12665472", , , , , , , , , , 
"MME DEPRECIATION","B", , , , , ,"6", ,"2602272", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000C0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000C0[00000])","Entity[572875] Report(A6000C0[00100])", ,"Entity[572875] Report(A6000C0[00300])", ,"Entity[572875] Report(A6000C0[00500])", ,"Entity[572875] Report(A6000C0[00700])", ,"Entity[572875] Report(A6000C0[00900])","Entity[572875] Report(A6000C0[01000])", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"151467", ,"1", ,"7451047","11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"154777", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"27637", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"2011010", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"2458", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"63764", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"25384", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"54214", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"4022", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"70910", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"20288", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"8993", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"668781", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"157092", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"10580", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"107602", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"934654", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"239561", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"418359", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"329067", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"50462", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"640129", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"64518", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"3777", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"21416", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"222128", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"102945", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"53082", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"36388", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"50133", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"247823", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"28521", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"184714", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE","C", ,"1", ,"284391", , , , ,"11", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000D0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000D0[00000])","Entity[572875] Report(A6000D0[00100])", ,"Entity[572875] Report(A6000D0[00300])", ,"Entity[572875] Report(A6000D0[00500])", ,"Entity[572875] Report(A6000D0[00700])", ,"Entity[572875] Report(A6000D0[00900])", , , , , , , , , , 
"FIN 47","D", ,"3", ,"1072620", ,"5", ,"1072620", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
