"----------"," Entity 558727"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"03100INTENSIVE CARE UNIT","13709675","6770726","20480401","-5404020","15076381", ,"15076381", , , , , , , , , , , , 
"03200CORONARY CARE UNIT","10377015","5693041","16070056","-4579672","11490384", ,"11490384", , , , , , , , , , , , 
"03201NEONATAL INTENSIVE CARE UNIT","4282369","1823205","6105574","-1419370","4686204","-32805","4653399", , , , , , , , , , , , 
"03300BURN INTENSIVE CARE UNIT","1385606","583637","1969243","-414474","1554769","729","1555498", , , , , , , , , , , , 
"03400SURGICAL INTENSIVE CARE UNIT", , , , , , , , , , , , , , , , , , , 
"03405SURGICAL INTENSIVE CARE UNIT", , , , , , , , , , , , , , , , , , , 
"03401UH SURG 6IC","3464880","2253666","5718546","-1846487","3872059","-15806","3856253", , , , , , , , , , , , 
"03402UH NS 3IC", ,"4668","4668","-4668", , , , , , , , , , , , , , , 
"03403RH PED IC","7666254","4026500","11692754","-3209054","8483700","-30680","8453020", , , , , , , , , , , , 
"03404TRANSPLANT ICU","1926985","1040533","2967518","-819907","2147611", ,"2147611", , , , , , , , , , , , 
"03407PEDS CANCER CARE","1197740","650489","1848229","-430775","1417454","-59167","1358287", , , , , , , , , , , , 
"04000SUBPROVIDER - IPF","3170353","2041224","5211577","-737525","4474052","-997582","3476470", , , , , , , , , , , , 
"04100SUBPROVIDER - IRF", , , , , , , , , , , , , , , , , , , 
"04200SUBPROVIDER", , , , , , , , , , , , , , , , , , , 
"04300NURSERY","2221967","1067559","3289526","832033","4121559","-169941","3951618", , , , , , , , , , , , 
"04400SKILLED NURSING FACILITY", , , , , , , , , , , , , , , , , , , 
"04500NURSING FACILITY", , , , , , , , , , , , , , , , , , , 
"04510ICF/MR", , , , , , , , , , , , , , , , , , , 
"04600OTHER LONG TERM CARE", , , , , , , , , , , , , , , , , , , 
"05000OPERATING ROOM","30632978","110739528","141372506","-103689885","37682621","-858099","36824522", , , , , , , , , , , , 
"05001ENDOSCOPY","1106680","1286792","2393472","-1073253","1320219", ,"1320219", , , , , , , , , , , , 
"05100RECOVERY ROOM","5625603","2298029","7923632","-1785362","6138270","-26","6138244", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM", , , ,"7781110","7781110", ,"7781110", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","1411453","14626627","16038080","-5066020","10972060","-8990844","1981216", , , , , , , , , , , , 
"05301PULMONARY FUNCTION TESTING","2522875","1531865","4054740","-1124083","2930657","-12344","2918313", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","25896553","34255484","60152037","-24142974","36009063","-1099455","34909608", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC","4351584","3026497","7378081","-2208892","5169189","-385695","4783494", , , , , , , , , , , , 
"05600RADIOISOTOPE","852791","4947226","5800017","-4772820","1027197","-1046","1026151", , , , , , , , , , , , 
"05700CT SCAN", , , , , , , , , , , , , , , , , , , 
"05800MRI", , , , , , , , , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","880245","4942419","5822664","-4771275","1051389","-18542","1032847", , , , , , , , , , , , 
"06000LABORATORY","31470351","60728972","92199323","-35214081","56985242","-38229711","18755531", , , , , , , , , , , , 
"06001TRANSPLANT IMMUNOLOGY","896016","2787542","3683558","-1368734","2314824","-54490","2260334", , , , , , , , , , , , 
"06002BONE MARROW TRANSPLANT LAB","935354","1372285","2307639","-1254423","1053216","1652","1054868", , , , , , , , , , , , 
"06100PBP CLINICAL LAB SERVICES-PRGM", , , , , , , , , , , , , , , , , , , 
"06200WHOLE BLOOD & PACKED RED BLOOD", , , , , , , , , , , , , , , , , , , 
"06300BLOOD STORING  PROCESSING & TRA","3087457","14134288","17221745","-13894955","3326790","-3746","3323044", , , , , , , , , , , , 
"06400INTRAVENOUS THERAPY", , , , , , , , , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","19616859","10852703","30469562","-9179365","21290197","-24","21290173", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","10928383","4902214","15830597","-3172810","12657787","-89806","12567981", , , , , , , , , , , , 
"06700OCCUPATIONAL THERAPY","2210105","811918","3022023","-627284","2394739", ,"2394739", , , , , , , , , , , , 
"06800SPEECH PATHOLOGY","3132880","3420947","6553827","-3133320","3420507", ,"3420507", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","2531437","3160967","5692404","-894093","4798311","-2552811","2245500", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","3837212","2653320","6490532","-1588008","4902524","-325239","4577285", , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT","192239","233987","426226","34349622","34775848", ,"34775848", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"60197532","60197532", ,"60197532", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", , , ,"137297780","137297780", ,"137297780", , , , , , , , , , , , 
"07301RENAL-RILEY", , , , , , , , , , , , , , , , , , , 
"07302RENAL-ADULT", , , , , , , , , , , , , , , , , , , 
"07303OUTPATIENT RETAIL PHARMACY","7060601","46945746","54006347","-44919531","9086816","-675544","8411272", , , , , , , , , , , , 
"07400RENAL DIALYSIS","6275635","6441752","12717387","-5245633","7471754","-133956","7337798", , , , , , , , , , , , 
"07500ASC (NON-DISTINCT PART)", , , , , , , , , , , , , , , , , , , 
"07501BMTU OUTPATIENT", , , , , , , , , , , , , , , , , , , 
"03020RH NBN ECMO IC","510207","213737","723944","-169742","554202", ,"554202", , , , , , , , , , , , 
"03021CARDIOLOGY","2036692","9978828","12015520","-8152671","3862849","-46962","3815887", , , , , , , , , , , , 
"03022PSYCH OTHER ANCILLARY","172039","1896890","2068929","-43521","2025408","-1821420","203988", , , , , , , , , , , , 
"03023CARDIAC CATHERIZATION","4273953","11231167","15505120","-6699530","8805590","-2618984","6186606", , , , , , , , , , , , 
"03024DAY SURGERY","4140268","1845566","5985834","-1425442","4560392", ,"4560392", , , , , , , , , , , , 
"03025ONCOLOGY", , , , , , , , , , , , , , , , , , , 
"03026DAY SURGERY-RILEY", , , , , , , , , , , , , , , , , , , 
"03027CARDIOLOGY-RILEY", , , , , , , , , , , , , , , , , , , 
"03028ECMO-ADULT","27282","3686","30968","-1635","29333", ,"29333", , , , , , , , , , , , 
"07697CARDIAC REHABILITATION","278893","254920","533813","-71420","462393","-2693","459700", , , , , , , , , , , , 
"08800RURAL HEALTH CLINIC", , , , , , , , , , , , , , , , , , , 
"08900FEDERALLY QUALIFIED HEALTH CENT","3190298","1653738","4844036","-80791","4763245","-314514","4448731", , , , , , , , , , , , 
"09000CLINIC", , , , , , , , , , , , , , , , , , , 
"09001AMB SVC-OB & GYN","2071221","1167957","3239178","-977238","2261940","-55841","2206099", , , , , , , , , , , , 
"09002IUSCC HEM/ONC","25383971","60017194","85401165","-53955888","31445277","-348125","31097152", , , , , , , , , , , , 
"09003AMB SVC-OPTHALMOLOGY","225317","838702","1064019","-806331","257688","-11","257677", , , , , , , , , , , , 
"09004AMB SVC-PSYCH ADULT","375336","143279","518615","-101954","416661", ,"416661", , , , , , , , , , , , 
"09005AMB SVC-DIABETES ADULT", ,"306","306","-119","187", ,"187", , , , , , , , , , , , 
"09006OUTPATIENT SURGERY","2151158","1047587","3198745","-756823","2441922","-88862","2353060", , , , , , , , , , , , 
"09007AMB SVC-RILEY CLINICS","4315886","2756011","7071897","-2412051","4659846","-2964614","1695232", , , , , , , , , , , , 
"09008MOTILITY LAB","102346","121355","223701","-109403","114298","-19752","94546", , , , , , , , , , , , 
"09009AMB SVC - PSYCH CHILD", , , , , , , , , , , , , , , , , , , 
"09010CLINICAL GERIATRICS","22190","1047855","1070045","-6433","1063612","-1033463","30149", , , , , , , , , , , , 
"09023SLEEP LAB","249774","248200","497974","2902003","3399977","-30854","3369123", , , , , , , , , , , , 
"09024OP CARE ADULTS","265781","116868","382649","-90833","291816", ,"291816", , , , , , , , , , , , 
"09011PEDIATRIC CLINIC", , , , , , , , , , , , , , , , , , , 
"09012ARTHRITIS CLINIC","150766","6262365","6413131","-6176455","236676","-24","236652", , , , , , , , , , , , 
"09013NEUROLOGY UH", , , , , , , , , , , , , , , , , , , 
"09014ORTHOPEDICS UH", , , , , , , , , , , , , , , , , , , 
"09015PHYSICAL MEDICINE","796206","486308","1282514","-426942","855572","-22","855550", , , , , , , , , , , , 
"09016DERMATOLOGY CLINIC","575158","380941","956099","-317094","639005","-4165","634840", , , , , , , , , , , , 
"09017INFUSION/HEM/ONC","661479","549260","1210739","-171598","1039141","-355","1038786", , , , , , , , , , , , 
"09025IUMG - MH","347116","161944","509060","-132699","376361", ,"376361", , , , , , , , , , , , 
"09019OP REHAB CLINIC","137527","323648","461175","-311343","149832", ,"149832", , , , , , , , , , , , 
"09020EATING DISORDERS CLINIC","824017","797428","1621445","-235897","1385548","-229649","1155899", , , , , , , , , , , , 
"09018GASTROENTEROLOGY CLINIC","518819","374855","893674","-211434","682240","-43275","638965", , , , , , , , , , , , 
"09021AIDES CLINIC","1047428","636971","1684399","-212985","1471414","-79700","1391714", , , , , , , , , , , , 
"09100EMERGENCY","17707643","16443344","34150987","-3653177","30497810","-7559997","22937813", , , , , , , , , , , , 
"09101EMERGENCY-RILEY", , , , , , , , , , , , , , , , , , , 
"09200OBSERVATION BEDS (NON-DISTINCT", , , , , , , , , , , , , , , , , , , 
"04040FAMILY PRACTICE", , , , , , , , , , , , , , , , , , , 
"09400HOME PROGRAM DIALYSIS","714698","3284855","3999553","-2826934","1172619","-90748","1081871", , , , , , , , , , , , 
"09500AMBULANCE SERVICES","7214658","16234235","23448893","-3868951","19579942","-404939","19175003", , , , , , , , , , , , 
"09600DURABLE MEDICAL EQUIP-RENTED", , , , , , , , , , , , , , , , , , , 
"09700DURABLE MEDICAL EQUIP-SOLD", , , , , , , , , , , , , , , , , , , 
"09900CMHC", , , , , , , , , , , , , , , , , , , 
"09910CORF", , , , , , , , , , , , , , , , , , , 
"10000I&R SERVICES-NOT APPRVD PRGM", , , , , , , , , , , , , , , , , , , 
"10100HOME HEALTH AGENCY","25348341","27621110","52969451","-15114297","37855154","-3639150","34216004", , , , , , , , , , , , 
"10500KIDNEY ACQUISITION","4510909","11032607","15543516","-4401932","11141584","-670368","10471216", , , , , , , , , , , , 
"10600HEART ACQUISITION","517249","1602691","2119940","-409482","1710458","-18750","1691708", , , , , , , , , , , , 
"10700LIVER ACQUISITION","1176862","7464905","8641767","-498852","8142915","-1443498","6699417", , , , , , , , , , , , 
"10800LUNG ACQUISITION","684483","2955066","3639549","-480858","3158691","8700","3167391", , , , , , , , , , , , 
"10900PANCREAS ACQUISITION","332571","2229905","2562476","-155451","2407025", ,"2407025", , , , , , , , , , , , 
"11000INTESTINAL ACQUISITION","236013","843614","1079627","-145336","934291", ,"934291", , , , , , , , , , , , 
"11100ISLET ACQUISITION", , , , , , , , , , , , , , , , , , , 
"08600OTHER ORGAN ACQUISITION","167843","72272","240115","-39307","200808", ,"200808", , , , , , , , , , , , 
"08601POST TRANSPLANT EXPENSES", , , ,"3740363","3740363", ,"3740363", , , , , , , , , , , , 
"11300INTEREST EXPENSE", , , , , , , , , , , , , , , , , , , 
"11400UTILIZATION REVIEW-SNF", , , , , , , , , , , , , , , , , , , 
"11500AMBULATORY SURGICAL CENTER (D.P", , , , , , , , , , , , , , , , , , , 
"11600HOSPICE", , , ,"5688312","5688312", ,"5688312", , , , , , , , , , , , 
 ,"574833040","1100246418","1675079458","17718736","1692798194","-19718540","1673079654", , , , , , , , , , , , 
"19000GIFT  FLOWER  COFFEE SHOP & CAN", ,"788","788","-639","149", ,"149", , , , , , , , , , , , 
"19100RESEARCH","3263841","1454629","4718470","-1062441","3656029","-21455","3634574", , , , , , , , , , , , 
"19101RESEARCH-GCRC", ,"35881","35881","-37563","-1682","1682", , , , , , , , , , , , , 
"19102OSA","1898638","5649870","7548508","-2264870","5283638","-1661229","3622409", , , , , , , , , , , , 
"19200PHYSICIANS PRIVATE OFFICES","114864","3740225","3855089","-45545","3809544","-633800","3175744", , , , , , , , , , , , 
"19201OTHER NONREIMBURSABLE-METHODIST","6410703","21841707","28252410","-10603400","17649010","-10416101","7232909", , , , , , , , , , , , 
"19202OTHER NONREIMBURSABLE - IUMC","3385661","24881310","28266971","-1744164","26522807","-22387026","4135781", , , , , , , , , , , , 
"19203PHYSICIANS PRIVATE OFFICES","720","468850","469570","-26","469544", ,"469544", , , , , , , , , , , , 
"19204MHH RADIOLOGY","100381","32410","132791","-20096","112695", ,"112695", , , , , , , , , , , , 
"19205MHH LABS", , , , , , , , , , , , , , , , , , , 
"19206BELTWAY SURGERY","30470","353261","383731","-4795","378936","-339266","39670", , , , , , , , , , , , 
"19207RHI","150306","222007","372313","-141064","231249", ,"231249", , , , , , , , , , , , 
"19208NON-ALLOWABLE ADVERTISING","4635009","21452167","26087176","-287773","25799403","-7633207","18166196", , , , , , , , , , , , 
"19209ARTHRITIS CLINIC - NR","33994","1315450","1349444","-1271281","78163", ,"78163", , , , , , , , , , , , 
"19212CARDIO PHYSICIANS","895513","888400","1783913","-235079","1548834","-256804","1292030", , , , , , , , , , , , 
"19211UNUSED SPACE", , , , , , , , , , , , , , , , , , , 
"19300NONPAID WORKERS", , , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000A0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000A0[00000])","Entity[558727] Report(A6000A0[00100])", ,"Entity[558727] Report(A6000A0[00300])", ,"Entity[558727] Report(A6000A0[00500])", ,"Entity[558727] Report(A6000A0[00700])", ,"Entity[558727] Report(A6000A0[00900])", , , , , , , , , , 
"BENEFITS","A", ,"4", ,"117198117", ,"5", ,"2651647", , , , , , , , , , 
"BENEFITS","A", , , , , ,"6", ,"57783", , , , , , , , , , 
"BENEFITS","A", , , , , ,"7", ,"626224", , , , , , , , , , 
"BENEFITS","A", , , , , ,"8", ,"83", , , , , , , , , , 
"BENEFITS","A", , , , , ,"9", ,"101751", , , , , , , , , , 
"BENEFITS","A", , , , , ,"10", ,"2042330", , , , , , , , , , 
"BENEFITS","A", , , , , ,"11", ,"42389", , , , , , , , , , 
"BENEFITS","A", , , , , ,"13", ,"4135183", , , , , , , , , , 
"BENEFITS","A", , , , , ,"14", ,"769302", , , , , , , , , , 
"BENEFITS","A", , , , , ,"15", ,"5119131", , , , , , , , , , 
"BENEFITS","A", , , , , ,"16", ,"75306", , , , , , , , , , 
"BENEFITS","A", , , , , ,"17", ,"963921", , , , , , , , , , 
"BENEFITS","A", , , , , ,"18", ,"859716", , , , , , , , , , 
"BENEFITS","A", , , , , ,"22", ,"120627", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"32331", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"57203", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"73782", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"38069", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"145780", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"29104", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"157859", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"32800", , , , , , , , , , 
"BENEFITS","A", , , , , ,"23", ,"48438", , , , , , , , , , 
"BENEFITS","A", , , , , ,"30", ,"27955572", , , , , , , , , , 
"BENEFITS","A", , , , , ,"31", ,"2877060", , , , , , , , , , 
"BENEFITS","A", , , , , ,"32", ,"2275735", , , , , , , , , , 
"BENEFITS","A", , , , , ,"32", ,"872318", , , , , , , , , , 
"BENEFITS","A", , , , , ,"33", ,"226441", , , , , , , , , , 
"BENEFITS","A", , , , , ,"34", ,"682075", , , , , , , , , , 
"BENEFITS","A", , , , , ,"34", ,"1880434", , , , , , , , , , 
"BENEFITS","A", , , , , ,"34", ,"379890", , , , , , , , , , 
"BENEFITS","A", , , , , ,"34", ,"305994", , , , , , , , , , 
"BENEFITS","A", , , , , ,"40", ,"620514", , , , , , , , , , 
"BENEFITS","A", , , , , ,"43", ,"449522", , , , , , , , , , 
"BENEFITS","A", , , , , ,"50", ,"6465024", , , , , , , , , , 
"BENEFITS","A", , , , , ,"50", ,"219068", , , , , , , , , , 
"BENEFITS","A", , , , , ,"51", ,"1085902", , , , , , , , , , 
"BENEFITS","A", , , , , ,"53", ,"357911", , , , , , , , , , 
"BENEFITS","A", , , , , ,"53", ,"625104", , , , , , , , , , 
"BENEFITS","A", , , , , ,"54", ,"5209548", , , , , , , , , , 
"BENEFITS","A", , , , , ,"55", ,"952350", , , , , , , , , , 
"BENEFITS","A", , , , , ,"56", ,"137027", , , , , , , , , , 
"BENEFITS","A", , , , , ,"59", ,"96674", , , , , , , , , , 
"BENEFITS","A", , , , , ,"60", ,"7227308", , , , , , , , , , 
"BENEFITS","A", , , , , ,"60", ,"199814", , , , , , , , , , 
"BENEFITS","A", , , , , ,"60", ,"203753", , , , , , , , , , 
"BENEFITS","A", , , , , ,"63", ,"621618", , , , , , , , , , 
"BENEFITS","A", , , , , ,"65", ,"4191990", , , , , , , , , , 
"BENEFITS","A", , , , , ,"66", ,"2192726", , , , , , , , , , 
"BENEFITS","A", , , , , ,"67", ,"485424", , , , , , , , , , 
"BENEFITS","A", , , , , ,"68", ,"741287", , , , , , , , , , 
"BENEFITS","A", , , , , ,"69", ,"558242", , , , , , , , , , 
"BENEFITS","A", , , , , ,"70", ,"809081", , , , , , , , , , 
"BENEFITS","A", , , , , ,"71", ,"44154", , , , , , , , , , 
"BENEFITS","A", , , , , ,"73", ,"1450836", , , , , , , , , , 
"BENEFITS","A", , , , , ,"74", ,"1278786", , , , , , , , , , 
"BENEFITS","A", , , , , ,"76", ,"38316", , , , , , , , , , 
"BENEFITS","A", , , , , ,"76", ,"469635", , , , , , , , , , 
"BENEFITS","A", , , , , ,"76", ,"14162", , , , , , , , , , 
"BENEFITS","A", , , , , ,"76", ,"813036", , , , , , , , , , 
"BENEFITS","A", , , , , ,"76", ,"853068", , , , , , , , , , 
"BENEFITS","A", , , , , ,"76", ,"1635", , , , , , , , , , 
"BENEFITS","A", , , , , ,"77", ,"62501", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"535109", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"3446509", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"83461", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"77779", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"513147", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"1045156", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"21868", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"1890", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"55967", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"71860", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"23263", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"231240", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"149052", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"92655", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"103534", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"40091", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"198334", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"134267", , , , , , , , , , 
"BENEFITS","A", , , , , ,"91", ,"3978943", , , , , , , , , , 
"BENEFITS","A", , , , , ,"94", ,"163965", , , , , , , , , , 
"BENEFITS","A", , , , , ,"95", ,"1281672", , , , , , , , , , 
"BENEFITS","A", , , , , ,"101", ,"5125731", , , , , , , , , , 
"BENEFITS","A", , , , , ,"105", ,"838521", , , , , , , , , , 
"BENEFITS","A", , , , , ,"106", ,"98760", , , , , , , , , , 
"BENEFITS","A", , , , , ,"107", ,"205727", , , , , , , , , , 
"BENEFITS","A", , , , , ,"108", ,"128793", , , , , , , , , , 
"BENEFITS","A", , , , , ,"109", ,"64161", , , , , , , , , , 
"BENEFITS","A", , , , , ,"110", ,"51383", , , , , , , , , , 
"BENEFITS","A", , , , , ,"112", ,"22701", , , , , , , , , , 
"BENEFITS","A", , , , , ,"191", ,"638521", , , , , , , , , , 
"BENEFITS","A", , , , , ,"191", ,"249380", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"25770", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"1402783", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"689231", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"26", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"18587", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"2365", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"44311", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"803594", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"2917", , , , , , , , , , 
"BENEFITS","A", , , , , ,"192", ,"169073", , , , , , , , , , 
"BENEFITS","A", , , , , ,"90", ,"253726", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000B0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
