" Enter the lesser of lines 19 or 20  (see instructions)","","","","","","","21", , , , , , , , , , , , 
" IME payment adjustment  (see instructions)","","","","","","","22", , , , , , , , , , , , 
" Indirect Medical Education Adjustment for the Add-on for Section 422 of the MMA","","","","","","","", , , , , , , , , , , , 
" Number of additional allopathic and osteopathic IME FTE resident cap slots under 42 Sec. 412.105 (f)(1)(iv)(C ).","","","","","","","23", , , , , , , , , , , , 
" IME FTE resident count over cap  (see instructions)","","","","","","","24", , , , , , , , , , , , 
"\" If the amount on line 24 is greater than -0-"," then enter the lower of line 23 or line 24  (see instructions) \"","","","","","","","25", , , , , , , , , , , 
" Resident to bed ratio (divide line 25 by line 4)","","","","","","","26", , , , , , , , , , , , 
" IME payments adjustment  (see instructions)","","","","","","","27", , , , , , , , , , , , 
" IME Adjustment  (see instructions)","","","","","","","28", , , , , , , , , , , , 
" Total IME payment (sum of lines 22 and 28)","","","","","","","29", , , , , , , , , , , , 
" Disproportionate Share Adjustment","","","","","","","", , , , , , , , , , , , 
" Percentage of SSI recipient patient days to Medicare Part A patient days  (see instructions)","","","","","","","30", , , , , , , , , , , , 
"\" Percentage of Medicaid patient days to total days reported on Worksheet S-2"," Part I"," line 24. (see instructions)\"","","","","","","","31", , , , , , , , , , 
" Sum of lines 30 and 31","","","","","","","32", , , , , , , , , , , , 
" Allowable disproportionate share percentage  (see instructions)","","","","","","","33", , , , , , , , , , , , 
" Disproportionate share adjustment  (see instructions)","","","","","","","34", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"Check","",""," [ ] Hospital"," [ ] IPF","","","", , , , , , , , , , , , 
"applicable box:","",""," [ ] IRF"," [ ] Subprovider (other)","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"PART A - INPATIENT HOSPITAL SERVICES UNDER PPS","","","","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"Additional payment for high percentage of ESRD beneficiary discharges","","","","","","","", , , , , , , , , , , , 
"\" Total Medicare discharges on Worksheet S-3"," Part I excluding discharges for MS-DRGs 652"," 682"," 683"," \"","","","","","","","40", , , , , , , , 
" 684 and 685  (see instructions)","","","","","","","", , , , , , , , , , , , 
"\" Total ESRD Medicare discharges excluding MS-DRGs 652"," 682"," 683"," 684 an 685  (see instructions)\"","","","","","","","41", , , , , , , , , 
"\" Divide line 41 by line 40 (if less than 10%"," you do not qualify for adjustment)\"","","","","","","","42", , , , , , , , , , , 
"\" Total Medicare ESRD inpatient days excluding MS-DRGs 652"," 682"," 683"," 684 an 685  (see instructions)\"","","","","","","","43", , , , , , , , , 
" Ratio of average length of stay to one week (line 43 divided by line 41 divided by 7 days)","","","","","","","44", , , , , , , , , , , , 
" Average weekly cost for dialysis treatments  (see instructions) ","","","","","","","45", , , , , , , , , , , , 
" Total additional payment (line 45 times line 44 times line 41)","","","","","","","46", , , , , , , , , , , , 
" Subtotal  (see instructions) ","","","","","","","47", , , , , , , , , , , , 
"\" Hospital specific payments (to be completed by SCH and MDH"," small rural hospitals only  (see instructions)\"","","","","","","","48", , , , , , , , , , , 
" Total payment for inpatient operating costs SCH and MDH only  (see instructions)","","","","","","","49", , , , , , , , , , , , 
"\" Payment for inpatient program capital (from Worksheet L"," Parts I"," II"," as applicable)\"","","","","","","","50", , , , , , , , , 
"\" Exception payment for inpatient program capital (Worksheet L"," Part III)  (see instructions)\"","","","","","","","51", , , , , , , , , , , 
"\" Direct graduate medical education payment (from Worksheet E-4"," line 49)  (see instructions).\"","","","","","","","52", , , , , , , , , , , 
" Nursing and allied health managed care payment","","","","","","","53", , , , , , , , , , , , 
" Special add-on payments for new technologies","","","","","","","54", , , , , , , , , , , , 
"\" Net organ acquisition cost (Worksheet D-4 Part III"," col. 1"," line 69)\"","","","","","","","55", , , , , , , , , , 
"\" Cost of teaching physicians (Worksheet D-5"," Part II"," col. 3"," line 20)\"","","","","","","","56", , , , , , , , , 
" Routine service other pass through costs","","","","","","","57", , , , , , , , , , , , 
"\" Ancillary service other pass through costs Worksheet D"," Part IV"," col. 11 line 200)\"","","","","","","","58", , , , , , , , , , 
" Total (sum of amounts on lines 49 through 58)","","","","","","","59", , , , , , , , , , , , 
" Primary payer payments","","","","","","","60", , , , , , , , , , , , 
" Total amount payable for program beneficiaries (line 59 minus line 60)","","","","","","","61", , , , , , , , , , , , 
" Deductibles billed to program beneficiaries","","","","","","","62", , , , , , , , , , , , 
" Coinsurance billed to program beneficiaries","","","","","","","63", , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","","64", , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","","","65", , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","","66", , , , , , , , , , , , 
" Subtotal (line 61 plus line 65 minus lines 62 and 63) ","","","","","","","67", , , , , , , , , , , , 
" Credits received from manufacturers for replaced devices applicable to MS-DRG  (see instructions)","","","","","","","68", , , , , , , , , , , , 
" Outlier payments reconciliation","","","","","","","69", , , , , , , , , , , , 
"Other adjustments (specify)  (see instructions)","","","","","","","70", , , , , , , , , , , , 
" Amount due provider (line 67 minus lines 68 plus/minus lines 69 & 70)","","","","","","","71", , , , , , , , , , , , 
" Interim payments","","","","","","","72", , , , , , , , , , , , 
" Tentative settlement (for contractor use only) ","","","","","","","73", , , , , , , , , , , , 
" Balance due provider (Program) (lines 71 minus the sum of lines  72  and 73)","","","","","","","74", , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","","75", , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","", , , , , , , , , , , , 
"\" Operating outlier amount from Worksheet E"," Part A line 2\"","","","","","","","90", , , , , , , , , , , 
"\" Capital outlier from Worksheet L"," Part I"," line 2\"","","","","","","","91", , , , , , , , , , 
" Operating outlier reconciliation adjustment amount  (see instructions)","","","","","","","92", , , , , , , , , , , , 
" Capital outlier reconciliation adjustment amount  (see instructions)","","","","","","","93", , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money  (see instructions)","","","","","","","94", , , , , , , , , , , , 
" Time Value of Money for operating expenses  (see instructions)","","","","","","","95", , , , , , , , , , , , 
" Time Value of Money for capital related expenses  (see instructions)","","","","","","","96", , , , , , , , , , , , 
 ,"Entity[558727] Report(E00A18A[00100])","Entity[558727] Report(E00A18A[00200])", , , , , , , , , , , , , , , , , 
 ,"119008233", , , , , , , , , , , , , , , , , , 
 ,"38238529", , , , , , , , , , , , , , , , , , 
 ,"15435326", , , , , , , , , , , , , , , , , , 
 ,"25820996", , , , , , , , , , , , , , , , , , 
 ,"1189", , , , , , , , , , , , , , , , , , 
 ,"528", , , , , , , , , , , , , , , , , , 
 ,"528", , , , , , , , , , , , , , , , , , 
 ,"637", , , , , , , , , , , , , , , , , , 
 ,"18", , , , , , , , , , , , , , , , , , 
 ,"545", , , , , , , , , , , , , , , , , , 
 ,"546", , , , , , , , , , , , , , , , , , 
 ,"547", , , , , , , , , , , , , , , , , , 
 ,"546", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"547", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"38037086", , , , , , , , , , , , , , , , , , 
 ,"2", , , , , , , , , , , , , , , , , , 
 ,"109", , , , , , , , , , , , , , , , , , 
 ,"2", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"82197", , , , , , , , , , , , , , , , , , 
 ,"38119283", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"32810519", , , , , , , , , , , , , , , , , , 
 , ,"2147483647", , , , , , , , , , , , , , , , , 
 , ,"0", , , , , , , , , , , , , , , , , 
 , ,"34248348", , , , , , , , , , , , , , , , , 
 , ,"8632467", , , , , , , , , , , , , , , , , 
 ,"8632467", , , , , , , , , , , , , , , , , , 
 ,"252244357", , , , , , , , , , , , , , , , , , 
 ,"252244357", , , , , , , , , , , , , , , , , , 
 ,"16639720", , , , , , , , , , , , , , , , , , 
 ,"9864834", , , , , , , , , , , , , , , , , , 
 ,"212000", , , , , , , , , , , , , , , , , , 
 ,"137791", , , , , , , , , , , , , , , , , , 
 ,"20722413", , , , , , , , , , , , , , , , , , 
 ,"228964", , , , , , , , , , , , , , , , , , 
 ,"871279", , , , , , , , , , , , , , , , , , 
 ,"300921358", , , , , , , , , , , , , , , , , , 
 ,"210974", , , , , , , , , , , , , , , , , , 
 ,"300710384", , , , , , , , , , , , , , , , , , 
 ,"10807864", , , , , , , , , , , , , , , , , , 
 ,"1711570", , , , , , , , , , , , , , , , , , 
 ,"5556411", , , , , , , , , , , , , , , , , , 
 ,"3611667", , , , , , , , , , , , , , , , , , 
 ,"1376027", , , , , , , , , , , , , , , , , , 
 ,"291802617", , , , , , , , , , , , , , , , , , 
 ,"42323", , , , , , , , , , , , , , , , , , 
 ,"-225032", , , , , , , , , , , , , , , , , , 
 ,"291619908", , , , , , , , , , , , , , , , , , 
 ,"4403461", , , , , , , , , , , , , , , , , , 
 ,"286467602", , , , , , , , , , , , , , , , , , 
 ,"748845", , , , , , , , , , , , , , , , , , 
 ,"49276192", , , , , , , , , , , , , , , , , , 
 ,"15435326", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E00A18B ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
" Medical and other services  (see instructions)","","","","","","1", , , , , , , , , , , , , 
" Medical and other services reimbursed under OPPS  (see instructions).","","","","","","2", , , , , , , , , , , , , 
" PPS payments","","","","","","3", , , , , , , , , , , , , 
" Outlier payment  (see instructions)","","","","","","4", , , , , , , , , , , , , 
" Enter the hospital specific payment to cost ratio  (see instructions)","","","","","","5", , , , , , , , , , , , , 
" Line 2 times line 5","","","","","","6", , , , , , , , , , , , , 
" Sum of lines line 3 plus line 4 divided by line 6","","","","","","7", , , , , , , , , , , , , 
" Transitional corridor payment  (see instructions)","","","","","","8", , , , , , , , , , , , , 
"\" Ancillary service other pass through costs from Worksheet D"," Part IV"," column 13"," line 200\"","","","","","","9", , , , , , , , , , 
" Organ acquisition","","","","","","10", , , , , , , , , , , , , 
" Total cost (sum of lines 1 and 10)  (see instructions)","","","","","","11", , , , , , , , , , , , , 
"COMPUTATION OF LESSER OF COST OR CHARGES","","","","","","", , , , , , , , , , , , , 
"Reasonable charges","","","","","","", , , , , , , , , , , , , 
" Ancillary service charges","","","","","","12", , , , , , , , , , , , , 
"\" Organ acquisition charges (from Worksheet D-4"," Part III"," line 69"," col. 4)\"","","","","","","13", , , , , , , , , , 
" Total reasonable charges (sum of lines 12 and 13)","","","","","","14", , , , , , , , , , , , , 
"Customary charges","","","","","","", , , , , , , , , , , , , 
" Aggregate amount actually collected from patients liable for payment for services on a charge basis","","","","","","15", , , , , , , , , , , , , 
" Amounts that would have been realized from patients liable for payment for services on a charge  ","","","","","","16", , , , , , , , , , , , , 
" basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","","", , , , , , , , , , , , , 
" Ratio of line 15 to line 16 (not to exceed 1.000000)","","","","","","17", , , , , , , , , , , , , 
" Total customary charges  (see instructions)","","","","","","18", , , , , , , , , , , , , 
" Excess of customary charges over reasonable cost (complete only if line 18 exceeds line 11)  (see instructions)","","","","","","19", , , , , , , , , , , , , 
" Excess of reasonable cost over customary charges (complete only if line 11 exceeds line 18)  (see instructions)","","","","","","20", , , , , , , , , , , , , 
"\" Lesser of cost or charges (line 11 minus line 20)  (for CAH"," see instructions)\"","","","","","","21", , , , , , , , , , , , 
" Interns and residents  (see instructions)","","","","","","22", , , , , , , , , , , , , 
"\" Cost of teaching physicians (see instructions"," 42 CFR 415.160 and CMS Pub. 15-1"," �2148)\"","","","","","","23", , , , , , , , , , , 
"\" Total prospective payment (sum of lines 3"," 4"," 8 and 9)\"","","","","","","24", , , , , , , , , , , 
"COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","","", , , , , , , , , , , , , 
" Deductibles and coinsurance  (see instructions)","","","","","","25", , , , , , , , , , , , , 
" Deductibles and Coinsurance relating to amount on line 24  (see instructions)","","","","","","26", , , , , , , , , , , , , 
" Subtotal {(lines 21 and 24 - the sum of lines 25 and 26) plus the sum of lines 22 and 23}  (see instructions)","","","","","","27", , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 50)\"","","","","","","28", , , , , , , , , , , , 
"\" ESRD direct medical education costs (from Worksheet E-4"," line 36)\"","","","","","","29", , , , , , , , , , , , 
" Subtotal (sum of lines 27 through 29)","","","","","","30", , , , , , , , , , , , , 
" Primary payer payments","","","","","","31", , , , , , , , , , , , , 
" Subtotal (line 30 minus line 31)","","","","","","32", , , , , , , , , , , , , 
"ALLOWABLE BAD DEBTS (EXCLUDE BAD DEBTS FOR PROFESSIONAL SERVICES)","","","","",""," ", , , , , , , , , , , , , 
"\" Composite rate ESRD (from Worksheet I-5"," line 11)\"","","","","","","33", , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","34", , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","","35", , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","36", , , , , , , , , , , , , 
"\" Subtotal (sum of lines 32"," 33"," and 34 or 35) (line 35 hospital and subprovider only)\"","","","","","","37", , , , , , , , , , , 
" MSP-LCC reconciliation amount from PS&R","","","","","","38", , , , , , , , , , , , , 
" Other adjustments (specify)  (see instructions)","","","","","","39", , , , , , , , , , , , , 
" Subtotal (line 37 plus or minus lines 39 minus 38)","","","","","","40", , , , , , , , , , , , , 
" Interim payments","","","","","","41", , , , , , , , , , , , , 
" Tentative settlement (for contractors use only)","","","","","","42", , , , , , , , , , , , , 
"\" Balance due provider/program (line 40 minus the sum of lines 41"," and 42) \"","","","","","","43", , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","44", , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"Check applicable box","","  [  ] Hospital     [  ] IPF        [ ] IRF      [  ] Subprovider(Other)        [  ] SNF","","","","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","", , , , , , , , , , , , , 
" Original outlier amount  (see instructions)","","","","","","90", , , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","","91", , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money","","","","","","92", , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","","93", , , , , , , , , , , , , 
" Total (sum of lines 91 and 93)","","","","","","94", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
" SECTION 4030.2)\"","","","","","","","", , , , , , , , , , , , 
"","","","","","","40-587", , , , , , , , , , , , , 
 ,"Entity[558727] Report(E00A18B[00100])", , , , , , , , , , , , , , , , , , 
 ,"222003", , , , , , , , , , , , , , , , , , 
 ,"120395849", , , , , , , , , , , , , , , , , , 
 ,"91087967", , , , , , , , , , , , , , , , , , 
 ,"4346321", , , , , , , , , , , , , , , , , , 
 ,"632086", , , , , , , , , , , , , , , , , , 
 ,"222003", , , , , , , , , , , , , , , , , , 
 ,"949677", , , , , , , , , , , , , , , , , , 
 ,"949677", , , , , , , , , , , , , , , , , , 
 ,"727674", , , , , , , , , , , , , , , , , , 
 ,"222003", , , , , , , , , , , , , , , , , , 
 ,"96066374", , , , , , , , , , , , , , , , , , 
 ,"5121", , , , , , , , , , , , , , , , , , 
 ,"17851878", , , , , , , , , , , , , , , , , , 
 ,"78431378", , , , , , , , , , , , , , , , , , 
 ,"4392108", , , , , , , , , , , , , , , , , , 
 ,"82823486", , , , , , , , , , , , , , , , , , 
 ,"7203", , , , , , , , , , , , , , , , , , 
 ,"82816283", , , , , , , , , , , , , , , , , , 
 ,"266662", , , , , , , , , , , , , , , , , , 
 ,"5959923", , , , , , , , , , , , , , , , , , 
 ,"3873950", , , , , , , , , , , , , , , , , , 
 ,"2359908", , , , , , , , , , , , , , , , , , 
 ,"86956895", , , , , , , , , , , , , , , , , , 
 ,"86956895", , , , , , , , , , , , , , , , , , 
 ,"1313049", , , , , , , , , , , , , , , , , , 
 ,"84881094", , , , , , , , , , , , , , , , , , 
 ,"762752", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E00B18B ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
" Medical and other services  (see instructions)","","","","","","1", , , , , , , , , , , , , 
" Medical and other services reimbursed under OPPS  (see instructions).","","","","","","2", , , , , , , , , , , , , 
" PPS payments","","","","","","3", , , , , , , , , , , , , 
" Outlier payment  (see instructions)","","","","","","4", , , , , , , , , , , , , 
" Enter the hospital specific payment to cost ratio  (see instructions)","","","","","","5", , , , , , , , , , , , , 
" Line 2 times line 5","","","","","","6", , , , , , , , , , , , , 
" Sum of lines line 3 plus line 4 divided by line 6","","","","","","7", , , , , , , , , , , , , 
" Transitional corridor payment  (see instructions)","","","","","","8", , , , , , , , , , , , , 
"\" Ancillary service other pass through costs from Worksheet D"," Part IV"," column 13"," line 200\"","","","","","","9", , , , , , , , , , 
" Organ acquisition","","","","","","10", , , , , , , , , , , , , 
" Total cost (sum of lines 1 and 10)  (see instructions)","","","","","","11", , , , , , , , , , , , , 
"COMPUTATION OF LESSER OF COST OR CHARGES","","","","","","", , , , , , , , , , , , , 
"Reasonable charges","","","","","","", , , , , , , , , , , , , 
" Ancillary service charges","","","","","","12", , , , , , , , , , , , , 
"\" Organ acquisition charges (from Worksheet D-4"," Part III"," line 69"," col. 4)\"","","","","","","13", , , , , , , , , , 
" Total reasonable charges (sum of lines 12 and 13)","","","","","","14", , , , , , , , , , , , , 
"Customary charges","","","","","","", , , , , , , , , , , , , 
" Aggregate amount actually collected from patients liable for payment for services on a charge basis","","","","","","15", , , , , , , , , , , , , 
" Amounts that would have been realized from patients liable for payment for services on a charge  ","","","","","","16", , , , , , , , , , , , , 
" basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","","", , , , , , , , , , , , , 
" Ratio of line 15 to line 16 (not to exceed 1.000000)","","","","","","17", , , , , , , , , , , , , 
" Total customary charges  (see instructions)","","","","","","18", , , , , , , , , , , , , 
" Excess of customary charges over reasonable cost (complete only if line 18 exceeds line 11)  (see instructions)","","","","","","19", , , , , , , , , , , , , 
" Excess of reasonable cost over customary charges (complete only if line 11 exceeds line 18)  (see instructions)","","","","","","20", , , , , , , , , , , , , 
"\" Lesser of cost or charges (line 11 minus line 20)  (for CAH"," see instructions)\"","","","","","","21", , , , , , , , , , , , 
" Interns and residents  (see instructions)","","","","","","22", , , , , , , , , , , , , 
"\" Cost of teaching physicians (see instructions"," 42 CFR 415.160 and CMS Pub. 15-1"," �2148)\"","","","","","","23", , , , , , , , , , , 
"\" Total prospective payment (sum of lines 3"," 4"," 8 and 9)\"","","","","","","24", , , , , , , , , , , 
"COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","","", , , , , , , , , , , , , 
" Deductibles and coinsurance  (see instructions)","","","","","","25", , , , , , , , , , , , , 
" Deductibles and Coinsurance relating to amount on line 24  (see instructions)","","","","","","26", , , , , , , , , , , , , 
" Subtotal {(lines 21 and 24 - the sum of lines 25 and 26) plus the sum of lines 22 and 23}  (see instructions)","","","","","","27", , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 50)\"","","","","","","28", , , , , , , , , , , , 
"\" ESRD direct medical education costs (from Worksheet E-4"," line 36)\"","","","","","","29", , , , , , , , , , , , 
" Subtotal (sum of lines 27 through 29)","","","","","","30", , , , , , , , , , , , , 
" Primary payer payments","","","","","","31", , , , , , , , , , , , , 
" Subtotal (line 30 minus line 31)","","","","","","32", , , , , , , , , , , , , 
"ALLOWABLE BAD DEBTS (EXCLUDE BAD DEBTS FOR PROFESSIONAL SERVICES)","","","","",""," ", , , , , , , , , , , , , 
"\" Composite rate ESRD (from Worksheet I-5"," line 11)\"","","","","","","33", , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","34", , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","","35", , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","36", , , , , , , , , , , , , 
"\" Subtotal (sum of lines 32"," 33"," and 34 or 35) (line 35 hospital and subprovider only)\"","","","","","","37", , , , , , , , , , , 
" MSP-LCC reconciliation amount from PS&R","","","","","","38", , , , , , , , , , , , , 
" Other adjustments (specify)  (see instructions)","","","","","","39", , , , , , , , , , , , , 
" Subtotal (line 37 plus or minus lines 39 minus 38)","","","","","","40", , , , , , , , , , , , , 
" Interim payments","","","","","","41", , , , , , , , , , , , , 
