"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report H210002 ","-------------","-------------","-----------",""
"17"," Home Delivered Meals Program","","","","","","","","17","17"," Home Delivered Meals Program","","","","","","","","","","17","17"," Home Delivered Meals Program","","","","","","","","17"
"18"," Homemaker Service","","","","","","","","18","18"," Homemaker Service","","","","","","","","","","18","18"," Homemaker Service","","","","","","","","18"
"19"," All Others","","","","","","","","19","19"," All Others","","","","","","","","","","19","19"," All Others","","","","","","","","19"
"20"," Totals (sum of lines 1-19)","","","","","","","","20","20"," Totals (sum of lines 1-19)","","","","","","","","","","20","20"," Totals (sum of lines 1-19)","","","","","","","","20"
"21"," Total cost to be allocated","","","","","","","","21","21"," Total cost to be allocated","","","","","","","","","","21","21"," Total cost to be allocated","","","","","","","","21"
"22"," Unit Cost Multiplier","","","","","","","","22","22"," Unit Cost Multiplier","","","","","","","","","","22","22"," Unit Cost Multiplier","","","","","","","","22"
"Entity[558727] Report(H210002)", ,"Entity[558727] Report(H210002[00100])","Entity[558727] Report(H210002[00200])", ,"Entity[558727] Report(H210002[00400])", ,"Entity[558727] Report(H210002[00600])","Entity[558727] Report(H210002[00700])", , , ,"Entity[558727] Report(H210002[01100])", ,"Entity[558727] Report(H210002[01300])","Entity[558727] Report(H210002[01400])", ,"Entity[558727] Report(H210002[01600])", ,"Entity[558727] Report(H210002[01800])"
"Line(00100)", ,"23805","190884", ,"19125483", ,"23805","23805", , , ,"310", ,"63","171909", ,"79074743", ,"79074743"
"Line(00200)"
"Line(00300)"
"Line(00400)"
"Line(00500)"
"Line(00600)"
"Line(00700)"
"Line(01200)"
"Line(01900)"
"Line(02000)", ,"23805","190884", ,"19125483", ,"23805","23805", , , ,"310", ,"63","171909", ,"79074743", ,"79074743"
"Line(02100)", ,"225055","266881", ,"4402629", ,"155072","497562", , , ,"72251", ,"558578","113027", ,"135376", ,"37719"
