"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000A0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000A0)","Entity[558727] Report(A6000A0[00000])","Entity[558727] Report(A6000A0[00100])", ,"Entity[558727] Report(A6000A0[00300])", ,"Entity[558727] Report(A6000A0[00500])", ,"Entity[558727] Report(A6000A0[00700])", ,"Entity[558727] Report(A6000A0[00900])"
"Line(04100)","BENEFITS","A", , , , , ,"55", ,"952350"
"Line(04200)","BENEFITS","A", , , , , ,"56", ,"137027"
"Line(04300)","BENEFITS","A", , , , , ,"59", ,"96674"
"Line(04400)","BENEFITS","A", , , , , ,"60", ,"7227308"
"Line(04500)","BENEFITS","A", , , , , ,"60", ,"199814"
"Line(04600)","BENEFITS","A", , , , , ,"60", ,"203753"
"Line(04700)","BENEFITS","A", , , , , ,"63", ,"621618"
"Line(04800)","BENEFITS","A", , , , , ,"65", ,"4191990"
"Line(04900)","BENEFITS","A", , , , , ,"66", ,"2192726"
"Line(05000)","BENEFITS","A", , , , , ,"67", ,"485424"
"Line(05100)","BENEFITS","A", , , , , ,"68", ,"741287"
"Line(05200)","BENEFITS","A", , , , , ,"69", ,"558242"
"Line(05300)","BENEFITS","A", , , , , ,"70", ,"809081"
"Line(05400)","BENEFITS","A", , , , , ,"71", ,"44154"
"Line(05500)","BENEFITS","A", , , , , ,"73", ,"1450836"
"Line(05600)","BENEFITS","A", , , , , ,"74", ,"1278786"
"Line(05700)","BENEFITS","A", , , , , ,"76", ,"38316"
"Line(05800)","BENEFITS","A", , , , , ,"76", ,"469635"
"Line(05900)","BENEFITS","A", , , , , ,"76", ,"14162"
"Line(06000)","BENEFITS","A", , , , , ,"76", ,"813036"
"Line(06100)","BENEFITS","A", , , , , ,"76", ,"853068"
"Line(06200)","BENEFITS","A", , , , , ,"76", ,"1635"
"Line(06300)","BENEFITS","A", , , , , ,"77", ,"62501"
"Line(06400)","BENEFITS","A", , , , , ,"90", ,"535109"
"Line(06500)","BENEFITS","A", , , , , ,"90", ,"3446509"
"Line(06600)","BENEFITS","A", , , , , ,"90", ,"83461"
"Line(06700)","BENEFITS","A", , , , , ,"90", ,"77779"
"Line(06800)","BENEFITS","A", , , , , ,"90", ,"513147"
"Line(06900)","BENEFITS","A", , , , , ,"90", ,"1045156"
"Line(07000)","BENEFITS","A", , , , , ,"90", ,"21868"
"Line(07100)","BENEFITS","A", , , , , ,"90", ,"1890"
"Line(07200)","BENEFITS","A", , , , , ,"90", ,"55967"
"Line(07300)","BENEFITS","A", , , , , ,"90", ,"71860"
"Line(07400)","BENEFITS","A", , , , , ,"90", ,"23263"
"Line(07500)","BENEFITS","A", , , , , ,"90", ,"231240"
"Line(07600)","BENEFITS","A", , , , , ,"90", ,"149052"
"Line(07700)","BENEFITS","A", , , , , ,"90", ,"92655"
"Line(07800)","BENEFITS","A", , , , , ,"90", ,"103534"
"Line(07900)","BENEFITS","A", , , , , ,"90", ,"40091"
"Line(08000)","BENEFITS","A", , , , , ,"90", ,"198334"
"Line(08100)","BENEFITS","A", , , , , ,"90", ,"134267"
"Line(08200)","BENEFITS","A", , , , , ,"91", ,"3978943"
"Line(08300)","BENEFITS","A", , , , , ,"94", ,"163965"
"Line(08400)","BENEFITS","A", , , , , ,"95", ,"1281672"
"Line(08500)","BENEFITS","A", , , , , ,"101", ,"5125731"
"Line(08600)","BENEFITS","A", , , , , ,"105", ,"838521"
"Line(08700)","BENEFITS","A", , , , , ,"106", ,"98760"
"Line(08800)","BENEFITS","A", , , , , ,"107", ,"205727"
"Line(08900)","BENEFITS","A", , , , , ,"108", ,"128793"
"Line(09000)","BENEFITS","A", , , , , ,"109", ,"64161"
"Line(09100)","BENEFITS","A", , , , , ,"110", ,"51383"
"Line(09200)","BENEFITS","A", , , , , ,"112", ,"22701"
"Line(09300)","BENEFITS","A", , , , , ,"191", ,"638521"
"Line(09400)","BENEFITS","A", , , , , ,"191", ,"249380"
"Line(09500)","BENEFITS","A", , , , , ,"192", ,"25770"
"Line(09600)","BENEFITS","A", , , , , ,"192", ,"1402783"
"Line(09700)","BENEFITS","A", , , , , ,"192", ,"689231"
"Line(09800)","BENEFITS","A", , , , , ,"192", ,"26"
"Line(09900)","BENEFITS","A", , , , , ,"192", ,"18587"
"Line(10000)","BENEFITS","A", , , , , ,"192", ,"2365"
"Line(10100)","BENEFITS","A", , , , , ,"192", ,"44311"
"Line(10200)","BENEFITS","A", , , , , ,"192", ,"803594"
"Line(10300)","BENEFITS","A", , , , , ,"192", ,"2917"
"Line(10400)","BENEFITS","A", , , , , ,"192", ,"169073"
"Line(10500)","BENEFITS","A", , , , , ,"90", ,"253726"
