"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report A6000G0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[558727] Report(A6000G0)","Entity[558727] Report(A6000G0[00000])","Entity[558727] Report(A6000G0[00100])", ,"Entity[558727] Report(A6000G0[00300])", ,"Entity[558727] Report(A6000G0[00500])", ,"Entity[558727] Report(A6000G0[00700])", ,"Entity[558727] Report(A6000G0[00900])"
"Line(04500)","SUPPLIES","G", , , , , ,"65", ,"3927867"
"Line(04600)","SUPPLIES","G", , , , , ,"66", ,"742693"
"Line(04700)","SUPPLIES","G", , , , , ,"67", ,"91917"
"Line(04800)","SUPPLIES","G", , , , , ,"68", ,"2184878"
"Line(04900)","SUPPLIES","G", , , , , ,"69", ,"62995"
"Line(05000)","SUPPLIES","G", , , , , ,"70", ,"300580"
"Line(05100)","SUPPLIES","G", , , , , ,"71", ,"166263"
"Line(05200)","SUPPLIES","G", , , , , ,"74", ,"2105644"
"Line(05300)","SUPPLIES","G", , , , , ,"76", ,"98462"
"Line(05400)","SUPPLIES","G", , , , , ,"76", ,"6637522"
"Line(05500)","SUPPLIES","G", , , , , ,"76", ,"23438"
"Line(05600)","SUPPLIES","G", , , , , ,"76", ,"5369883"
"Line(05700)","SUPPLIES","G", , , , , ,"76", ,"492144"
"Line(05800)","SUPPLIES","G", , , , , ,"77", ,"3407"
"Line(05900)","SUPPLIES","G", , , , , ,"90", ,"92095"
"Line(06000)","SUPPLIES","G", , , , , ,"90", ,"1611789"
"Line(06100)","SUPPLIES","G", , , , , ,"90", ,"6731"
"Line(06200)","SUPPLIES","G", , , , , ,"90", ,"805"
"Line(06300)","SUPPLIES","G", , , , , ,"90", ,"119"
"Line(06400)","SUPPLIES","G", , , , , ,"90", ,"55402"
"Line(06500)","SUPPLIES","G", , , , , ,"90", ,"272780"
"Line(06600)","SUPPLIES","G", , , , , ,"90", ,"65721"
"Line(06700)","SUPPLIES","G", , , , , ,"90", ,"935"
"Line(06800)","SUPPLIES","G", , , , , ,"90", ,"6651"
"Line(06900)","SUPPLIES","G", , , , , ,"90", ,"9121"
"Line(07000)","SUPPLIES","G", , , , , ,"90", ,"22335"
"Line(07100)","SUPPLIES","G", , , , , ,"90", ,"17305"
"Line(07200)","SUPPLIES","G", , , , , ,"90", ,"101433"
"Line(07300)","SUPPLIES","G", , , , , ,"90", ,"44617"
"Line(07400)","SUPPLIES","G", , , , , ,"90", ,"19307"
"Line(07500)","SUPPLIES","G", , , , , ,"90", ,"802"
"Line(07600)","SUPPLIES","G", , , , , ,"90", ,"2816"
"Line(07700)","SUPPLIES","G", , , , , ,"90", ,"21037"
"Line(07800)","SUPPLIES","G", , , , , ,"91", ,"3033599"
"Line(07900)","SUPPLIES","G", , , , , ,"94", ,"1885488"
"Line(08000)","SUPPLIES","G", , , , , ,"95", ,"262589"
"Line(08100)","SUPPLIES","G", , , , , ,"101", ,"329700"
"Line(08200)","SUPPLIES","G", , , , , ,"105", ,"223237"
"Line(08300)","SUPPLIES","G", , , , , ,"106", ,"86"
"Line(08400)","SUPPLIES","G", , , , , ,"108", ,"18"
"Line(08500)","SUPPLIES","G", , , , , ,"112", ,"13488"
"Line(08600)","SUPPLIES","G", , , , , ,"191", ,"335830"
"Line(08700)","SUPPLIES","G", , , , , ,"191", ,"35679"
"Line(08800)","SUPPLIES","G", , , , , ,"191", ,"11415"
"Line(08900)","SUPPLIES","G", , , , , ,"192", ,"185975"
"Line(09000)","SUPPLIES","G", , , , , ,"192", ,"23985"
"Line(09100)","SUPPLIES","G", , , , , ,"192", ,"92678"
"Line(09200)","SUPPLIES","G", , , , , ,"192", ,"5518"
"Line(09300)","SUPPLIES","G", , , , , ,"192", ,"4699"
"Line(09400)","SUPPLIES","G", , , , , ,"90", ,"5292"
