25," If the amount on line 24 is greater than -0-, then enter the lower of line 23 or line 24  (see instructions) ",,,,,,,25
26, Resident to bed ratio (divide line 25 by line 4),,,,,,,26
27, IME payments adjustment  (see instructions),,,,,,,27
28, IME Adjustment  (see instructions),,,,,,,28
29, Total IME payment (sum of lines 22 and 28),,,,,,,29
, Disproportionate Share Adjustment,,,,,,,
30, Percentage of SSI recipient patient days to Medicare Part A patient days  (see instructions),,,,,,,30
31," Percentage of Medicaid patient days to total days reported on Worksheet S-2, Part I, line 24. (see instructions)",,,,,,,31
32, Sum of lines 30 and 31,,,,,,,32
33, Allowable disproportionate share percentage  (see instructions),,,,,,,33
34, Disproportionate share adjustment  (see instructions),,,,,,,34
,,,,,,,,
,Check,,, [ ] Hospital, [ ] IPF,,,
,applicable box:,,, [ ] IRF, [ ] Subprovider (other),,,
,,,,,,,,
,PART A - INPATIENT HOSPITAL SERVICES UNDER PPS,,,,,,,
,,,,,,,,
,Additional payment for high percentage of ESRD beneficiary discharges,,,,,,,
40," Total Medicare discharges on Worksheet S-3, Part I excluding discharges for MS-DRGs 652, 682, 683, ",,,,,,,40
, 684 and 685  (see instructions),,,,,,,
41," Total ESRD Medicare discharges excluding MS-DRGs 652, 682, 683, 684 an 685  (see instructions)",,,,,,,41
42," Divide line 41 by line 40 (if less than 10%, you do not qualify for adjustment)",,,,,,,42
43," Total Medicare ESRD inpatient days excluding MS-DRGs 652, 682, 683, 684 an 685  (see instructions)",,,,,,,43
44, Ratio of average length of stay to one week (line 43 divided by line 41 divided by 7 days),,,,,,,44
45, Average weekly cost for dialysis treatments  (see instructions) ,,,,,,,45
46, Total additional payment (line 45 times line 44 times line 41),,,,,,,46
47, Subtotal  (see instructions) ,,,,,,,47
48," Hospital specific payments (to be completed by SCH and MDH, small rural hospitals only  (see instructions)",,,,,,,48
49, Total payment for inpatient operating costs SCH and MDH only  (see instructions),,,,,,,49
50," Payment for inpatient program capital (from Worksheet L, Parts I, II, as applicable)",,,,,,,50
51," Exception payment for inpatient program capital (Worksheet L, Part III)  (see instructions)",,,,,,,51
52," Direct graduate medical education payment (from Worksheet E-4, line 49)  (see instructions).",,,,,,,52
53, Nursing and allied health managed care payment,,,,,,,53
54, Special add-on payments for new technologies,,,,,,,54
55," Net organ acquisition cost (Worksheet D-4 Part III, col. 1, line 69)",,,,,,,55
56," Cost of teaching physicians (Worksheet D-5, Part II, col. 3, line 20)",,,,,,,56
57, Routine service other pass through costs,,,,,,,57
58," Ancillary service other pass through costs Worksheet D, Part IV, col. 11 line 200)",,,,,,,58
59, Total (sum of amounts on lines 49 through 58),,,,,,,59
60, Primary payer payments,,,,,,,60
61, Total amount payable for program beneficiaries (line 59 minus line 60),,,,,,,61
62, Deductibles billed to program beneficiaries,,,,,,,62
63, Coinsurance billed to program beneficiaries,,,,,,,63
64, Allowable bad debts  (see instructions),,,,,,,64
65, Adjusted reimbursable bad debts  (see instructions),,,,,,,65
66, Allowable bad debts for dual eligible beneficiaries  (see instructions),,,,,,,66
67, Subtotal (line 61 plus line 65 minus lines 62 and 63) ,,,,,,,67
68, Credits received from manufacturers for replaced devices applicable to MS-DRG  (see instructions),,,,,,,68
69, Outlier payments reconciliation,,,,,,,69
70,Other adjustments (specify)  (see instructions),,,,,,,70
71, Amount due provider (line 67 minus lines 68 plus/minus lines 69 & 70),,,,,,,71
72, Interim payments,,,,,,,72
73, Tentative settlement (for contractor use only) ,,,,,,,73
74, Balance due provider (Program) (lines 71 minus the sum of lines  72  and 73),,,,,,,74
75," Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II, section 115.2",,,,,,,75
,,,,,,,,
,TO BE COMPLETED BY CONTRACTOR,,,,,,,
90," Operating outlier amount from Worksheet E, Part A line 2",,,,,,,90
91," Capital outlier from Worksheet L, Part I, line 2",,,,,,,91
92, Operating outlier reconciliation adjustment amount  (see instructions),,,,,,,92
93, Capital outlier reconciliation adjustment amount  (see instructions),,,,,,,93
94, The rate used to calculate the Time Value of Money  (see instructions),,,,,,,94
95, Time Value of Money for operating expenses  (see instructions),,,,,,,95
96, Time Value of Money for capital related expenses  (see instructions),,,,,,,96
