" Tentative settlement (for contractors use only)","","","","","","42", , , , , , , , , , , , , 
"\" Balance due provider/program (line 40 minus the sum of lines 41"," and 42) \"","","","","","","43", , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","44", , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"Check applicable box","","  [  ] Hospital     [  ] IPF        [ ] IRF      [  ] Subprovider(Other)        [  ] SNF","","","","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","", , , , , , , , , , , , , 
" Original outlier amount  (see instructions)","","","","","","90", , , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","","91", , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money","","","","","","92", , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","","93", , , , , , , , , , , , , 
" Total (sum of lines 91 and 93)","","","","","","94", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
" SECTION 4030.2)\"","","","","","","","", , , , , , , , , , , , 
"","","","","","","40-587", , , , , , , , , , , , , 
 ,"Entity[549652] Report(E00A18B[00100])", , , , , , , , , , , , , , , , , , 
 ,"334869", , , , , , , , , , , , , , , , , , 
 ,"104001859", , , , , , , , , , , , , , , , , , 
 ,"60411003", , , , , , , , , , , , , , , , , , 
 ,"5961802", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"94641692", , , , , , , , , , , , , , , , , , 
 ,"70", , , , , , , , , , , , , , , , , , 
 ,"28268887", , , , , , , , , , , , , , , , , , 
 ,"2685436", , , , , , , , , , , , , , , , , , 
 ,"334869", , , , , , , , , , , , , , , , , , 
 ,"1201153", , , , , , , , , , , , , , , , , , 
 ,"1201153", , , , , , , , , , , , , , , , , , 
 ,"866284", , , , , , , , , , , , , , , , , , 
 ,"334869", , , , , , , , , , , , , , , , , , 
 ,"2383383", , , , , , , , , , , , , , , , , , 
 ,"311352684", , , , , , , , , , , , , , , , , , 
 ,"10527", , , , , , , , , , , , , , , , , , 
 ,"39671192", , , , , , , , , , , , , , , , , , 
 ,"274389217", , , , , , , , , , , , , , , , , , 
 ,"2267151", , , , , , , , , , , , , , , , , , 
 ,"276656368", , , , , , , , , , , , , , , , , , 
 ,"23094", , , , , , , , , , , , , , , , , , 
 ,"276633274", , , , , , , , , , , , , , , , , , 
 ,"2886926", , , , , , , , , , , , , , , , , , 
 ,"1876502", , , , , , , , , , , , , , , , , , 
 ,"682165", , , , , , , , , , , , , , , , , , 
 ,"278509776", , , , , , , , , , , , , , , , , , 
 ,"278509776", , , , , , , , , , , , , , , , , , 
 ,"5570196", , , , , , , , , , , , , , , , , , 
 ,"296303604", , , , , , , , , , , , , , , , , , 
 ,"-23364024", , , , , , , , , , , , , , , , , , 
 ,"24290149", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 549652"," Report E10A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B","", , , , , , , , , , , 
"box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount", , , , , , , , , , , 
"Description","","","","1","2","3","4","", , , , , , , , , , , 
"Total interim payments paid to provider","","","","","","","","1", , , , , , , , , , , 
"\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2", , , , , , , , , , 
"\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","","", , , , , , , , , , 
"List separately each retroactive  ","","","0.01","","","","","3.01", , , , , , , , , , , 
"lump sum adjustment amount based","","","0.02","","","","","3.02", , , , , , , , , , , 
"on subsequent revision of the","","Program to ","0.03","","","","","3.03", , , , , , , , , , , 
"interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04", , , , , , , , , , , 
"Also show date of each payment.","","","0.05","","","","","3.05", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5", , , , , , , , , , 
"","","","0.51","","","","","3.51", , , , , , , , , , , 
"","","Provider to ","0.52","","","","","3.52", , , , , , , , , , , 
"","","Program","0.53","","","","","3.53", , , , , , , , , , , 
"","","","0.54","","","","","3.54", , , , , , , , , , , 
"Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99", , , , , , , , , , , 
"\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4", , , , , , , , , 
"\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","","", , , , , , , , , , 
"and column as appropriate)","","","","","","","","", , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","","", , , , , , , , , , , 
"List separately each tentative settlement","","Program to","0.01","","","","","5.01", , , , , , , , , , , 
"payment after desk review. Also show","","Provider","0.02","","","","","5.02", , , , , , , , , , , 
"date of each payment.","","","0.03","","","","","5.03", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5", , , , , , , , , , 
"","","Provider to ","0.51","","","","","5.51", , , , , , , , , , , 
"","","Program","0.52","","","","","5.52", , , , , , , , , , , 
"Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99", , , , , , , , , , , 
"Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01", , , , , , , , , , , 
"due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02", , , , , , , , , , , 
"Total Medicare program liability (see instructions)","","","","","","","","7", , , , , , , , , , , 
" Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","","", , , , , , , 
"even though total repayment is not accomplished until a later date.","","","","","","","","", , , , , , , , , , , 
"Entity[549652] Report(E10A181[00000])","Entity[549652] Report(E10A181[00100])","Entity[549652] Report(E10A181[00200])","Entity[549652] Report(E10A181[00300])","Entity[549652] Report(E10A181[00400])", , , , , , , , , , , , , , , 
 , ,"204877224", ,"295061547", , , , , , , , , , , , , , , 
 ,"04/17/2014","5385328","04/17/2014","1232550", , , , , , , , , , , , , , , 
 ,"07/07/2014","1816","07/07/2014","9507", , , , , , , , , , , , , , , 
 , ,"5387144", ,"1242057", , , , , , , , , , , , , , , 
 , ,"210264368", ,"296303604", , , , , , , , , , , , , , , 
 , , , ,"23364024", , , , , , , , , , , , , , , 
 , ,"218638586", ,"272939580", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 549652"," Report E30A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] Subprovider (Other) ","","","", , , , , , , , , , , , , , 
"box:","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"PART I - CALCULATION OF MEDICARE REIMBURSEMENT SETTLEMENT UNDER - TEFRA ","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
" Inpatient hospital services (see instructions)","","","","","1", , , , , , , , , , , , , , 
" Organ acquisition","","","","","2", , , , , , , , , , , , , , 
"\" Cost of teaching physicians (from Worksheet D-5"," Part II"," column 3"," line 20)  (see instructions)\"","","","","","3", , , , , , , , , , , 
" Subtotal (sum of lines 1 thru 3)","","","","","4", , , , , , , , , , , , , , 
" Primary payer payments","","","","","5", , , , , , , , , , , , , , 
" Subtotal (line 4 less line 5).","","","","","6", , , , , , , , , , , , , , 
" Deductibles","","","","","7", , , , , , , , , , , , , , 
" Subtotal (line 6 minus line 7)","","","","","8", , , , , , , , , , , , , , 
" Coinsurance","","","","","9", , , , , , , , , , , , , , 
" Subtotal (line 8 minus line 9)","","","","","10", , , , , , , , , , , , , , 
" Allowable bad debts (exclude bad debts for professional services)  (see instructions)","","","","","11", , , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","12", , , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","13", , , , , , , , , , , , , , 
" Subtotal (sum of lines 10 and 12) ","","","","","14", , , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 49)\"","","","","","15", , , , , , , , , , , , , 
" Other pass through costs  (see instructions)","","","","","16", , , , , , , , , , , , , , 
" Other adjustments  (specify)   (see instructions)","","","","","17", , , , , , , , , , , , , , 
" Total amount payable to the provider  (see instructions)","","","","","18", , , , , , , , , , , , , , 
" Interim payments","","","","","19", , , , , , , , , , , , , , 
" Tentative settlement (for contractor use only)","","","","","20", , , , , , , , , , , , , , 
" Balance due provider/program (line 18 minus the sum lines 19 and 20)","","","","","21", , , , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-2"," section 115.2\"","","","","","22", , , , , , , , , , , , , 
 ,"Entity[549652] Report(E30A181[00100])", , , , , , , , , , , , , , , , , , 
 ,"228500119", , , , , , , , , , , , , , , , , , 
 ,"228500119", , , , , , , , , , , , , , , , , , 
 ,"100687", , , , , , , , , , , , , , , , , , 
 ,"228399432", , , , , , , , , , , , , , , , , , 
 ,"5508352", , , , , , , , , , , , , , , , , , 
 ,"222891080", , , , , , , , , , , , , , , , , , 
 ,"1886576", , , , , , , , , , , , , , , , , , 
 ,"221004504", , , , , , , , , , , , , , , , , , 
 ,"968588", , , , , , , , , , , , , , , , , , 
 ,"629582", , , , , , , , , , , , , , , , , , 
 ,"372527", , , , , , , , , , , , , , , , , , 
 ,"221634086", , , , , , , , , , , , , , , , , , 
 ,"1466512", , , , , , , , , , , , , , , , , , 
 ,"223100598", , , , , , , , , , , , , , , , , , 
 ,"4462012", , , , , , , , , , , , , , , , , , 
 ,"210264368", , , , , , , , , , , , , , , , , , 
 ,"8374218", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 549652"," Report E30A197 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] Title XIX","   [ ] Subprovider","  [ ] ICF/MR","   [ ] TEFRA","", , , , , , , , , , , , , 
"boxes:","","","   [ ] SNF","","   [ ] Other","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"PART VII - CALCULATION OF REIMBURSEMENT - ALL OTHER HEALTH SERVICES FOR TITLES V OR XIX SERVICES","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","Title V or","", , , , , , , , , , , , , 
"COMPUTATION OF NET COST OF COVERED SERVICES","","","","","Title XIX","", , , , , , , , , , , , , 
" Inpatient hospital/SNF/NF services","","","","","","1", , , , , , , , , , , , , 
" Medical and other services","","","","","","2", , , , , , , , , , , , , 
" Organ acquisition (certified transplant centers only)","","","","","","3", , , , , , , , , , , , , 
"\" Subtotal (sum of lines 1"," 2 and 3)\"","","","","","","4", , , , , , , , , , , , 
" Inpatient primary payer payments","","","","","","5", , , , , , , , , , , , , 
" Outpatient primary payer payments","","","","","","6", , , , , , , , , , , , , 
" Subtotal (line 4 less sum of lines 5 and 6)","","","","","","7", , , , , , , , , , , , , 
"COMPUTATION OF LESSER OF COST OR CHARGES","","","","","","", , , , , , , , , , , , , 
" Reasonable Charges","","","","","","", , , , , , , , , , , , , 
" Routine service charges","","","","","","8", , , , , , , , , , , , , 
" Ancillary service charges","","","","","","9", , , , , , , , , , , , , 
"\" Organ acquisition charges"," net of revenue\"","","","","","","10", , , , , , , , , , , , 
" Incentive from target amount computation","","","","","","11", , , , , , , , , , , , , 
" Total reasonable charges (sum of lines 8 through 11)","","","","","","12", , , , , , , , , , , , , 
" CUSTOMARY CHARGES","","","","","","", , , , , , , , , , , , , 
" Amount actually collected from patients liable for payment for services on a charge basis","","","","","","13", , , , , , , , , , , , , 
" Amounts that would have been realized from patients liable for payment for services","","","","","","14", , , , , , , , , , , , , 
" on a charge basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","","", , , , , , , , , , , , , 
" Ratio of line 13 to line 14 (not to exceed 1.000000)","","","","","","15", , , , , , , , , , , , , 
" Total customary charges  (see instructions)","","","","","","16", , , , , , , , , , , , , 
" Excess of customary charges over reasonable cost (complete only if line 16","","","","","","17", , , , , , , , , , , , , 
" exceeds line 7)  (see instructions)","","","","","","", , , , , , , , , , , , , 
" Excess of reasonable cost over customary charges (complete only if line 7 exceeds line 16)  (see instructions)","","","","","","18", , , , , , , , , , , , , 
" Interns and residents  (see instructions)","","","","","","19", , , , , , , , , , , , , 
" Cost of teaching physicians  (see instructions)","","","","","","20", , , , , , , , , , , , , 
" Cost of covered services (line 7)","","","","","","21", , , , , , , , , , , , , 
" PROSPECTIVE PAYMENT AMOUNT","","","","","","", , , , , , , , , , , , , 
" Other than outlier payments","","","","","","22", , , , , , , , , , , , , 
" Outlier payments","","","","","","23", , , , , , , , , , , , , 
" Program capital payments","","","","","","24", , , , , , , , , , , , , 
" Capital exception payments  (see instructions)","","","","","","25", , , , , , , , , , , , , 
" Routine and ancillary service other pass through costs","","","","","","26", , , , , , , , , , , , , 
" Subtotal (sum of lines 22 through 26)","","","","","","27", , , , , , , , , , , , , 
" Customary charges (title XIX PPS covered services only)","","","","","","28", , , , , , , , , , , , , 
"\" Titles V or XIX PPS"," lesser of lines 27 or 28; non-PPS enter amount from line 27\"","","","","","","29", , , , , , , , , , , , 
" COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","","", , , , , , , , , , , , , 
" Excess of reasonable cost (from line 18)","","","","","","30", , , , , , , , , , , , , 
" Subtotal (sum of lines 19 through 21 minus 29)","","","","","","31", , , , , , , , , , , , , 
" Deductibles","","","","","","32", , , , , , , , , , , , , 
" Coinsurance","","","","","","33", , , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","34", , , , , , , , , , , , , 
" Utilization review","","","","","","35", , , , , , , , , , , , , 
"\" Subtotal (sum of lines 31"," 34 and 35 minus the sum of lines 32 and 33)\"","","","","","","36", , , , , , , , , , , , 
" Other adjustments (specify)  (see instructions)","","","","","","37", , , , , , , , , , , , , 
" Subtotal (line 36 � line 37)","","","","","","38", , , , , , , , , , , , , 
" Direct graduate medical education payments (from Worksheet E-4)","","","","","","39", , , , , , , , , , , , , 
" Total amount payable to the provider (sum of lines 38 and 39)","","","","","","40", , , , , , , , , , , , , 
" Interim payments","","","","","","41", , , , , , , , , , , , , 
" Balance due provider/program (line 40 minus 41) ","","","","","","42", , , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub 15-2"," section 115.2\"","","","","","","43", , , , , , , , , , , , 
"Entity[549652] Report(E30A197[00000])","Entity[549652] Report(E30A197[00100])","Entity[549652] Report(E30A197[00200])", , , , , , , , , , , , , , , , , 
 ,"18052190", , , , , , , , , , , , , , , , , , 
 , ,"19072291", , , , , , , , , , , , , , , , , 
 ,"72621", , , , , , , , , , , , , , , , , , 
 , ,"17859", , , , , , , , , , , , , , , , , 
 ,"17979569","19054432", , , , , , , , , , , , , , , , , 
 ,"32266806","34118861", , , , , , , , , , , , , , , , , 
 ,"208", , , , , , , , , , , , , , , , , , 
 ,"32267014","34118861", , , , , , , , , , , , , , , , , 
 ,"32267014","34118861", , , , , , , , , , , , , , , , , 
 ,"14214824","15046570", , , , , , , , , , , , , , , , , 
 ,"84824","183755", , , , , , , , , , , , , , , , , 
 ,"18052190","19072291", , , , , , , , , , , , , , , , , 
 ,"18052190","19072291", , , , , , , , , , , , , , , , , 
 ,"18064393","19238187", , , , , , , , , , , , , , , , , 
 ,"18064393","19238187", , , , , , , , , , , , , , , , , 
"TO CALCULATE MEDICAID SETTLEMENT","53931","-183759", , , , , , , , , , , , , , , , , 
 ,"18118324","19054428", , , , , , , , , , , , , , , , , 
 ,"18118324","19054428", , , , , , , , , , , , , , , , , 
 ,"18827899","21797598", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 549652"," Report E40A180 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DIRECT GRADUATE MEDICAL EDUCATION (GME) ","","","","","", , , , , , , , , , , , , , 
"& ESRD OUTPATIENT DIRECT MEDICAL ","","","","","", , , , , , , , , , , , , , 
"EDUCATION COSTS","","","","","", , , , , , , , , , , , , , 
"Check","","   [ ]  Title V","","","", , , , , , , , , , , , , , 
"applicable","","   [ ]  Title XVIII","","","", , , , , , , , , , , , , , 
"box:","","   [ ]  Title XIX","","","", , , , , , , , , , , , , , 
"COMPUTATION OF TOTAL DIRECT GME AMOUNT","","","","","", , , , , , , , , , , , , , 
"\" Unweighted resident FTE count for allopathic and osteopathic programs for cost reporting periods ending on or before December 31"," 1996\"","","","","","1", , , , , , , , , , , , , 
" Unweighted FTE resident cap add-on for new programs per 42 CFR 413.79(e)(1)  (see instructions)","","","","","2", , , , , , , , , , , , , , 
" Amount of reduction to Direct GME cap under section 422 of MMA ","","","","","3", , , , , , , , , , , , , , 
" 3.01 Direct GME cap reduction amount under ACA �5503 in accordance with CFR �413.79 (m).  (see instructions ","","","","","3.01", , , , , , , , , , , , , , 
" for cost reporting periods straddling 7/1/2011)","","","","","", , , , , , , , , , , , , , 
" Adjustment (plus or minus) to the FTE cap for allopathic and osteopathic programs due to a Medicare GME  ","","","","","4", , , , , , , , , , , , , , 
" affiliation agreement (42 CFR �413.75(b) and � 413.79 (f))","","","","","", , , , , , , , , , , , , , 
" 4.01ACA Section 5503 increase to the Direct GME FTE Cap (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.01", , , , , , , , , , , , , , 
" 4.02ACA Section 5506 number of additional direct GME FTE cap slots  (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.02", , , , , , , , , , , , , , 
" FTE adjusted cap (line 1 plus line 2 minus line 3 and 3.01 plus or minus line 4 plus line 4.01 plus line 4.02 plus applicable subscripts","","","","","5", , , , , , , , , , , , , , 
" Unweighted resident FTE count for allopathic and osteopathic programs for the current year from your records  (see instructions)","","","","","6", , , , , , , , , , , , , , 
" Enter the lesser of line 5 or line 6","","","","","7", , , , , , , , , , , , , , 
"","","Primary Care","Other ","Total","", , , , , , , , , , , , , , 
"","","1","2","3","", , , , , , , , , , , , , , 
" Weighted FTE count for physicians in an allopathic and osteopathic program for","","","","","8", , , , , , , , , , , , , , 
" the current year","","","","","", , , , , , , , , , , , , , 
"\" If line 6 is less than 5 enter the amount from line 8"," otherwise  multiply line 8 times\"","","","","","9", , , , , , , , , , , , , 
" the result of line 5 divided by the amount on line 6","","","","","", , , , , , , , , , , , , , 
" Weighted dental and podiatric resident FTE count for the current year ","","","","","10", , , , , , , , , , , , , , 
" Total weighted FTE count","","","","","11", , , , , , , , , , , , , , 
" Total weighted resident FTE count for the prior cost reporting year  (see instructions)","","","","","12", , , , , , , , , , , , , , 
" Total weighted resident FTE count for the penultimate cost reporting year  (see instr.)","","","","","13", , , , , , , , , , , , , , 
" Rolling average FTE count (sum of lines 11 through 13 divided by 3)","","","","","14", , , , , , , , , , , , , , 
" Adjustment for residents in initial years of new programs","","","","","15", , , , , , , , , , , , , , 
" Adjustment for residents displaced by program or hospital closure","","","","","16", , , , , , , , , , , , , , 
" Adjusted rolling average FTE count","","","","","17", , , , , , , , , , , , , , 
" Per resident amount","","","","","18", , , , , , , , , , , , , , 
" Approved amount for resident costs","","","","","19", , , , , , , , , , , , , , 
" Additional unweighted allopathic and osteopathic direct GME FTE resident cap slots received under 42 Sec. 413.79(c )(4)","","","","","20", , , , , , , , , , , , , , 
" GME FTE weighted resident count over cap  (see instructions)","","","","","21", , , , , , , , , , , , , , 
" Allowable additional direct GME FTE resident count  (see instructions)","","","","","22", , , , , , , , , , , , , , 
" Enter the locality adjustment national average per resident amount  (see instructions)","","","","","23", , , , , , , , , , , , , , 
