"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A600CG0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[549652] Report(A600CG0)","Entity[549652] Report(A600CG0[00000])","Entity[549652] Report(A600CG0[00100])", ,"Entity[549652] Report(A600CG0[00300])", ,"Entity[549652] Report(A600CG0[00500])", ,"Entity[549652] Report(A600CG0[00700])", ,"Entity[549652] Report(A600CG0[00900])"
"Line(04300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"62", ,"712704"
"Line(04400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"65", ,"1245484"
"Line(04500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"66", ,"1761409"
"Line(04600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"69", ,"688222"
"Line(04700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"70", ,"93472"
"Line(04800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"553002"
"Line(04900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1596387"
"Line(05000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"51516"
"Line(05100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1213765"
"Line(05200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"2473416"
"Line(05300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1358613"
"Line(05400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1232005"
"Line(05500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"260279"
"Line(05600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1411761"
"Line(05700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1177071"
"Line(05800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"767100"
"Line(05900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"646380"
"Line(06000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1302225"
"Line(06100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"2169579"
"Line(06200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"750757"
"Line(06300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"512660"
"Line(06400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1439013"
"Line(06500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1376042"
"Line(06600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"877361"
"Line(06700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"2319232"
"Line(06800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1691022"
"Line(06900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"3073382"
"Line(07000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"414297"
"Line(07100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1675151"
"Line(07200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"886378"
"Line(07300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"907617"
"Line(07400)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1026504"
"Line(07500)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"992555"
"Line(07600)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"90", ,"1111687"
"Line(07700)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"190", ,"444481"
"Line(07800)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"191", ,"43974523"
"Line(07900)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"191", ,"14723091"
"Line(08000)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"192", ,"591690"
"Line(08100)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"194", ,"4528259"
"Line(08200)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"194", ,"2318496"
"Line(08300)","EMPLOYEE BENEFITS- FG 10","CG", , , , , ,"194", ,"826602"
