"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[549652] Report(A820010)", ,"Entity[549652] Report(A820010[00100])","Entity[549652] Report(A820010[00200])","Entity[549652] Report(A820010[00300])", ,"Entity[549652] Report(A820010[00500])","Entity[549652] Report(A820010[00600])","Entity[549652] Report(A820010[00700])","Entity[549652] Report(A820010[00800])","Entity[549652] Report(A820010[00900])", , , , ,"Entity[549652] Report(A820010[01400])","Entity[549652] Report(A820010[01500])","Entity[549652] Report(A820010[01600])","Entity[549652] Report(A820010[01700])","Entity[549652] Report(A820010[01800])"
"Line(01500)", ,"90","AGGREGATE-CLINIC- LYMP/MYEL","1170930", ,"1170930","177200","7954","677620","33881", , , , ,"568","568","678188","492742","492742"
"Line(01600)", ,"90","AGGREGATE-CLINIC- BMT","1632211", ,"1632211","177200","10220","870665","43533", , , , ,"730","730","871395","760816","760816"
"Line(01700)", ,"90","AGGREGATE-CLINIC- NEUROLOGY","2570047", ,"2570047","177200","13918","1185707","59285", , , , ,"995","995","1186702","1383345","1383345"
"Line(01800)", ,"90","AGGREGATE-CLINIC- SKIN","629689", ,"629689","177200","3163","269463","13473", , , , ,"226","226","269689","360000","360000"
"Line(01900)", ,"90","AGGREGATE-CLINIC- SARCOMA","1028796", ,"1028796","177200","6847","583312","29166", , , , ,"489","489","583801","444995","444995"
"Line(02000)", ,"90","AGGREGATE-CLINIC- BREAST ONCOLOGY","1413156", ,"1413156","177200","7959","678046","33902", , , , ,"569","569","678615","734541","734541"
"Line(02100)", ,"90","AGGREGATE-CLINIC- EMERGENCY CENTER","664474", ,"664474","177200","5628","479462","23973", , , , ,"402","402","479864","184610","184610"
"Line(02200)", ,"90","AGGREGATE-CLINIC- GENERAL ONCOLOGY","2162219", ,"2162219","177200","17915","1526220","76311", , , , ,"1280","1280","1527500","634719","634719"
"Line(02300)", ,"90","AGGREGATE-CLINIC- GYN ONCOLOGY","2310293", ,"2310293","177200","9456","805578","40279", , , , ,"676","676","806254","1504039","1504039"
"Line(02400)", ,"90","AGGREGATE-CLINIC- MEDICAL SPECIALTIE","1893199", ,"1893199","177200","14388","1225747","61287", , , , ,"1028","1028","1226775","666424","666424"
"Line(02500)", ,"90","AGGREGATE-CLINIC- SURGERY","1263001", ,"1263001","177200","6696","570448","28522", , , , ,"479","479","570927","692074","692074"
"Line(02600)", ,"90","AGGREGATE-CLINIC- HEAD & NECK","3030042", ,"3030042","177200","18280","1557315","77866", , , , ,"1306","1306","1558621","1471421","1471421"
"Line(02700)", ,"90","AGGREGATE-CLINIC- GU ONCOLOGY","1151477", ,"1151477","177200","6950","592087","29604", , , , ,"497","497","592584","558893","558893"
"Line(02800)", ,"90","AGGREGATE-CLINIC- CANCER PREVENTION","747073", ,"747073","177200","4609","392651","19633", , , , ,"329","329","392980","354093","354093"
"Line(02900)", ,"90","AGGREGATE-CLINIC- PALLIATIVE CARE","1378218", ,"1378218","177200","9800","834885","41744", , , , ,"700","700","835585","542633","542633"
"Line(03000)", ,"90","AGGREGATE-CLINIC- BAY AREA SATELLITE","453324", ,"453324","177200","2487","211873","10594", , , , ,"178","178","212051","241273","241273"
"Line(03100)", ,"90","AGGREGATE-CLINIC- KATY SATELLITE","706253", ,"706253","177200","3567","303881","15194", , , , ,"255","255","304136","402117","402117"
"Line(03200)", ,"90","AGGREGATE-CLINIC- SUGARLAND SATELLIT","302416", ,"302416","177200","1879","160076","8004", , , , ,"134","134","160210","142206","142206"
"Line(03300)", ,"90","AGGREGATE-CLINIC- WOODLANDS SATELLIT","691278", ,"691278","177200","3854","328331","16417", , , , ,"275","275","328606","362672","362672"
