"24","\" Total prospective payment (sum of lines 3"," 4"," 8 and 9)\"","","","","","","24"
"","COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","",""
"25"," Deductibles and coinsurance  (see instructions)","","","","","","25"
"26"," Deductibles and Coinsurance relating to amount on line 24  (see instructions)","","","","","","26"
"27"," Subtotal {(lines 21 and 24 - the sum of lines 25 and 26) plus the sum of lines 22 and 23}  (see instructions)","","","","","","27"
"28","\" Direct graduate medical education payments (from Worksheet E-4"," line 50)\"","","","","","","28"
"29","\" ESRD direct medical education costs (from Worksheet E-4"," line 36)\"","","","","","","29"
"30"," Subtotal (sum of lines 27 through 29)","","","","","","30"
"31"," Primary payer payments","","","","","","31"
"32"," Subtotal (line 30 minus line 31)","","","","","","32"
" ","ALLOWABLE BAD DEBTS (EXCLUDE BAD DEBTS FOR PROFESSIONAL SERVICES)","","","","",""," "
"33","\" Composite rate ESRD (from Worksheet I-5"," line 11)\"","","","","","","33"
"34"," Allowable bad debts  (see instructions)","","","","","","34"
"35"," Adjusted reimbursable bad debts  (see instructions)","","","","","","35"
"36"," Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","36"
"37","\" Subtotal (sum of lines 32"," 33"," and 34 or 35) (line 35 hospital and subprovider only)\"","","","","","","37"
"38"," MSP-LCC reconciliation amount from PS&R","","","","","","38"
"39"," Other adjustments (specify)  (see instructions)","","","","","","39"
"40"," Subtotal (line 37 plus or minus lines 39 minus 38)","","","","","","40"
"41"," Interim payments","","","","","","41"
"42"," Tentative settlement (for contractors use only)","","","","","","42"
"43","\" Balance due provider/program (line 40 minus the sum of lines 41"," and 42) \"","","","","","","43"
"44","\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","44"
"","","","","","","",""
"","Check applicable box","","  [  ] Hospital     [  ] IPF        [ ] IRF      [  ] Subprovider(Other)        [  ] SNF","","","",""
"","PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","",""
"","","","","","","",""
"","TO BE COMPLETED BY CONTRACTOR","","","","","",""
"90"," Original outlier amount  (see instructions)","","","","","","90"
"91"," Outlier reconciliation adjustment amount  (see instructions)","","","","","","91"
"92"," The rate used to calculate the Time Value of Money","","","","","","92"
"93"," Time Value of Money  (see instructions)","","","","","","93"
"94"," Total (sum of lines 91 and 93)","","","","","","94"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"\"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II"," SECTION 4030.2)\"","","","","","","",""
"Rev. 2","","","","","","","40-587"
"Entity[549652] Report(E00A18B)", ,"Entity[549652] Report(E00A18B[00100])"
"Line(00100)", ,"334869"
"Line(00200)", ,"104001859"
"Line(00300)", ,"60411003"
"Line(00400)", ,"5961802"
"Line(00500)", ,"1"
"Line(00600)", ,"94641692"
"Line(00700)", ,"70"
"Line(00800)", ,"28268887"
"Line(00900)", ,"2685436"
"Line(01100)", ,"334869"
"Line(01400)", ,"1201153"
"Line(01800)", ,"1201153"
"Line(01900)", ,"866284"
"Line(02100)", ,"334869"
"Line(02200)", ,"2383383"
"Line(02400)", ,"311352684"
"Line(02500)", ,"10527"
"Line(02600)", ,"39671192"
"Line(02700)", ,"274389217"
"Line(02800)", ,"2267151"
"Line(03000)", ,"276656368"
"Line(03100)", ,"23094"
"Line(03200)", ,"276633274"
"Line(03400)", ,"2886926"
"Line(03500)", ,"1876502"
"Line(03600)", ,"682165"
"Line(03700)", ,"278509776"
"Line(04000)", ,"278509776"
"Line(04001)", ,"5570196"
"Line(04100)", ,"296303604"
"Line(04300)", ,"-23364024"
"Line(04400)", ,"24290149"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report E10A181 ","-------------","-------------","-----------",""
"","applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B",""
"","box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount"
"","Description","","","","1","2","3","4",""
"1","Total interim payments paid to provider","","","","","","","","1"
"2","\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2"
"","\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","",""
"3","List separately each retroactive  ","","","0.01","","","","","3.01"
"","lump sum adjustment amount based","","","0.02","","","","","3.02"
"","on subsequent revision of the","","Program to ","0.03","","","","","3.03"
"","interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04"
"","Also show date of each payment.","","","0.05","","","","","3.05"
"","\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5"
"","","","","0.51","","","","","3.51"
"","","","Provider to ","0.52","","","","","3.52"
"","","","Program","0.53","","","","","3.53"
"","","","","0.54","","","","","3.54"
"","Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99"
"4","\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4"
"","\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","",""
"","and column as appropriate)","","","","","","","",""
"","TO BE COMPLETED BY CONTRACTOR","","","","","","","",""
"5","List separately each tentative settlement","","Program to","0.01","","","","","5.01"
"","payment after desk review. Also show","","Provider","0.02","","","","","5.02"
"","date of each payment.","","","0.03","","","","","5.03"
"","\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5"
"","","","Provider to ","0.51","","","","","5.51"
"","","","Program","0.52","","","","","5.52"
"","Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99"
"6","Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01"
"","due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02"
"7","Total Medicare program liability (see instructions)","","","","","","","","7"
"8"," Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8"
"","","","","","","","","",""
"","","","","","","","","",""
"","\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","",""
"","even though total repayment is not accomplished until a later date.","","","","","","","",""
"Entity[549652] Report(E10A181)","Entity[549652] Report(E10A181[00000])","Entity[549652] Report(E10A181[00100])","Entity[549652] Report(E10A181[00200])","Entity[549652] Report(E10A181[00300])","Entity[549652] Report(E10A181[00400])"
"Line(00100)", , ,"204877224", ,"295061547"
"Line(00301)", ,"04/17/2014","5385328","04/17/2014","1232550"
"Line(00302)", ,"07/07/2014","1816","07/07/2014","9507"
"Line(00399)", , ,"5387144", ,"1242057"
"Line(00400)", , ,"210264368", ,"296303604"
"Line(00602)", , , , ,"23364024"
"Line(00700)", , ,"218638586", ,"272939580"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report E30A181 ","-------------","-------------","-----------",""
"","applicable","","   [ ] Subprovider (Other) ","","",""
"","box:","","","","",""
"","","","","","",""
"","PART I - CALCULATION OF MEDICARE REIMBURSEMENT SETTLEMENT UNDER - TEFRA ","","","","",""
"","","","","","",""
"1"," Inpatient hospital services (see instructions)","","","","","1"
"2"," Organ acquisition","","","","","2"
"3","\" Cost of teaching physicians (from Worksheet D-5"," Part II"," column 3"," line 20)  (see instructions)\"","","","","","3"
"4"," Subtotal (sum of lines 1 thru 3)","","","","","4"
"5"," Primary payer payments","","","","","5"
"6"," Subtotal (line 4 less line 5).","","","","","6"
"7"," Deductibles","","","","","7"
"8"," Subtotal (line 6 minus line 7)","","","","","8"
"9"," Coinsurance","","","","","9"
"10"," Subtotal (line 8 minus line 9)","","","","","10"
"11"," Allowable bad debts (exclude bad debts for professional services)  (see instructions)","","","","","11"
"12"," Adjusted reimbursable bad debts  (see instructions)","","","","","12"
"13"," Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","13"
"14"," Subtotal (sum of lines 10 and 12) ","","","","","14"
"15","\" Direct graduate medical education payments (from Worksheet E-4"," line 49)\"","","","","","15"
"16"," Other pass through costs  (see instructions)","","","","","16"
"17"," Other adjustments  (specify)   (see instructions)","","","","","17"
"18"," Total amount payable to the provider  (see instructions)","","","","","18"
"19"," Interim payments","","","","","19"
"20"," Tentative settlement (for contractor use only)","","","","","20"
"21"," Balance due provider/program (line 18 minus the sum lines 19 and 20)","","","","","21"
"22","\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-2"," section 115.2\"","","","","","22"
"Entity[549652] Report(E30A181)", ,"Entity[549652] Report(E30A181[00100])"
"Line(00100)", ,"228500119"
"Line(00400)", ,"228500119"
"Line(00500)", ,"100687"
"Line(00600)", ,"228399432"
"Line(00700)", ,"5508352"
"Line(00800)", ,"222891080"
"Line(00900)", ,"1886576"
"Line(01000)", ,"221004504"
"Line(01100)", ,"968588"
"Line(01200)", ,"629582"
"Line(01300)", ,"372527"
"Line(01400)", ,"221634086"
"Line(01500)", ,"1466512"
"Line(01800)", ,"223100598"
"Line(01801)", ,"4462012"
"Line(01900)", ,"210264368"
"Line(02100)", ,"8374218"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report E30A197 ","-------------","-------------","-----------",""
"","applicable","","   [ ] Title XIX","   [ ] Subprovider","  [ ] ICF/MR","   [ ] TEFRA",""
"","boxes:","","","   [ ] SNF","","   [ ] Other",""
"","","","","","","",""
"","PART VII - CALCULATION OF REIMBURSEMENT - ALL OTHER HEALTH SERVICES FOR TITLES V OR XIX SERVICES","","","","","",""
"","","","","","","",""
"","","","","","","Title V or",""
"","COMPUTATION OF NET COST OF COVERED SERVICES","","","","","Title XIX",""
"1"," Inpatient hospital/SNF/NF services","","","","","","1"
"2"," Medical and other services","","","","","","2"
"3"," Organ acquisition (certified transplant centers only)","","","","","","3"
"4","\" Subtotal (sum of lines 1"," 2 and 3)\"","","","","","","4"
"5"," Inpatient primary payer payments","","","","","","5"
"6"," Outpatient primary payer payments","","","","","","6"
"7"," Subtotal (line 4 less sum of lines 5 and 6)","","","","","","7"
"","COMPUTATION OF LESSER OF COST OR CHARGES","","","","","",""
""," Reasonable Charges","","","","","",""
"8"," Routine service charges","","","","","","8"
"9"," Ancillary service charges","","","","","","9"
"10","\" Organ acquisition charges"," net of revenue\"","","","","","","10"
"11"," Incentive from target amount computation","","","","","","11"
"12"," Total reasonable charges (sum of lines 8 through 11)","","","","","","12"
""," CUSTOMARY CHARGES","","","","","",""
"13"," Amount actually collected from patients liable for payment for services on a charge basis","","","","","","13"
"14"," Amounts that would have been realized from patients liable for payment for services","","","","","","14"
""," on a charge basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","",""
"15"," Ratio of line 13 to line 14 (not to exceed 1.000000)","","","","","","15"
"16"," Total customary charges  (see instructions)","","","","","","16"
"17"," Excess of customary charges over reasonable cost (complete only if line 16","","","","","","17"
""," exceeds line 7)  (see instructions)","","","","","",""
"18"," Excess of reasonable cost over customary charges (complete only if line 7 exceeds line 16)  (see instructions)","","","","","","18"
"19"," Interns and residents  (see instructions)","","","","","","19"
"20"," Cost of teaching physicians  (see instructions)","","","","","","20"
"21"," Cost of covered services (line 7)","","","","","","21"
""," PROSPECTIVE PAYMENT AMOUNT","","","","","",""
"22"," Other than outlier payments","","","","","","22"
"23"," Outlier payments","","","","","","23"
"24"," Program capital payments","","","","","","24"
"25"," Capital exception payments  (see instructions)","","","","","","25"
"26"," Routine and ancillary service other pass through costs","","","","","","26"
"27"," Subtotal (sum of lines 22 through 26)","","","","","","27"
"28"," Customary charges (title XIX PPS covered services only)","","","","","","28"
"29","\" Titles V or XIX PPS"," lesser of lines 27 or 28; non-PPS enter amount from line 27\"","","","","","","29"
""," COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","",""
"30"," Excess of reasonable cost (from line 18)","","","","","","30"
"31"," Subtotal (sum of lines 19 through 21 minus 29)","","","","","","31"
"32"," Deductibles","","","","","","32"
"33"," Coinsurance","","","","","","33"
"34"," Allowable bad debts  (see instructions)","","","","","","34"
"35"," Utilization review","","","","","","35"
"36","\" Subtotal (sum of lines 31"," 34 and 35 minus the sum of lines 32 and 33)\"","","","","","","36"
"37"," Other adjustments (specify)  (see instructions)","","","","","","37"
"38"," Subtotal (line 36 � line 37)","","","","","","38"
"39"," Direct graduate medical education payments (from Worksheet E-4)","","","","","","39"
"40"," Total amount payable to the provider (sum of lines 38 and 39)","","","","","","40"
"41"," Interim payments","","","","","","41"
"42"," Balance due provider/program (line 40 minus 41) ","","","","","","42"
"43","\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub 15-2"," section 115.2\"","","","","","","43"
"Entity[549652] Report(E30A197)","Entity[549652] Report(E30A197[00000])","Entity[549652] Report(E30A197[00100])","Entity[549652] Report(E30A197[00200])"
"Line(00100)", ,"18052190"
"Line(00200)", , ,"19072291"
"Line(00500)", ,"72621"
"Line(00600)", , ,"17859"
"Line(00700)", ,"17979569","19054432"
"Line(00900)", ,"32266806","34118861"
"Line(01100)", ,"208"
"Line(01200)", ,"32267014","34118861"
"Line(01600)", ,"32267014","34118861"
"Line(01700)", ,"14214824","15046570"
"Line(01900)", ,"84824","183755"
"Line(02100)", ,"18052190","19072291"
"Line(02900)", ,"18052190","19072291"
"Line(03100)", ,"18064393","19238187"
"Line(03600)", ,"18064393","19238187"
"Line(03700)","TO CALCULATE MEDICAID SETTLEMENT","53931","-183759"
"Line(03800)", ,"18118324","19054428"
"Line(04000)", ,"18118324","19054428"
"Line(04100)", ,"18827899","21797598"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 549652"," Report E40A180 ","-------------","-------------","-----------",""
"","DIRECT GRADUATE MEDICAL EDUCATION (GME) ","","","","",""
"","& ESRD OUTPATIENT DIRECT MEDICAL ","","","","",""
"","EDUCATION COSTS","","","","",""
"","Check","","   [ ]  Title V","","",""
"","applicable","","   [ ]  Title XVIII","","",""
"","box:","","   [ ]  Title XIX","","",""
"","COMPUTATION OF TOTAL DIRECT GME AMOUNT","","","","",""
"1","\" Unweighted resident FTE count for allopathic and osteopathic programs for cost reporting periods ending on or before December 31"," 1996\"","","","","","1"
"2"," Unweighted FTE resident cap add-on for new programs per 42 CFR 413.79(e)(1)  (see instructions)","","","","","2"
"3"," Amount of reduction to Direct GME cap under section 422 of MMA ","","","","","3"
""," 3.01 Direct GME cap reduction amount under ACA �5503 in accordance with CFR �413.79 (m).  (see instructions ","","","","","3.01"
""," for cost reporting periods straddling 7/1/2011)","","","","",""
"4"," Adjustment (plus or minus) to the FTE cap for allopathic and osteopathic programs due to a Medicare GME  ","","","","","4"
""," affiliation agreement (42 CFR �413.75(b) and � 413.79 (f))","","","","",""
""," 4.01ACA Section 5503 increase to the Direct GME FTE Cap (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.01"
""," 4.02ACA Section 5506 number of additional direct GME FTE cap slots  (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.02"
"5"," FTE adjusted cap (line 1 plus line 2 minus line 3 and 3.01 plus or minus line 4 plus line 4.01 plus line 4.02 plus applicable subscripts","","","","","5"
"6"," Unweighted resident FTE count for allopathic and osteopathic programs for the current year from your records  (see instructions)","","","","","6"
"7"," Enter the lesser of line 5 or line 6","","","","","7"
"","","","Primary Care","Other ","Total",""
"","","","1","2","3",""
"8"," Weighted FTE count for physicians in an allopathic and osteopathic program for","","","","","8"
""," the current year","","","","",""
"9","\" If line 6 is less than 5 enter the amount from line 8"," otherwise  multiply line 8 times\"","","","","","9"
""," the result of line 5 divided by the amount on line 6","","","","",""
"10"," Weighted dental and podiatric resident FTE count for the current year ","","","","","10"
"11"," Total weighted FTE count","","","","","11"
"12"," Total weighted resident FTE count for the prior cost reporting year  (see instructions)","","","","","12"
"13"," Total weighted resident FTE count for the penultimate cost reporting year  (see instr.)","","","","","13"
"14"," Rolling average FTE count (sum of lines 11 through 13 divided by 3)","","","","","14"
"15"," Adjustment for residents in initial years of new programs","","","","","15"
"16"," Adjustment for residents displaced by program or hospital closure","","","","","16"
"17"," Adjusted rolling average FTE count","","","","","17"
"18"," Per resident amount","","","","","18"
"19"," Approved amount for resident costs","","","","","19"
"20"," Additional unweighted allopathic and osteopathic direct GME FTE resident cap slots received under 42 Sec. 413.79(c )(4)","","","","","20"
"21"," GME FTE weighted resident count over cap  (see instructions)","","","","","21"
"22"," Allowable additional direct GME FTE resident count  (see instructions)","","","","","22"
"23"," Enter the locality adjustment national average per resident amount  (see instructions)","","","","","23"
"24"," Multiply line 22 time line 23","","","","","24"
"25"," Total direct GME amount (sum of lines 19 and 24)","","","","","25"
""," COMPUTATION OF PROGRAM PATIENT LOAD","","Inpatient Part A","Managed Care","",""
"26"," Inpatient days","","","","","26"
"27"," Total inpatient days","","","","","27"
"28"," Ratio of inpatient days to total inpatient days","","","","","28"
"29"," Program direct GME amount","","","","","29"
"30"," Reduction for nursing/allied health","","","","","30"
"31"," Net Program direct GME amount","","","","","31"
""," DIRECT MEDICAL EDUCATION COSTS FOR ESRD COMPOSITE RATE - TITLE XVIII ONLY (NURSING SCHOOL AND","","","","",""
""," PARAMEDICAL EDUCATION COSTS)","","","","",""
"32","\" Renal dialysis direct medical education costs (from Worksheet B"," Part I"," sum of columns 20 and 23"," lines 74 and 94)\"","","","","","32"
"33","\" Renal dialysis and home dialysis total charges (Worksheet C"," Part I"," column 8"," sum of lines 74 and 94)\"","","","","","33"
"34"," Ratio of direct medical education costs to total charges (line 32 � line 33)","","","","","34"
"35"," Medicare outpatient ESRD charges  (see instructions)","","","","","35"
"36"," Medicare outpatient ESRD direct medical education costs (line 34 x line 35)","","","","","36"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","DIRECT GRADUATE MEDICAL EDUCATION (GME) ","",""," PROVIDER CCN:"," PERIOD:"," WORKSHEET E-4"
"","& ESRD OUTPATIENT DIRECT MEDICAL ","","",""," FROM ____________"," (Cont.)"
"","EDUCATION COSTS","",""," ________________"," TO _______________",""
"","Check","","   [ ]  Title V","","",""
"","applicable","","   [ ]  Title XVIII","","",""
"","box:","","   [ ]  Title XIX","","",""
"","APPORTIONMENT OF MEDICARE REASONABLE COST OF GME","","","","",""
"","Part A Reasonable Cost","","","","",""
"37"," Reasonable cost  (see instructions)","","","","","37"
"38","\" Organ acquisition costs (Worksheet D-4"," Part III"," column 1"," line 69)\"","","","","","38"
"39","\" Cost of teaching physicians (Worksheet D-5"," Part II"," column 3"," line 20)\"","","","","","39"
"40"," Primary payer payments  (see instructions)","","","","","40"
"41"," Total Part A reasonable cost (sum of lines 37 through 39 minus line 40)","","","","","41"
"","Part B Reasonable Cost ","","","","",""
"42"," Reasonable cost  (see instructions)","","","","","42"
"43"," Primary payer payments  (see instructions)","","","","","43"
"44"," Total Part B reasonable cost (line 42 minus line 43)","","","","","44"
"45"," Total reasonable cost (sum of lines 41 and 44)","","","","","45"
"46"," Ratio of Part A reasonable cost to total reasonable cost (line 41 � line 45)","","","","","46"
"47"," Ratio of Part B reasonable cost to total reasonable cost (line 44 � line 45)","","","","","47"
"","ALLOCATION OF MEDICARE DIRECT GME COSTS BETWEEN PART A AND PART B","","","","",""
"48"," Total program GME payment (line 31)","","","","","48"
"49"," Part A Medicare GME payment (line 46 x 48)(Title XVIII only)  (see instructions)","","","","","49"
"50"," Part B Medicare GME payment (line 47 x 48) (title XVIII only)  (see instructions)","","","","","50"
"Entity[549652] Report(E40A180)", ,"Entity[549652] Report(E40A180[00100])","Entity[549652] Report(E40A180[00200])","Entity[549652] Report(E40A180[00300])"
"Line(00100)", ,"157"
"Line(00500)", ,"157"
"Line(00600)", ,"300"
"Line(00700)", ,"157"
"Line(00800)", ,"38","160","198"
"Line(00900)", ,"20","84","104"
"Line(01000)", , ,"2"
"Line(01100)", ,"20","86"
"Line(01200)", ,"9","103"
"Line(01300)", ,"8","106"
"Line(01400)", ,"12","98"
"Line(01700)", ,"12","98"
"Line(01800)", ,"105636","99872"
"Line(01900)", ,"1307769","9810436","11118205"
"Line(02100)", ,"143"
"Line(02500)", ,"11118205"
"Line(02600)", ,"61997","6705"
"Line(02700)", ,"201761","201761"
"Line(02800)", ,"0","0"
"Line(02900)", ,"3416391","369480"
"Line(03000)", , ,"52208"
"Line(03100)", , , ,"3733663"
"Line(03700)", ,"226408473"
"Line(04000)", ,"100687"
"Line(04100)", ,"226307786"
"Line(04200)", ,"349883700"
"Line(04300)", ,"23094"
"Line(04400)", ,"349860606"
"Line(04500)", ,"576168392"
"Line(04600)", ,"0"
"Line(04700)", ,"1"
"Line(04800)", ,"3733663"
"Line(04900)", ,"1466512"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
