"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report H210002 ","-------------","-------------","-----------",""
"17"," Home Delivered Meals Program","","","","","","","","17","17"," Home Delivered Meals Program","","","","","","","","","","17","17"," Home Delivered Meals Program","","","","","","","","17"
"18"," Homemaker Service","","","","","","","","18","18"," Homemaker Service","","","","","","","","","","18","18"," Homemaker Service","","","","","","","","18"
"19"," All Others","","","","","","","","19","19"," All Others","","","","","","","","","","19","19"," All Others","","","","","","","","19"
"20"," Totals (sum of lines 1-19)","","","","","","","","20","20"," Totals (sum of lines 1-19)","","","","","","","","","","20","20"," Totals (sum of lines 1-19)","","","","","","","","20"
"21"," Total cost to be allocated","","","","","","","","21","21"," Total cost to be allocated","","","","","","","","","","21","21"," Total cost to be allocated","","","","","","","","21"
"22"," Unit Cost Multiplier","","","","","","","","22","22"," Unit Cost Multiplier","","","","","","","","","","22","22"," Unit Cost Multiplier","","","","","","","","22"
"Entity[565497] Report(H210002)", ,"Entity[565497] Report(H210002[00100])", , ,"Entity[565497] Report(H210002[00400])", ,"Entity[565497] Report(H210002[00600])","Entity[565497] Report(H210002[00700])", ,"Entity[565497] Report(H210002[00900])", ,"Entity[565497] Report(H210002[01100])", ,"Entity[565497] Report(H210002[01300])","Entity[565497] Report(H210002[01400])","Entity[565497] Report(H210002[01500])"
"Line(00100)", ,"5729", , ,"769949"
"Line(00200)", , , , ,"2063615", ,"3373","3373", ,"222", ,"55187", ,"1487","2072","2991"
"Line(00300)", , , , ,"491080", ,"1698","1698", ,"112", ,"35173", ,"747","1043","1504"
"Line(00400)", , , , ,"135405", ,"30","30", ,"2", ,"610", ,"13","18","26"
"Line(00500)", , , , ,"4603", ,"172","172", ,"12", ,"3568", ,"75","106","153"
"Line(00600)", , , , ,"30855", ,"26","26", ,"2", ,"528", ,"11","16","23"
"Line(00700)", , , , ,"106393", ,"430","430", ,"28", ,"8902", ,"189","264","381"
"Line(00800)"
"Line(02000)", ,"5729", , ,"3601900", ,"5729","5729", ,"378", ,"103968", ,"2522","3519","5078"
"Line(02100)", ,"68611", , ,"715316", , ,"161804", ,"611", ,"9984", ,"100397","1211","1220"
