"Line(00514)","00595PRIMARY CARE ADMINISTRATION","45116","4689565","4734681","-73470","4661211","-14815","4646396"
"Line(00600)","00600MAINTENANCE & REPAIRS"
"Line(00700)","00700OPERATION OF PLANT","7801393","27861696","35663089","-5584597","30078492","-233045","29845447"
"Line(00701)","00701SAFETY AND SECURITY","2336647","848426","3185073","-1039169","2145904","211818","2357722"
"Line(00800)","00800LAUNDRY & LINEN SERVICE", ,"2956012","2956012","-88356","2867656","-62","2867594"
"Line(00900)","00900HOUSEKEEPING","1054423","8845903","9900326","-9900326"
"Line(01000)","01000DIETARY","2954117","5138701","8092818","-2622660","5470158","267791","5737949"
"Line(01100)","01100CAFETERIA","306599","538535","845134","1936182","2781316","-2781316"
"Line(01200)","01200MAINTENANCE OF PERSONNEL"
"Line(01201)","01201PATIENT TRANSPORTATION","802982","231967","1034949","-4067","1030882","72790","1103672"
"Line(01300)","01300NURSING ADMINISTRATION","2148350","916943","3065293","-77746","2987547","181375","3168922"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","1265223","2361074","3626297","-1750789","1875508","114285","1989793"
"Line(01401)","01401CENTRAL PROCESSING","749436","475523","1224959","-104023","1120936","67936","1188872"
"Line(01500)","01500PHARMACY","8063065","30385946","38449011","-29306361","9142650","579874","9722524"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","4476675","4897582","9374257","-561757","8812500","358452","9170952"
"Line(01700)","01700SOCIAL SERVICE","2573178","220773","2793951","24127","2818078","233258","3051336"
"Line(01701)","01701HOSPITAL MEDICAL ADMIN"
"Line(01900)","01900NONPHYSICIAN ANESTHETISTS", , , ,"3454122","3454122","-3454122"
"Line(02000)","02000NURSING SCHOOL"
"Line(02100)","02100I&R SERVICES-SALARY & FRINGES A","33795970","858865","34654835","5177155","39831990","2906606","42738596"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A"
"Line(02300)","02300PARAMED ED PRGM-(SPECIFY)"
"Line(02301)","02301PARAMEDICAL ED-MICU","555561","305834","861395","-71719","789676","-174411","615265"
"Line(02302)","02302PARAMEDICAL ED-SOCIAL WORK"
"Line(03000)","03000ADULTS & PEDIATRICS","35683908","7357467","43041375","3111932","46153307","3224893","49378200"
"Line(03100)","03100INTENSIVE CARE UNIT","12339410","3258854","15598264","629549","16227813","1118568","17346381"
"Line(03300)","03300BURN INTENSIVE CARE UNIT","3842627","1382184","5224811","252165","5476976","346089","5823065"
"Line(03500)","02400NEONATAL INTENSIVE CARE","7154232","1073682","8227914","-523206","7704708","637338","8342046"
"Line(03501)","02401PEDIATRIC ICU","1912866","409446","2322312","25631","2347943","1183501","3531444"
"Line(03503)","02080HEART TRANSPLANT ICU","2451144","552142","3003286","85147","3088433","222196","3310629"
"Line(03504)","02081BONE INTENSIVE CARE","3231742","1073264","4305006","-120655","4184351","289607","4473958"
"Line(04100)","04100SUBPROVIDER - IRF","4520207","816831","5337038","68269","5405307","409757","5815064"
"Line(04300)","04300NURSERY", , , ,"840204","840204", ,"840204"
"Line(05000)","05000OPERATING ROOM","11600031","39717881","51317912","-4889324","46428588","1051544","47480132"
"Line(05001)","05001AMBULATORY SURGERY CENTER","2684672","3959199","6643871","-519222","6124649","243366","6368015"
"Line(05100)","05100RECOVERY ROOM","2448456","1194996","3643452","-345257","3298195","143658","3441853"
"Line(05200)","05200DELIVERY ROOM & LABOR ROOM","2275743","705112","2980855","-336050","2644805","206131","2850936"
"Line(05300)","05300ANESTHESIOLOGY","486612","2413236","2899848","-437806","2462042","31382","2493424"
"Line(05400)","05400RADIOLOGY-DIAGNOSTIC","6684682","4911860","11596542","-2393287","9203255","547814","9751069"
"Line(05401)","03630RADIOLOGY-ULTRASOUND","989356","143645","1133001","-63038","1069963","89685","1159648"
"Line(05500)","05500RADIOLOGY-THERAPEUTIC"
"Line(05600)","05600RADIOISOTOPE","1405319","3150906","4556225","-504922","4051303","127392","4178695"
"Line(05700)","05700CT SCAN","2265390","1668202","3933592","-141979","3791613","199782","3991395"
"Line(05800)","05800MRI","1538168","1612076","3150244","-929298","2220946","139435","2360381"
"Line(05900)","05900CARDIAC CATHETERIZATION","4619830","8423706","13043536","-2469143","10574393","393610","10968003"
"Line(06000)","06000LABORATORY","6473970","12796350","19270320","-576361","18693959","542911","19236870"
"Line(06001)","03420LABORATORY-SURGICAL PATHOLOGY","1297605","1595213","2892818","-394235","2498583","116615","2615198"
"Line(06002)","03421LABORATORY-NEUROSURGICAL"
"Line(06003)","03422LABORATORY-HLA", ,"111","111", ,"111", ,"111"
"Line(06230)","06250BLOOD CLOTTING FOR HEMOPHILIACS"
"Line(06300)","06300BLOOD STORING  PROCESSING & TRA","1215663","6684916","7900579","-257918","7642661","110200","7752861"
"Line(06500)","06500RESPIRATORY THERAPY","5751459","1504520","7255979","-298982","6956997","521370","7478367"
"Line(06600)","06600PHYSICAL THERAPY","3251082","345932","3597014","-5854","3591160","292286","3883446"
"Line(06700)","06700OCCUPATIONAL THERAPY","946655","178884","1125539","30479","1156018","85814","1241832"
"Line(06800)","06800SPEECH PATHOLOGY","303421","50684","354105","29889","383994","27506","411500"
"Line(06900)","06900ELECTROCARDIOLOGY","2664608","10629950","13294558","-1476891","11817667","241547","12059214"
"Line(07000)","07000ELECTROENCEPHALOGRAPHY","1200018","434417","1634435","-156418","1478017","108781","1586798"
"Line(07100)","07100MEDICAL SUPPLIES CHARGED TO PAT", , , ,"1097487","1097487", ,"1097487"
"Line(07300)","07300DRUGS CHARGED TO PATIENTS", , , ,"28472847","28472847", ,"28472847"
"Line(07400)","07400RENAL DIALYSIS","2636566","2455183","5091749","-165861","4925888","239005","5164893"
"Line(07500)","07500ASC (NON-DISTINCT PART)"
"Line(07600)","03560PULMONARY LABS","309254","353145","662399","-134742","527657","28034","555691"
"Line(07601)","03950OCCUPATIONAL HEALTH","808424","351549","1159973","-13608","1146365","-245251","901114"
"Line(07603)","03951HYPERALIMENTATION"
"Line(07604)","03650PERIPHERAL VASCULAR","706717","77164","783881","-51098","732783","64064","796847"
"Line(07605)","03952PEDIATRIC ENDO NUTRITION"
"Line(07607)","03340GASTROINTESTINAL SERVICE","2608257","3599270","6207527","-1105791","5101736","236439","5338175"
"Line(07609)","03953BONE MARROW PROCUREMENT", ,"1891381","1891381", ,"1891381", ,"1891381"
"Line(07610)","03954BARIATRICS","362157","224495","586652","30747","617399","32830","650229"
"Line(07611)","03955HEPATOLOGY","531384","22614","553998","-89","553909","37106","591015"
"Line(07697)","07697CARDIAC REHABILITATION"
"Line(07698)","07698HYPERBARIC OXYGEN THERAPY"
"Line(07699)","07699LITHOTRIPSY"
"Line(09000)","09000CLINIC","204901","81126","286027","-30244","255783","18574","274357"
"Line(09001)","09001CARDIAC REHABILITATION","179221","2224","181445","-1","181444","16246","197690"
"Line(09002)","09002CANCER CENTER","5406567","16563519","21970086","-661567","21308519","427986","21736505"
"Line(09003)","09003PSYCH SOCIAL REHAB","294274","61012","355286","-21942","333344","26676","360020"
"Line(09004)","09004WELLNESS ASSESSMENT"
"Line(09006)","09005HEART FAILURE CLINIC"
"Line(09007)","09006LOC OUTPATIENT CENTER","19087124","12160295","31247419","-2990738","28256681","199206","28455887"
"Line(09008)","09007OBT OUTPATIENT CENTER","5361851","2206330","7568181","-421348","7146833","-806676","6340157"
"Line(09009)","09008ELMHURST IMMEDIATE CARE","902003","936909","1838912","-68882","1770030","67076","1837106"
"Line(09010)","09009LAGRANGE FAMILY PCC","1940274","1464469","3404743","-148722","3256021","-362010","2894011"
"Line(09012)","09010NORTH RIVERSIDE PCC","2872720","1500880","4373600","-205280","4168320","-1313533","2854787"
"Line(09013)","09011GLENDALE HEIGHTS PCC"
"Line(09014)","09012WHEATON PCC","1365269","1418369","2783638","-70433","2713205","-426226","2286979"
"Line(09015)","09013OBT II PCC","1203953","1099102","2303055","-104494","2198561","109138","2307699"
"Line(09016)","09014HICKORY HILLS PCC","3238245","1207882","4446127","-134336","4311791","-976659","3335132"
"Line(09018)","09015DARIEN PCC","577076","911353","1488429","-287315","1201114","23120","1224234"
"Line(09020)","09016ORLANAD PARK - FP","2916316","1353516","4269832","-59867","4209965","-1163131","3046834"
"Line(09021)","09017FAMILY PRACTICE MAYWOOD PCC","730687","381965","1112652","-44899","1067753","66236","1133989"
"Line(09022)","09018HOMER GLEN PCC","3438320","2677377","6115697","-180765","5934932","-527399","5407533"
"Line(09023)","09019OAK PARK PCC","2558048","512496","3070544","-15080","3055464","-1577819","1477645"
"Line(09024)","09020PARK RIDGE PCC","701962","583111","1285073","-180940","1104133","-32362","1071771"
"Line(09025)","09021LOYOLA CLINIC AT GOTTLIEB","1612236","212227","1824463","-41268","1783195","-838321","944874"
"Line(09026)","09022WOODRIDGE PCC", , , ,"-2414","-2414","7648","5234"
"Line(09027)","09023NEUROLOGY - NILES", ,"220","220","4","224", ,"224"
"Line(09028)","09024MARJORIE WEINBERG CANCER CENTER","578600","5014724","5593324","-86027","5507297","52450","5559747"
"Line(09029)","09025BURR RIDGE PCC","7828674","7877919","15706593","-2541407","13165186","-807289","12357897"
"Line(09030)","09026RIVER FOREST","2133622","1018041","3151663","-260810","2890853","-656943","2233910"
"Line(09031)","09027NORRIDGE", , , ,"-772","-772","6464","5692"
"Line(09032)","09028ELMWOOD PARK", , , ,"-1380","-1380","6120","4740"
"Line(09100)","09100EMERGENCY","15327613","2512412","17840025","-637283","17202742","-3415318","13787424"
"Line(09200)","09200OBSERVATION BEDS (NON-DISTINCT"
"Line(09201)","09201OBSERVATION BEDS-DISTINCT","284020","42530","326550","-12135","314415","25746"
"Line(09500)","09500AMBULANCE SERVICES", ,"374162","374162", ,"374162", ,"374162"
"Line(09700)","09700DURABLE MEDICAL EQUIP-SOLD","324969","16701","341670","-24","341646","29459","371105"
"Line(09910)","09910CORF"
"Line(09920)","09920OUTPATIENT PHYSICAL THERAPY"
"Line(09930)","09930OUTPATIENT OCCUPATIONAL THERAPY"
"Line(09940)","09940OUTPATIENT SPEECH PATHOLOGY"
"Line(10100)","10100HOME HEALTH AGENCY","3601900","757826","4359726","-11419","4348307","326477","4674784"
"Line(10500)","10500KIDNEY ACQUISITION","435344","2479384","2914728","102717","3017445","39464","3056909"
"Line(10600)","10600HEART ACQUISITION","213264","536857","750121","334492","1084613","19333","1103946"
"Line(10700)","10700LIVER ACQUISITION","485508","1677782","2163290","51226","2214516","44011","2258527"
"Line(10800)","10800LUNG ACQUISITION","230652","1998113","2228765","276200","2504965","20909","2525874"
"Line(10900)","10900PANCREAS ACQUISITION","796431","60831","857262","-271902","585360","72197","657557"
"Line(11000)","11000INTESTINAL ACQUISITION","401643","1387","403030","-31435","371595","23204","394799"
"Line(11100)","11100ISLET ACQUISITION"
"Line(11200)","08600OTHER ORGAN ACQUISITION (SPECIF","1036464","1210031","2246495","-194294","2052201","86617","2138818"
"Line(11600)","11600HOSPICE","518666","317075","835741","-3629","832112","46155","878267"
"Line(11800)", ,"370761130","536184146","906945276","12518442","919463718","-18489202","900974516"
"Line(19000)","19000GIFT  FLOWER  COFFEE SHOP & CAN","52136","154996","207132","-4597","202535","4726","207261"
"Line(19001)","19001HINES RADIATION THERAPY","847789","4854","852643","-7","852636","49742","902378"
"Line(19002)","19002HOME INFUSION THERAPY","784312","1973077","2757389","-26975","2730414","71098","2801512"
"Line(19003)","19003OP HOSPITAL PHARMACY","238746","2762932","3001678","-50019","2951659","21642","2973301"
"Line(19004)","19004HOSPITALIST","4869900","93626","4963526","-16767","4946759","-3462524","1484235"
"Line(19005)","19005STUDENT HEALTH","41139","17382","58521","-661","57860","3730","61590"
"Line(19200)","19200PHYSICIANS PRIVATE OFFICES","84359","126147","210506", ,"210506", ,"210506"
"Line(19201)","19201FACUALTY CLINICAL OPERATIONS","141064456","26131336","167195792","-12419416","154776376","-16925940","137850436"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000A0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000A0)","Entity[565497] Report(A6000A0[00000])","Entity[565497] Report(A6000A0[00100])", ,"Entity[565497] Report(A6000A0[00300])", ,"Entity[565497] Report(A6000A0[00500])", ,"Entity[565497] Report(A6000A0[00700])", ,"Entity[565497] Report(A6000A0[00900])","Entity[565497] Report(A6000A0[01000])"
"Line(00100)","DEPRECIATION EXPENSE","A", ,"1", ,"19093762", ,"4", ,"58137","9"
"Line(00200)","DEPRECIATION EXPENSE","A", ,"2", ,"23711960", ,"5", ,"157025","9"
"Line(00300)","DEPRECIATION EXPENSE","A", ,"5", ,"79534", ,"5", ,"3606510"
"Line(00400)","DEPRECIATION EXPENSE","A", ,"76", ,"30944", ,"5", ,"176650"
"Line(00500)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"42199"
"Line(00600)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"20157"
"Line(00700)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"42346"
"Line(00800)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"97693"
"Line(00900)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"59192"
"Line(01000)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"151683"
"Line(01100)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"1446589"
"Line(01200)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"18945"
"Line(01300)","DEPRECIATION EXPENSE","A", , , , , ,"5", ,"95"
"Line(01400)","DEPRECIATION EXPENSE","A", , , , , ,"7", ,"2713580"
"Line(01500)","DEPRECIATION EXPENSE","A", , , , , ,"7", ,"127496"
"Line(01600)","DEPRECIATION EXPENSE","A", , , , , ,"8", ,"88017"
"Line(01700)","DEPRECIATION EXPENSE","A", , , , , ,"9", ,"94071"
"Line(01800)","DEPRECIATION EXPENSE","A", , , , , ,"10", ,"298235"
"Line(01900)","DEPRECIATION EXPENSE","A", , , , , ,"11", ,"3323"
"Line(02000)","DEPRECIATION EXPENSE","A", , , , , ,"12", ,"4041"
"Line(02100)","DEPRECIATION EXPENSE","A", , , , , ,"13", ,"75310"
"Line(02200)","DEPRECIATION EXPENSE","A", , , , , ,"14", ,"634159"
"Line(02300)","DEPRECIATION EXPENSE","A", , , , , ,"14", ,"102628"
"Line(02400)","DEPRECIATION EXPENSE","A", , , , , ,"15", ,"318904"
"Line(02500)","DEPRECIATION EXPENSE","A", , , , , ,"16", ,"558077"
"Line(02600)","DEPRECIATION EXPENSE","A", , , , , ,"17", ,"29368"
"Line(02700)","DEPRECIATION EXPENSE","A", , , , , ,"21", ,"76944"
"Line(02800)","DEPRECIATION EXPENSE","A", , , , , ,"23", ,"71404"
"Line(02900)","DEPRECIATION EXPENSE","A", , , , , ,"30", ,"2270620"
"Line(03000)","DEPRECIATION EXPENSE","A", , , , , ,"31", ,"724227"
"Line(03100)","DEPRECIATION EXPENSE","A", , , , , ,"33", ,"231578"
"Line(03200)","DEPRECIATION EXPENSE","A", , , , , ,"35", ,"514226"
"Line(03300)","DEPRECIATION EXPENSE","A", , , , , ,"35", ,"141837"
"Line(03400)","DEPRECIATION EXPENSE","A", , , , , ,"35", ,"161768"
"Line(03500)","DEPRECIATION EXPENSE","A", , , , , ,"35", ,"613262"
"Line(03600)","DEPRECIATION EXPENSE","A", , , , , ,"41", ,"294104"
"Line(03700)","DEPRECIATION EXPENSE","A", , , , , ,"50", ,"4301761"
"Line(03800)","DEPRECIATION EXPENSE","A", , , , , ,"50", ,"468362"
"Line(03900)","DEPRECIATION EXPENSE","A", , , , , ,"51", ,"335569"
"Line(04000)","DEPRECIATION EXPENSE","A", , , , , ,"52", ,"330693"
"Line(04100)","DEPRECIATION EXPENSE","A", , , , , ,"53", ,"404916"
"Line(04200)","DEPRECIATION EXPENSE","A", , , , , ,"54", ,"1773882"
"Line(04300)","DEPRECIATION EXPENSE","A", , , , , ,"54", ,"114091"
"Line(04400)","DEPRECIATION EXPENSE","A", , , , , ,"56", ,"551380"
"Line(04500)","DEPRECIATION EXPENSE","A", , , , , ,"57", ,"419516"
"Line(04600)","DEPRECIATION EXPENSE","A", , , , , ,"58", ,"1080573"
"Line(04700)","DEPRECIATION EXPENSE","A", , , , , ,"59", ,"1327856"
"Line(04800)","DEPRECIATION EXPENSE","A", , , , , ,"60", ,"451318"
"Line(04900)","DEPRECIATION EXPENSE","A", , , , , ,"60", ,"379672"
"Line(05000)","DEPRECIATION EXPENSE","A", , , , , ,"63", ,"148718"
"Line(05100)","DEPRECIATION EXPENSE","A", , , , , ,"65", ,"279771"
"Line(05200)","DEPRECIATION EXPENSE","A", , , , , ,"66", ,"121886"
"Line(05300)","DEPRECIATION EXPENSE","A", , , , , ,"67", ,"65180"
"Line(05400)","DEPRECIATION EXPENSE","A", , , , , ,"68", ,"3599"
"Line(05500)","DEPRECIATION EXPENSE","A", , , , , ,"69", ,"1654153"
"Line(05600)","DEPRECIATION EXPENSE","A", , , , , ,"70", ,"154144"
"Line(05700)","DEPRECIATION EXPENSE","A", , , , , ,"74", ,"134042"
"Line(05800)","DEPRECIATION EXPENSE","A", , , , , ,"76", ,"132088"
"Line(05900)","DEPRECIATION EXPENSE","A", , , , , ,"76", ,"10495"
"Line(06000)","DEPRECIATION EXPENSE","A", , , , , ,"76", ,"50838"
"Line(06100)","DEPRECIATION EXPENSE","A", , , , , ,"76", ,"1064778"
"Line(06200)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"29364"
"Line(06300)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"404754"
"Line(06400)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"21650"
"Line(06500)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"3147641"
"Line(06600)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"413286"
"Line(06700)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"62943"
"Line(06800)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"136900"
"Line(06900)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"191902"
"Line(07000)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"57283"
"Line(07100)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"94906"
"Line(07200)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"127823"
"Line(07300)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"282630"
"Line(07400)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"47896"
"Line(07500)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"41296"
"Line(07600)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"149657"
"Line(07700)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"10723"
"Line(07800)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"179301"
"Line(07900)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"41268"
"Line(08000)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"1210"
"Line(08100)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"18729"
"Line(08200)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"2506521"
"Line(08300)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"256880"
"Line(08400)","DEPRECIATION EXPENSE","A", , , , , ,"90", ,"405"
"Line(08500)","DEPRECIATION EXPENSE","A", , , , , ,"91", ,"610306"
"Line(08600)","DEPRECIATION EXPENSE","A", , , , , ,"92", ,"11841"
"Line(08700)","DEPRECIATION EXPENSE","A", , , , , ,"101", ,"8879"
"Line(08800)","DEPRECIATION EXPENSE","A", , , , , ,"105", ,"1271"
"Line(08900)","DEPRECIATION EXPENSE","A", , , , , ,"106", ,"1596"
"Line(09000)","DEPRECIATION EXPENSE","A", , , , , ,"108", ,"408"
"Line(09100)","DEPRECIATION EXPENSE","A", , , , , ,"109", ,"359"
"Line(09200)","DEPRECIATION EXPENSE","A", , , , , ,"112", ,"15645"
"Line(09300)","DEPRECIATION EXPENSE","A", , , , , ,"116", ,"319"
"Line(09400)","DEPRECIATION EXPENSE","A", , , , , ,"190", ,"2048"
"Line(09500)","DEPRECIATION EXPENSE","A", , , , , ,"190", ,"5006"
"Line(09600)","DEPRECIATION EXPENSE","A", , , , , ,"190", ,"16651"
"Line(09700)","DEPRECIATION EXPENSE","A", , , , , ,"190", ,"378"
"Line(09800)","DEPRECIATION EXPENSE","A", , , , , ,"192", ,"2232844"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000B0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000B0)","Entity[565497] Report(A6000B0[00000])","Entity[565497] Report(A6000B0[00100])", ,"Entity[565497] Report(A6000B0[00300])","Entity[565497] Report(A6000B0[00400])","Entity[565497] Report(A6000B0[00500])", ,"Entity[565497] Report(A6000B0[00700])","Entity[565497] Report(A6000B0[00800])","Entity[565497] Report(A6000B0[00900])"
"Line(00100)","CRNA","B", ,"19","2915486","538636"
"Line(00200)","CRNA","B", , , , , ,"192","2914686","538488"
"Line(00300)","CRNA","B", , , , , ,"13","800","148"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000D0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000D0)","Entity[565497] Report(A6000D0[00000])","Entity[565497] Report(A6000D0[00100])", ,"Entity[565497] Report(A6000D0[00300])","Entity[565497] Report(A6000D0[00400])", , ,"Entity[565497] Report(A6000D0[00700])","Entity[565497] Report(A6000D0[00800])"
"Line(00100)","SHARED SERVICE TO HE","D", ,"5","4188000", , ,"5","250000"
"Line(00200)","SHARED SERVICE TO HE","D", , , , , ,"7","2844000"
"Line(00300)","SHARED SERVICE TO HE","D", , , , , ,"7","909000"
"Line(00400)","SHARED SERVICE TO HE","D", , , , , ,"5","35000"
"Line(00500)","SHARED SERVICE TO HE","D", , , , , ,"5","150000"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000E0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000E0)","Entity[565497] Report(A6000E0[00000])","Entity[565497] Report(A6000E0[00100])", ,"Entity[565497] Report(A6000E0[00300])", ,"Entity[565497] Report(A6000E0[00500])", ,"Entity[565497] Report(A6000E0[00700])", ,"Entity[565497] Report(A6000E0[00900])"
"Line(00100)","PENSION EXPENSE","E", ,"4", ,"14734855", ,"5", ,"14736000"
"Line(00200)","PENSION EXPENSE","E", ,"192", ,"1145"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000J0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000J0)","Entity[565497] Report(A6000J0[00000])","Entity[565497] Report(A6000J0[00100])", ,"Entity[565497] Report(A6000J0[00300])","Entity[565497] Report(A6000J0[00400])","Entity[565497] Report(A6000J0[00500])", ,"Entity[565497] Report(A6000J0[00700])","Entity[565497] Report(A6000J0[00800])","Entity[565497] Report(A6000J0[00900])"
"Line(00200)","SERVICE ASSOCIATE","J", ,"30","666650","5488882", ,"9","1054423","8742032"
"Line(00300)","SERVICE ASSOCIATE","J", ,"31","148663","1247183"
"Line(00400)","SERVICE ASSOCIATE","J", ,"33","53527","449053"
"Line(00500)","SERVICE ASSOCIATE","J", ,"35","18304","153556"
"Line(00600)","SERVICE ASSOCIATE","J", ,"35","26979","226339"
"Line(00700)","SERVICE ASSOCIATE","J", ,"35","53271","446905"
"Line(00800)","SERVICE ASSOCIATE","J", ,"41","71230","597574"
"Line(00900)","SERVICE ASSOCIATE","J", ,"43","15799","132540"
