"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000W0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000W0)","Entity[565497] Report(A6000W0[00000])","Entity[565497] Report(A6000W0[00100])", ,"Entity[565497] Report(A6000W0[00300])", ,"Entity[565497] Report(A6000W0[00500])", ,"Entity[565497] Report(A6000W0[00700])", ,"Entity[565497] Report(A6000W0[00900])"
"Line(02500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"17", ,"151"
"Line(02600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"21", ,"3272"
"Line(02700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"23", ,"315"
"Line(02800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"30", ,"81115"
"Line(02900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"31", ,"42070"
"Line(03000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"33", ,"18837"
"Line(03100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"8980"
"Line(03200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"4392"
"Line(03300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"6403"
"Line(03400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"7569"
"Line(03500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"41", ,"3923"
"Line(03600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"50", ,"587563"
"Line(03700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"50", ,"50860"
"Line(03800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"51", ,"9688"
"Line(03900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"52", ,"5357"
"Line(04000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"53", ,"32890"
"Line(04100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"54", ,"42110"
"Line(04200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"54", ,"400"
"Line(04300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"56", ,"38296"
"Line(04400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"57", ,"9692"
"Line(04500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"58", ,"8486"
"Line(04600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"59", ,"113342"
"Line(04700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"60", ,"125043"
"Line(04800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"60", ,"14563"
"Line(04900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"63", ,"109200"
"Line(05000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"65", ,"19211"
"Line(05100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"66", ,"2429"
"Line(05200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"67", ,"820"
"Line(05300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"68", ,"434"
"Line(05400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"69", ,"142326"
"Line(05500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"70", ,"2274"
"Line(05600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"74", ,"31819"
"Line(05700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"2654"
"Line(05800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"3113"
"Line(05900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"260"
"Line(06000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"41013"
"Line(06100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"197"
"Line(06200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"89"
"Line(06300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"880"
"Line(06400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1"
"Line(06500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"256813"
"Line(06600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"292"
"Line(06700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"134183"
"Line(06800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"8062"
"Line(06900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"5939"
"Line(07000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"11822"
"Line(07100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"13378"
"Line(07200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"13150"
"Line(07300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"9588"
"Line(07400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"6513"
"Line(07500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"4685"
"Line(07600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"11971"
"Line(07700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"3603"
"Line(07800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"31108"
"Line(07900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"4357"
"Line(08000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1639"
"Line(08100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1204"
"Line(08200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"67298"
"Line(08300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"34886"
"Line(08400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"3930"
"Line(08500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"367"
"Line(08600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1380"
"Line(08700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"91", ,"26977"
"Line(08800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"92", ,"455"
"Line(08900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"97", ,"24"
"Line(09000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"101", ,"2540"
"Line(09100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"105", ,"82"
"Line(09200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"106", ,"28"
"Line(09300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"107", ,"80"
"Line(09400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"108", ,"218"
"Line(09500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"109", ,"347"
"Line(09600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"112", ,"17827"
"Line(09700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"116", ,"3310"
"Line(09800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"2549"
"Line(09900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"7"
"Line(10000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"26975"
"Line(10100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"45013"
"Line(10200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"116"
"Line(10300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"283"
"Line(10400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"192", ,"34412"
