"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A000000 ","-------------","-------------","-----------",""
"Line(05100)","05100RECOVERY ROOM","2448456","1194996","3643452","-345257","3298195","143658","3441853"
"Line(05200)","05200DELIVERY ROOM & LABOR ROOM","2275743","705112","2980855","-336050","2644805","206131","2850936"
"Line(05300)","05300ANESTHESIOLOGY","486612","2413236","2899848","-437806","2462042","31382","2493424"
"Line(05400)","05400RADIOLOGY-DIAGNOSTIC","6684682","4911860","11596542","-2393287","9203255","547814","9751069"
"Line(05401)","03630RADIOLOGY-ULTRASOUND","989356","143645","1133001","-63038","1069963","89685","1159648"
"Line(05500)","05500RADIOLOGY-THERAPEUTIC"
"Line(05600)","05600RADIOISOTOPE","1405319","3150906","4556225","-504922","4051303","127392","4178695"
"Line(05700)","05700CT SCAN","2265390","1668202","3933592","-141979","3791613","199782","3991395"
"Line(05800)","05800MRI","1538168","1612076","3150244","-929298","2220946","139435","2360381"
"Line(05900)","05900CARDIAC CATHETERIZATION","4619830","8423706","13043536","-2469143","10574393","393610","10968003"
"Line(06000)","06000LABORATORY","6473970","12796350","19270320","-576361","18693959","542911","19236870"
"Line(06001)","03420LABORATORY-SURGICAL PATHOLOGY","1297605","1595213","2892818","-394235","2498583","116615","2615198"
"Line(06002)","03421LABORATORY-NEUROSURGICAL"
"Line(06003)","03422LABORATORY-HLA", ,"111","111", ,"111", ,"111"
"Line(06230)","06250BLOOD CLOTTING FOR HEMOPHILIACS"
"Line(06300)","06300BLOOD STORING  PROCESSING & TRA","1215663","6684916","7900579","-257918","7642661","110200","7752861"
"Line(06500)","06500RESPIRATORY THERAPY","5751459","1504520","7255979","-298982","6956997","521370","7478367"
"Line(06600)","06600PHYSICAL THERAPY","3251082","345932","3597014","-5854","3591160","292286","3883446"
"Line(06700)","06700OCCUPATIONAL THERAPY","946655","178884","1125539","30479","1156018","85814","1241832"
"Line(06800)","06800SPEECH PATHOLOGY","303421","50684","354105","29889","383994","27506","411500"
"Line(06900)","06900ELECTROCARDIOLOGY","2664608","10629950","13294558","-1476891","11817667","241547","12059214"
"Line(07000)","07000ELECTROENCEPHALOGRAPHY","1200018","434417","1634435","-156418","1478017","108781","1586798"
"Line(07100)","07100MEDICAL SUPPLIES CHARGED TO PAT", , , ,"1097487","1097487", ,"1097487"
"Line(07300)","07300DRUGS CHARGED TO PATIENTS", , , ,"28472847","28472847", ,"28472847"
"Line(07400)","07400RENAL DIALYSIS","2636566","2455183","5091749","-165861","4925888","239005","5164893"
"Line(07500)","07500ASC (NON-DISTINCT PART)"
"Line(07600)","03560PULMONARY LABS","309254","353145","662399","-134742","527657","28034","555691"
"Line(07601)","03950OCCUPATIONAL HEALTH","808424","351549","1159973","-13608","1146365","-245251","901114"
"Line(07603)","03951HYPERALIMENTATION"
"Line(07604)","03650PERIPHERAL VASCULAR","706717","77164","783881","-51098","732783","64064","796847"
"Line(07605)","03952PEDIATRIC ENDO NUTRITION"
"Line(07607)","03340GASTROINTESTINAL SERVICE","2608257","3599270","6207527","-1105791","5101736","236439","5338175"
"Line(07609)","03953BONE MARROW PROCUREMENT", ,"1891381","1891381", ,"1891381", ,"1891381"
"Line(07610)","03954BARIATRICS","362157","224495","586652","30747","617399","32830","650229"
"Line(07611)","03955HEPATOLOGY","531384","22614","553998","-89","553909","37106","591015"
"Line(07697)","07697CARDIAC REHABILITATION"
"Line(07698)","07698HYPERBARIC OXYGEN THERAPY"
"Line(07699)","07699LITHOTRIPSY"
"Line(09000)","09000CLINIC","204901","81126","286027","-30244","255783","18574","274357"
"Line(09001)","09001CARDIAC REHABILITATION","179221","2224","181445","-1","181444","16246","197690"
"Line(09002)","09002CANCER CENTER","5406567","16563519","21970086","-661567","21308519","427986","21736505"
"Line(09003)","09003PSYCH SOCIAL REHAB","294274","61012","355286","-21942","333344","26676","360020"
"Line(09004)","09004WELLNESS ASSESSMENT"
"Line(09006)","09005HEART FAILURE CLINIC"
"Line(09007)","09006LOC OUTPATIENT CENTER","19087124","12160295","31247419","-2990738","28256681","199206","28455887"
"Line(09008)","09007OBT OUTPATIENT CENTER","5361851","2206330","7568181","-421348","7146833","-806676","6340157"
"Line(09009)","09008ELMHURST IMMEDIATE CARE","902003","936909","1838912","-68882","1770030","67076","1837106"
"Line(09010)","09009LAGRANGE FAMILY PCC","1940274","1464469","3404743","-148722","3256021","-362010","2894011"
"Line(09012)","09010NORTH RIVERSIDE PCC","2872720","1500880","4373600","-205280","4168320","-1313533","2854787"
"Line(09013)","09011GLENDALE HEIGHTS PCC"
"Line(09014)","09012WHEATON PCC","1365269","1418369","2783638","-70433","2713205","-426226","2286979"
"Line(09015)","09013OBT II PCC","1203953","1099102","2303055","-104494","2198561","109138","2307699"
"Line(09016)","09014HICKORY HILLS PCC","3238245","1207882","4446127","-134336","4311791","-976659","3335132"
"Line(09018)","09015DARIEN PCC","577076","911353","1488429","-287315","1201114","23120","1224234"
"Line(09020)","09016ORLANAD PARK - FP","2916316","1353516","4269832","-59867","4209965","-1163131","3046834"
"Line(09021)","09017FAMILY PRACTICE MAYWOOD PCC","730687","381965","1112652","-44899","1067753","66236","1133989"
"Line(09022)","09018HOMER GLEN PCC","3438320","2677377","6115697","-180765","5934932","-527399","5407533"
"Line(09023)","09019OAK PARK PCC","2558048","512496","3070544","-15080","3055464","-1577819","1477645"
"Line(09024)","09020PARK RIDGE PCC","701962","583111","1285073","-180940","1104133","-32362","1071771"
"Line(09025)","09021LOYOLA CLINIC AT GOTTLIEB","1612236","212227","1824463","-41268","1783195","-838321","944874"
"Line(09026)","09022WOODRIDGE PCC", , , ,"-2414","-2414","7648","5234"
"Line(09027)","09023NEUROLOGY - NILES", ,"220","220","4","224", ,"224"
"Line(09028)","09024MARJORIE WEINBERG CANCER CENTER","578600","5014724","5593324","-86027","5507297","52450","5559747"
"Line(09029)","09025BURR RIDGE PCC","7828674","7877919","15706593","-2541407","13165186","-807289","12357897"
"Line(09030)","09026RIVER FOREST","2133622","1018041","3151663","-260810","2890853","-656943","2233910"
"Line(09031)","09027NORRIDGE", , , ,"-772","-772","6464","5692"
"Line(09032)","09028ELMWOOD PARK", , , ,"-1380","-1380","6120","4740"
"Line(09100)","09100EMERGENCY","15327613","2512412","17840025","-637283","17202742","-3415318","13787424"
"Line(09200)","09200OBSERVATION BEDS (NON-DISTINCT"
"Line(09201)","09201OBSERVATION BEDS-DISTINCT","284020","42530","326550","-12135","314415","25746"
"Line(09500)","09500AMBULANCE SERVICES", ,"374162","374162", ,"374162", ,"374162"
"Line(09700)","09700DURABLE MEDICAL EQUIP-SOLD","324969","16701","341670","-24","341646","29459","371105"
"Line(09910)","09910CORF"
"Line(09920)","09920OUTPATIENT PHYSICAL THERAPY"
"Line(09930)","09930OUTPATIENT OCCUPATIONAL THERAPY"
"Line(09940)","09940OUTPATIENT SPEECH PATHOLOGY"
"Line(10100)","10100HOME HEALTH AGENCY","3601900","757826","4359726","-11419","4348307","326477","4674784"
"Line(10500)","10500KIDNEY ACQUISITION","435344","2479384","2914728","102717","3017445","39464","3056909"
"Line(10600)","10600HEART ACQUISITION","213264","536857","750121","334492","1084613","19333","1103946"
"Line(10700)","10700LIVER ACQUISITION","485508","1677782","2163290","51226","2214516","44011","2258527"
"Line(10800)","10800LUNG ACQUISITION","230652","1998113","2228765","276200","2504965","20909","2525874"
"Line(10900)","10900PANCREAS ACQUISITION","796431","60831","857262","-271902","585360","72197","657557"
"Line(11000)","11000INTESTINAL ACQUISITION","401643","1387","403030","-31435","371595","23204","394799"
"Line(11100)","11100ISLET ACQUISITION"
"Line(11200)","08600OTHER ORGAN ACQUISITION (SPECIF","1036464","1210031","2246495","-194294","2052201","86617","2138818"
"Line(11600)","11600HOSPICE","518666","317075","835741","-3629","832112","46155","878267"
"Line(11800)", ,"370761130","536184146","906945276","12518442","919463718","-18489202","900974516"
"Line(19000)","19000GIFT  FLOWER  COFFEE SHOP & CAN","52136","154996","207132","-4597","202535","4726","207261"
"Line(19001)","19001HINES RADIATION THERAPY","847789","4854","852643","-7","852636","49742","902378"
"Line(19002)","19002HOME INFUSION THERAPY","784312","1973077","2757389","-26975","2730414","71098","2801512"
"Line(19003)","19003OP HOSPITAL PHARMACY","238746","2762932","3001678","-50019","2951659","21642","2973301"
"Line(19004)","19004HOSPITALIST","4869900","93626","4963526","-16767","4946759","-3462524","1484235"
"Line(19005)","19005STUDENT HEALTH","41139","17382","58521","-661","57860","3730","61590"
"Line(19200)","19200PHYSICIANS PRIVATE OFFICES","84359","126147","210506", ,"210506", ,"210506"
"Line(19201)","19201FACUALTY CLINICAL OPERATIONS","141064456","26131336","167195792","-12419416","154776376","-16925940","137850436"
