"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[562588] Report(D00A184)", , , ,"Entity[562588] Report(D00A184[00300])", ,"Entity[562588] Report(D00A184[00500])","Entity[562588] Report(D00A184[00600])","Entity[562588] Report(D00A184[00700])","Entity[562588] Report(D00A184[00800])","Entity[562588] Report(D00A184[00900])","Entity[562588] Report(D00A184[01000])","Entity[562588] Report(D00A184[01100])","Entity[562588] Report(D00A184[01200])","Entity[562588] Report(D00A184[01300])"
"Line(06501)", , , , , , , ,"3733054", , ,"95785", ,"1867529"
"Line(06502)", , , , , , , ,"8209666", , ,"2012", ,"1741"
"Line(06600)", , , , , , , ,"28256856", , ,"6893923", ,"60312"
"Line(06602)", , , , , , , ,"1257620", , ,"974"
"Line(06700)", , , , , , , ,"11949445", , ,"4863180", ,"31169"
"Line(06702)", , , , , , , ,"1625001"
"Line(06800)", , , , , , , ,"4213457", , ,"1225515", ,"4524"
"Line(06802)", , , , , , , ,"4528253", , ,"20819", ,"1526745"
"Line(06803)", , , , , , , ,"756193", , ,"1668"
"Line(06900)", , , , , , , ,"17702404", , ,"3631592", ,"4484961"
"Line(06901)", , , , , , , ,"290555", , ,"154", ,"2136"
"Line(07000)", , , , , , , ,"24217792", , ,"2497083", ,"4946438"
"Line(07100)", , , , , , , ,"179644475", , ,"48080694", ,"16050127"
"Line(07101)", , , , , , , ,"10950923"
"Line(07200)", , , , , , , ,"111113205", , ,"51367665", ,"34397638"
"Line(07201)", , , , , , , ,"2937958"
"Line(07300)", , , ,"640293", ,"640293","640293","293052377","0","0","52432916","114566","87168055","190462"
"Line(07301)", , , , , , , ,"19831214"
"Line(07400)", , , , , , , ,"55575780", , ,"2370716", ,"40265"
"Line(07602)", , , , , , , ,"874667", , ,"2043", ,"578978"
"Line(09000)", , , , , , , ,"244115866", , ,"16484022", ,"90700667"
"Line(09001)", , , , , , , ,"13516570", , ,"36159", ,"5391731"
"Line(09002)", , , , , , , ,"3292757", , ,"21531", ,"1129799"
"Line(09003)", , , , , , , ,"14733550", , ,"56204", ,"9544038"
"Line(09004)", , , , , , , ,"9956117", , ,"49907", ,"3230425"
"Line(09005)", , , , , , , ,"2971702", , ,"9546", ,"1220928"
"Line(09006)", , , , , , , ,"32676958", , ,"108482", ,"9852632"
"Line(09007)", , , , , , , ,"2482236", , ,"10441", ,"1190235"
"Line(09008)", , , , , , , ,"2519630", , , , ,"80"
"Line(09009)", , , , , , , ,"1804081", , ,"4877", ,"1046482"
"Line(09010)", , , , , , , ,"2150272", , ,"5164", ,"581727"
"Line(09011)", , , , , , , ,"4076320", , , , ,"391"
"Line(09012)", , , , , , , ,"318929", , ,"650", ,"133037"
"Line(09013)", , , , , , , ,"2295858", , ,"2707", ,"1240816"
"Line(09014)", , , , , , , ,"41770191", , ,"11316", ,"13987941"
"Line(09015)", , , , , , , ,"2911926", , ,"1200", ,"1489777"
"Line(09016)", , , , , , , ,"1847353", , ,"6473", ,"1186944"
"Line(09017)", , , , , , , ,"30800567", , ,"32359", ,"9567064"
"Line(09018)", , , , , , , ,"5208951", , ,"24945", ,"1874494"
"Line(09020)", , , , , , , ,"15903201", , , , ,"19915"
"Line(09100)", , , , , , , ,"133801682", , ,"20666733", ,"20633698"
"Line(09101)", , , , , , , ,"27806209", , ,"6791", ,"20285"
"Line(09200)", , , ,"51485", ,"51485","51485","19164955","0","0","1995548","5360","4424988","11886"
"Line(09400)", , , , , , , ,"7931229"
