"----------"," Entity 562588"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"04100SUBPROVIDER - IRF", ,"19","19", ,"19", ,"19", , , , , , , , , , , , 
"04300NURSERY","137662","61281","198943","511026","709969", ,"709969", , , , , , , , , , , , 
"04400SKILLED NURSING FACILITY","2360460","1207775","3568235","-765140","2803095","-5909","2797186", , , , , , , , , , , , 
"05000OPERATING ROOM","32147894","46857500","79005394","-23420650","55584744","-21709612","33875132", , , , , , , , , , , , 
"05001CHILDRENS OPERATING ROOM","3168148","4590195","7758343","-1749903","6008440","-1097","6007343", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","3017751","3010699","6028450","-1887136","4141314", ,"4141314", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","37960402","12478624","50439026","-8706567","41732459","-34835455","6897004", , , , , , , , , , , , 
"05301CHILDRENS ANESTHESIOLOGY","3740618","1876232","5616850","-977065","4639785","-4268329","371456", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","23117572","26215516","49333088","-16568343","32764745","-15723938","17040807", , , , , , , , , , , , 
"05413CHILDRENS RADIOLOGY - DIAGNOSTI","775239","1299765","2075004","-498696","1576308","-122","1576186", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC","5322595","5522128","10844723","-2950559","7894164","-3084654","4809510", , , , , , , , , , , , 
"05600RADIOISOTOPE","1351068","2566919","3917987","-1842558","2075429","-843116","1232313", , , , , , , , , , , , 
"05602RADIOISOTOPE","13142","82206","95348","-53462","41886", ,"41886", , , , , , , , , , , , 
"05700CT SCAN","1249011","5079752","6328763","-584479","5744284","-11","5744273", , , , , , , , , , , , 
"05701CHILDRENS CT SCAN","297813","322445","620258","-71423","548835", ,"548835", , , , , , , , , , , , 
"05800MRI","1210397","4141616","5352013","-1459501","3892512","-17","3892495", , , , , , , , , , , , 
"05801CHILDRENS (MRI)","208760","492433","701193","-117959","583234", ,"583234", , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","3442862","9450149","12893011","-5076432","7816579","-2589937","5226642", , , , , , , , , , , , 
"06000LABORATORY","7839915","15035476","22875391","-5523409","17351982","-9593199","7758783", , , , , , , , , , , , 
"06005ANATOMIC PATHOLOGY","8860013","10436328","19296341","-5335904","13960437","-5675681","8284756", , , , , , , , , , , , 
"06006HISTOCOMPATABILITY","254913","424252","679165","-223298","455867","-356","455511", , , , , , , , , , , , 
"06016CHILDRENS LABORATORY","1054450","2022422","3076872","-595761","2481111","-17","2481094", , , , , , , , , , , , 
"06300BLOOD STORING  PROCESSING & TRA","4508392","6288799","10797191","-6125710","4671481","-253510","4417971", , , , , , , , , , , , 
"06301CHILDREN BLOOD", ,"72728","72728","-305","72423", ,"72423", , , , , , , , , , , , 
"06400INTRAVENOUS THERAPY","1586621","16524797","18111418","-12771209","5340209","-6860","5333349", , , , , , , , , , , , 
"06401CHILDRENS INTRAVENOUS THERAPY", , , , , , , , , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","9612742","11658396","21271138","-8366563","12904575","-7813477","5091098", , , , , , , , , , , , 
"06501PULMONARY LAB","353940","358387","712327","-331746","380581","-6145","374436", , , , , , , , , , , , 
"06502CHILDRENS RESPIRATORY THERAPY","1047411","1013082","2060493","-473562","1586931","-379","1586552", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","3682408","4107705","7790113","-4478453","3311660","-9122","3302538", , , , , , , , , , , , 
"06602CHILDRENS PHYSICAL THERAPY","214691","124342","339033","-57485","281548","-39","281509", , , , , , , , , , , , 
"06700OCCUPATIONAL THERAPY","1227286","865170","2092456","-1087414","1005042","-58","1004984", , , , , , , , , , , , 
"06701OCCUPATIONAL THERAPY-KILLEEN", , , , , , , , , , , , , , , , , , , 
"06702CHILDRENS OCCUPATIONAL THERAPY","190027","125811","315838","-50642","265196","-9","265187", , , , , , , , , , , , 
"06800SPEECH PATHOLOGY","761746","391652","1153398","-167798","985600","-797","984803", , , , , , , , , , , , 
"06802AUDIOLOGY","537115","1240887","1778002","-778740","999262","-99790","899472", , , , , , , , , , , , 
"06804CHILDRENS SPEECH PATHOLOGY","64911","37848","102759","-16007","86752","-146","86606", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","639489","1108688","1748177","-1850808","-102631", ,"-102631", , , , , , , , , , , , 
"06901ELECTROCARDIOLOGY-SF", ,"3166","3166","-1851","1315", ,"1315", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","5674001","4143471","9817472","-2537824","7279648","-4017554","3262094", , , , , , , , , , , , 
"07001ELECTROENCEPHALOGRAPHY-SF", , , , , , , , , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT", ,"39661990","39661990","23973633","63635623", ,"63635623", , , , , , , , , , , , 
"07101CHILDRENS MED SUPP CHARGED TO P", ,"2936831","2936831","1193120","4129951", ,"4129951", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"24585466","24585466", ,"24585466", , , , , , , , , , , , 
"07201IMPL DEV CHARGED TO PT- CHILDRE", , , ,"882259","882259", ,"882259", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", , , ,"61071500","61071500","-9532438","51539062", , , , , , , , , , , , 
"07301CHILDRENS DRUGS CHARGED TO PATI", , , ,"3333048","3333048","-1835848","1497200", , , , , , , , , , , , 
"07302340B DRUGS", , , ,"6053132","6053132","-6053132", , , , , , , , , , , , , 
"07400RENAL DIALYSIS","5598790","10713944","16312734","-10362860","5949874","-5874","5944000", , , , , , , , , , , , 
"03020GROUP AND CREATIVE THERAPY", , , , , , , , , , , , , , , , , , , 
"03022CARDIAC REHAB","165527","110973","276500","-147155","129345","-3522","125823", , , , , , , , , , , , 
"09000CLINIC","103699742","81625444","185325186","-60358772","124966414","-98764416","26201998", , , , , , , , , , , , 
"09001CLINIC-KILLEEN","5598981","4790843","10389824","-3407583","6982241","-4350143","2632098", , , , , , , , , , , , 
"09002CLINIC-FPC","1495558","1079246","2574804","-1034708","1540096","-1175366","364730", , , , , , , , , , , , 
"09003CLINIC-NORTHSIDE","4721676","3899511","8621187","-2659102","5962085","-4007562","1954523", , , , , , , , , , , , 
"09004CLINIC-BELTON","3677130","3179888","6857018","-2510203","4346815","-3127313","1219502", , , , , , , , , , , , 
"09005CLINIC-KILLEEN WEST","1142139","1028968","2171107","-735672","1435435","-1097190","338245", , , , , , , , , , , , 
"09006CLINIC-KILLEEN CANCER CENTER","1553956","7669235","9223191","-5411081","3812110","-384","3811726", , , , , , , , , , , , 
"09007CLINIC-SALADO","830823","726889","1557712","-461170","1096542","-795976","300566", , , , , , , , , , , , 
"09008CLINIC-TEMPLE TOWNE CTR","889426","982217","1871643","-826861","1044782","-744309","300473", , , , , , , , , , , , 
"09009CLINIC-GATESVILLE","905989","847707","1753696","-540234","1213462","-820295","393167", , , , , , , , , , , , 
"09010CLINIC-HARKER HTS","1057318","1064262","2121580","-826470","1295110","-1350558","-55448", , , , , , , , , , , , 
"09016CLINIC- WEST TEMPLE PEDICATRICS","1231898","1551711","2783609","-1217804","1565805","-1130491","435314", , , , , , , , , , , , 
"09011CLINIC-MOODY","179333","115483","294816","-107296","187520","-94725","92795", , , , , , , , , , , , 
"09012CLINIC-HEWITT","894715","618747","1513462","-387407","1126055","-918072","207983", , , , , , , , , , , , 
"09013CLINIC-WACO","17546336","10449775","27996111","-9776244","18219867","-12776601","5443266", , , , , , , , , , , , 
"09014CLINIC-BELLMEAD","1060711","814385","1875096","-475698","1399398","-869337","530061", , , , , , , , , , , , 
"09015CLINIC-CAMERON","837833","650745","1488578","-483685","1004893","-703764","301129", , , , , , , , , , , , 
"09017CLINIC-HEMINGWAY","13062269","10438548","23500817","-7569905","15930912","-14223657","1707255", , , , , , , , , , , , 
"09018CLINIC-WESTFIELD","2365198","1864628","4229826","-1510716","2719110","-1763994","955116", , , , , , , , , , , , 
"09020CLINIC CHILDRENS","6054498","4054190","10108688","-3293976","6814712","-92391","6722321", , , , , , , , , , , , 
"09100EMERGENCY","18805400","12177364","30982764","-6815599","24167165","-5288671","18878494", , , , , , , , , , , , 
"09101CHILDRENS EMERGENCY","4139556","3064092","7203648","-1253777","5949871","-1662518","4287353", , , , , , , , , , , , 
"09200OBSERVATION BEDS (NON-DISTINCT", , , , , , , , , , , , , , , , , , , 
"09201CHILDRENS OBSERVATION BEDS", , , , , , , , , , , , , , , , , , , 
"09400HOME PROGRAM DIALYSIS","280161","1171602","1451763","-726563","725200","-315","724885", , , , , , , , , , , , 
"10100HOME HEALTH AGENCY","3869496","3388094","7257590","-967163","6290427","-1931","6288496", , , , , , , , , , , , 
"10101HOME HEALTH AGENCY-WACO","1829247","1371332","3200579","-458886","2741693", ,"2741693", , , , , , , , , , , , 
"10500KIDNEY ACQUISITION","1696334","3479142","5175476","-2694742","2480734","-416824","2063910", , , , , , , , , , , , 
"10600HEART ACQUISITION","406838","670938","1077776","-640437","437339","-34735","402604", , , , , , , , , , , , 
"10900PANCREAS ACQUISITION", ,"111464","111464","279480","390944", ,"390944", , , , , , , , , , , , 
"08600NON CERTIFIED ORGANS","141493","367413","508906","-2452","506454","-39236","467218", , , , , , , , , , , , 
"11600HOSPICE","2851338","5210374","8061712","-1331752","6729960","-543484","6186476", , , , , , , , , , , , 
"11601HOSPICE-WACO","1101106","2136894","3238000","-453707","2784293","-1550","2782743", , , , , , , , , , , , 
 ,"482224674","616263555","1098488229","4783221","1103271450","-139847753","963423697", , , , , , , , , , , , 
"19000GIFT  FLOWER  COFFEE SHOP & CAN","100684","666040","766724","-39238","727486", ,"727486", , , , , , , , , , , , 
"19001OTHER NONREIMBURSABLE", , , , , , , , , , , , , , , , , , , 
"19002CHILDRENS GIFT SHOP  & CANTEEN","29982","156077","186059","-23685","162374", ,"162374", , , , , , , , , , , , 
"19003UNUSED SPACE", , , , , , , , , , , , , , , , , , , 
"19100RESEARCH","5289837","5853328","11143165","-2542137","8601028", ,"8601028", , , , , , , , , , , , 
"19101RESEARCH OVERHEAD","3053051","5873869","8926920","-1153374","7773546","-1495","7772051", , , , , , , , , , , , 
"19102OFF SITE RESEARCH", ,"164652","164652","-392483","-227831", ,"-227831", , , , , , , , , , , , 
"19200PHYSICIANS PRIVATE OFFICES", , , , , , , , , , , , , , , , , , , 
"07950SATELLITE CLINICS", , , , , , , , , , , , , , , , , , , 
"07951CHILDRENS MOB", , , , , , , , , , , , , , , , , , , 
"07952REFERRAL LAB","355055","3684615","4039670","616355","4656025", ,"4656025", , , , , , , , , , , , 
"07953DEVELOPMENT", , , , , , , , , , , , , , , , , , , 
"07954COLLEGE OF MEDICINE","4982210","1245606","6227816","-1248414","4979402", ,"4979402", , , , , , , , , , , , 
"07955A&G  HHB", , , , , , , , , , , , , , , , , , , 
"07956HHA  CLASS B-BCS", , , , , , , , , , , , , , , , , , , 
"07957ENDOWMENT FUND", , , , , , , , , , , , , , , , , , , 
"07958CHILDRENS REFERRAL LAB", ,"13000","13000","-245","12755", ,"12755", , , , , , , , , , , , 
"07961OTHER NONREIMBURSABLE COST CENT", , , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000A0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000A0[00000])","Entity[562588] Report(A6000A0[00100])", ,"Entity[562588] Report(A6000A0[00300])", ,"Entity[562588] Report(A6000A0[00500])", ,"Entity[562588] Report(A6000A0[00700])", ,"Entity[562588] Report(A6000A0[00900])","Entity[562588] Report(A6000A0[01000])", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"19094680", ,"4", ,"610","9", , , , , , , , , 
"BLDG DEPRECIATION","A", ,"1", ,"2165619", ,"5", ,"980511","9", , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"7", ,"670207", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"7", ,"305574", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"8", ,"1870", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"8", ,"34018", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"9", ,"607", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"9", ,"48065", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"10", ,"160850", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"10", ,"146302", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"13", ,"94108", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"13", ,"62089", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"14", ,"44106", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"14", ,"45782", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"15", ,"74316", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"15", ,"58248", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"17", ,"19440", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"17", ,"14266", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"18", ,"396709", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"21", ,"61362", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"22", ,"28151", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"23", ,"1482", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"23", ,"6511", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"30", ,"4331305", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"31", ,"1255734", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"31", ,"535694", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"31", ,"260072", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"40", ,"22080", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"43", ,"5603", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"44", ,"16579", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"50", ,"1007703", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"50", ,"365254", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"52", ,"460473", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"53", ,"226100", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"53", ,"18194", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"54", ,"662488", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"54", ,"126681", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"55", ,"31911", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"56", ,"19958", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"56", ,"13980", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"57", ,"15645", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"57", ,"9350", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"58", ,"152970", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"58", ,"18085", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"59", ,"433388", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"60", ,"465991", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"60", ,"68635", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"60", ,"4661", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"60", ,"97803", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"63", ,"49459", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"64", ,"50241", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"65", ,"430863", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"65", ,"4989", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"65", ,"21399", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"66", ,"20080", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"66", ,"16439", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"67", ,"5910", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"67", ,"16965", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"68", ,"3471", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"68", ,"4424", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"68", ,"2629", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"69", ,"45167", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"70", ,"66054", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"71", ,"51532", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"74", ,"315353", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"3471141", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"244970", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"24018", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"170589", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"35559", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"60618", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"6025", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"128573", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"12285", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"90", ,"267448", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"91", ,"969914", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"91", ,"153061", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"94", ,"43549", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"101", ,"27822", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"105", ,"8394", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"106", ,"969", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"116", ,"32381", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"190", ,"9737", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"191", ,"194000", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"191", ,"17347", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"191", ,"368390", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"194", ,"24950", , , , , , , , , , 
"BLDG DEPRECIATION","A", , , , , ,"194", ,"2063", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000B0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000B0[00000])","Entity[562588] Report(A6000B0[00100])", ,"Entity[562588] Report(A6000B0[00300])", ,"Entity[562588] Report(A6000B0[00500])", ,"Entity[562588] Report(A6000B0[00700])", ,"Entity[562588] Report(A6000B0[00900])","Entity[562588] Report(A6000B0[01000])", , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", ,"2", ,"20888661", ,"1", ,"774785","9", , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", ,"2", ,"1579162", ,"4", ,"3206","9", , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"5", ,"2256655", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"7", ,"118828", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"7", ,"369999", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"8", ,"21440", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"8", ,"933", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"9", ,"4116", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"9", ,"2867", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"10", ,"661459", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"10", ,"42497", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"13", ,"1033526", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"13", ,"20503", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"14", ,"74232", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"14", ,"14466", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"15", ,"175002", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"15", ,"11643", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"17", ,"6860", , , , , , , , , , 
