"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A800000 ","-------------","-------------","-----------",""
"","DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst."
"","","","","THE AMOUNT IS TO BE ADJUSTED","","A-7"
"","","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref."
"","","1","2","3","4","5"
"Entity[562588] Report(A800000)","Entity[562588] Report(A800000[00000])","Entity[562588] Report(A800000[00100])","Entity[562588] Report(A800000[00200])","Entity[562588] Report(A800000[00300])","Entity[562588] Report(A800000[00400])"
"Line(03476)","PROMOTIONAL ITEMS","B","-134","ELECTROENCEPHALOGRAPHY","70"
"Line(03477)","PROMOTIONAL ITEMS","B","-817","RENAL DIALYSIS","74"
"Line(03478)","PROMOTIONAL ITEMS","B","-21277","CLINIC","90"
"Line(03479)","PROMOTIONAL ITEMS","B","-3290","CLINIC-KILLEEN","90"
"Line(03480)","PROMOTIONAL ITEMS","B","-845","CLINIC-FPC","90"
"Line(03481)","PROMOTIONAL ITEMS","B","-659","CLINIC-NORTHSIDE","90"
"Line(03482)","PROMOTIONAL ITEMS","B","-1190","CLINIC-BELTON","90"
"Line(03483)","PROMOTIONAL ITEMS","B","-76","CLINIC-KILLEEN WEST","90"
"Line(03484)","PROMOTIONAL ITEMS","B","-260","CLINIC-SALADO","90"
"Line(03485)","PROMOTIONAL ITEMS","B","-1737","CLINIC-TEMPLE TOWNE CTR","90"
"Line(03486)","PROMOTIONAL ITEMS","B","-941","CLINIC-GATESVILLE","90"
"Line(03487)","PROMOTIONAL ITEMS","B","-70","CLINIC-HARKER HTS","90"
"Line(03488)","PROMOTIONAL ITEMS","B","-1702","CLINIC- WEST TEMPLE PEDICATRICS","90"
"Line(03489)","PROMOTIONAL ITEMS","B","-63","CLINIC-MOODY","90"
"Line(03490)","PROMOTIONAL ITEMS","B","-249","CLINIC-HEWITT","90"
"Line(03491)","PROMOTIONAL ITEMS","B","-5551","CLINIC-WACO","90"
"Line(03492)","PROMOTIONAL ITEMS","B","-138","CLINIC-BELLMEAD","90"
"Line(03493)","PROMOTIONAL ITEMS","B","-184","CLINIC-CAMERON","90"
"Line(03494)","PROMOTIONAL ITEMS","B","-1182","CLINIC-HEMINGWAY","90"
"Line(03495)","PROMOTIONAL ITEMS","B","-662","CLINIC-WESTFIELD","90"
"Line(03496)","PROMOTIONAL ITEMS","B","-1203","CLINIC CHILDRENS","90"
"Line(03497)","PROMOTIONAL ITEMS","B","-1201","EMERGENCY","91"
"Line(03498)","PROMOTIONAL ITEMS","B","-1982","CHILDRENS EMERGENCY","91"
"Line(03499)","PROMOTIONAL ITEMS","B","-1827","HOME HEALTH AGENCY","101"
"Line(03500)","PROMOTIONAL ITEMS","B","-248","KIDNEY ACQUISITION","105"
"Line(03501)","PROMOTIONAL ITEMS","B","-3914","HOSPICE","116"
"Line(03502)","PROMOTIONAL ITEMS","B","-1550","HOSPICE-WACO","116"
"Line(03503)","PROMOTIONAL ITEMS","B","-1495","RESEARCH OVERHEAD","191"
"Line(03505)","NON-PHYSICIAN ADJUSTMENT","A","-323835","ADMINISTRATIVE & GENERAL","5"
"Line(03506)","NON-PHYSICIAN ADJUSTMENT","A","-866","ADULTS & PEDIATRICS","30"
"Line(03507)","NON-PHYSICIAN ADJUSTMENT","A","-22481","INTENSIVE CARE UNIT","31"
"Line(03508)","NON-PHYSICIAN ADJUSTMENT","A","-4581","CHILDRENS INTENSIVE CARE UNIT","31"
"Line(03509)","NON-PHYSICIAN ADJUSTMENT","A","-5909","SKILLED NURSING FACILITY","44"
"Line(03510)","NON-PHYSICIAN ADJUSTMENT","A","-2265142","OPERATING ROOM","50"
"Line(03511)","NON-PHYSICIAN ADJUSTMENT","A","-14407426","ANESTHESIOLOGY","53"
"Line(03512)","NON-PHYSICIAN ADJUSTMENT","A","-872438","CHILDRENS ANESTHESIOLOGY","53"
"Line(03513)","NON-PHYSICIAN ADJUSTMENT","A","-216692","RADIOLOGY-DIAGNOSTIC","54"
"Line(03514)","NON-PHYSICIAN ADJUSTMENT","A","-15183","RADIOLOGY-THERAPEUTIC","55"
"Line(03515)","NON-PHYSICIAN ADJUSTMENT","A","-175279","BLOOD STORING  PROCESSING & TRANS.","63"
"Line(03516)","NON-PHYSICIAN ADJUSTMENT","A","-467758","RESPIRATORY THERAPY","65"
"Line(03517)","NON-PHYSICIAN ADJUSTMENT","A","-381242","ELECTROENCEPHALOGRAPHY","70"
"Line(03518)","NON-PHYSICIAN ADJUSTMENT","A","-7605582","CLINIC","90"
"Line(03519)","NON-PHYSICIAN ADJUSTMENT","A","-394079","CLINIC-KILLEEN","90"
"Line(03520)","NON-PHYSICIAN ADJUSTMENT","A","-165892","CLINIC-FPC","90"
"Line(03521)","NON-PHYSICIAN ADJUSTMENT","A","-665145","CLINIC-NORTHSIDE","90"
"Line(03522)","NON-PHYSICIAN ADJUSTMENT","A","-374617","CLINIC-BELTON","90"
"Line(03523)","NON-PHYSICIAN ADJUSTMENT","A","-223628","CLINIC-KILLEEN WEST","90"
"Line(03524)","NON-PHYSICIAN ADJUSTMENT","A","-194524","CLINIC-SALADO","90"
"Line(03525)","NON-PHYSICIAN ADJUSTMENT","A","-71127","CLINIC-TEMPLE TOWNE CTR","90"
"Line(03526)","NON-PHYSICIAN ADJUSTMENT","A","-233364","CLINIC-GATESVILLE","90"
"Line(03527)","NON-PHYSICIAN ADJUSTMENT","A","-179640","CLINIC-HARKER HTS","90"
"Line(03528)","NON-PHYSICIAN ADJUSTMENT","A","-15522","CLINIC- WEST TEMPLE PEDICATRICS","90"
"Line(03529)","NON-PHYSICIAN ADJUSTMENT","A","-94651","CLINIC-MOODY","90"
"Line(03530)","NON-PHYSICIAN ADJUSTMENT","A","-120613","CLINIC-HEWITT","90"
"Line(03531)","NON-PHYSICIAN ADJUSTMENT","A","-800910","CLINIC-WACO","90"
"Line(03532)","NON-PHYSICIAN ADJUSTMENT","A","-154651","CLINIC-BELLMEAD","90"
"Line(03533)","NON-PHYSICIAN ADJUSTMENT","A","-102925","CLINIC-CAMERON","90"
"Line(03534)","NON-PHYSICIAN ADJUSTMENT","A","-657268","CLINIC-HEMINGWAY","90"
"Line(03535)","NON-PHYSICIAN ADJUSTMENT","A","-427765","CLINIC-WESTFIELD","90"
"Line(03536)","NON-PHYSICIAN ADJUSTMENT","A","-82635","CLINIC CHILDRENS","90"
"Line(03537)","NON-PHYSICIAN ADJUSTMENT","A","-316585","EMERGENCY","91"
"Line(03538)","NON-PHYSICIAN ADJUSTMENT","A","-8297","HEART ACQUISITION","106"
"Line(03539)","NON-PHYSICIAN ADJUSTMENT","A","-81923","HOSPICE","116"
"Line(03540)","LOBBYING COST IN DUES","A","-14711","ADMINISTRATIVE & GENERAL","5"
"Line(03541)","EST IMPLEMENTATION COST ASBESTOS","A","-323056","ADMINISTRATIVE & GENERAL","5"
"Line(03542)","PART B CONTRACT PHYSICIAN ADJUSTMENT","A","-664508","OPERATING ROOM","50"
"Line(03543)","PART B CONTRACT PHYSICIAN ADJUSTMENT","A","-611302","ANESTHESIOLOGY","53"
"Line(03544)","PART B CONTRACT PHYSICIAN ADJUSTMENT","A","-682844","CLINIC","90"
"Line(03545)","PART B CONTRACT PHYSICIAN ADJUSTMENT","A","-26744","CLINIC-NORTHSIDE","90"
"Line(03546)","PART B CONTRACT PHYSICIAN ADJUSTMENT","A","-21266","CLINIC-HEMINGWAY","90"
"Line(03547)","PART B CONTRACT PHYSICIAN ADJUSTMENT","A","-77769","EMERGENCY","91"
"Line(03550)","PHARMACY 340B COST","A","-19678348","PHARMACY 340B","15"
"Line(03551)","PHARMACY OTHER REVENUE","B","-9532438","DRUGS CHARGED TO PATIENTS","73"
"Line(03552)","PHARMACY OTHER REVENUE","B","-1835848","CHILDRENS DRUGS CHARGED TO PATIENTS","73"
"Line(03553)","PHARMACY OTHER REVENUE","B","-6053132","340B DRUGS","73"
"Line(03554)","TRANSPLANT PART B","A","-412415","KIDNEY ACQUISITION","105"
"Line(03555)","TRANSPLANT PART B","A","-123527","CLINIC","90"
"Line(03556)","TRANSPLANT PART B","A","-74875","OPERATING ROOM","50"
"Line(03557)","TRANSPLANT PART B","A","-12479","HEART ACQUISITION","106"
"Line(03558)","TRANSPLANT PART B","A","-37438","NON CERTIFIED ORGANS","112"
