"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000I0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000I0)","Entity[562588] Report(A6000I0[00000])","Entity[562588] Report(A6000I0[00100])", ,"Entity[562588] Report(A6000I0[00300])", ,"Entity[562588] Report(A6000I0[00500])", ,"Entity[562588] Report(A6000I0[00700])", ,"Entity[562588] Report(A6000I0[00900])"
"Line(04800)","MEDICAL SUPPLIES","I", , , , , ,"66", ,"1172"
"Line(04900)","MEDICAL SUPPLIES","I", , , , , ,"67", ,"21873"
"Line(05000)","MEDICAL SUPPLIES","I", , , , , ,"68", ,"7284"
"Line(05100)","MEDICAL SUPPLIES","I", , , , , ,"68", ,"459415"
"Line(05200)","MEDICAL SUPPLIES","I", , , , , ,"68", ,"90"
"Line(05300)","MEDICAL SUPPLIES","I", , , , , ,"69", ,"43417"
"Line(05400)","MEDICAL SUPPLIES","I", , , , , ,"70", ,"73363"
"Line(05500)","MEDICAL SUPPLIES","I", , , , , ,"74", ,"1228493"
"Line(05600)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"4669491"
"Line(05700)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"43071"
"Line(05800)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"35966"
"Line(05900)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"109861"
"Line(06000)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"29279"
"Line(06100)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"12312"
"Line(06200)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"49006"
"Line(06300)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"4019"
"Line(06400)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"14856"
"Line(06500)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"127527"
"Line(06600)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"15085"
"Line(06700)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"2684"
"Line(06800)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"3628"
"Line(06900)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"403693"
"Line(07000)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"8776"
"Line(07100)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"4493"
"Line(07200)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"352180"
"Line(07300)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"27973"
"Line(07400)","MEDICAL SUPPLIES","I", , , , , ,"90", ,"81083"
"Line(07500)","MEDICAL SUPPLIES","I", , , , , ,"91", ,"730170"
"Line(07600)","MEDICAL SUPPLIES","I", , , , , ,"91", ,"258094"
"Line(07700)","MEDICAL SUPPLIES","I", , , , , ,"94", ,"218449"
"Line(07800)","MEDICAL SUPPLIES","I", , , , , ,"101", ,"163849"
"Line(07900)","MEDICAL SUPPLIES","I", , , , , ,"101", ,"47182"
"Line(08000)","MEDICAL SUPPLIES","I", , , , , ,"105", ,"17464"
"Line(08100)","MEDICAL SUPPLIES","I", , , , , ,"106", ,"10"
"Line(08200)","MEDICAL SUPPLIES","I", , , , , ,"116", ,"119198"
"Line(08300)","MEDICAL SUPPLIES","I", , , , , ,"116", ,"35305"
"Line(08400)","MEDICAL SUPPLIES","I", , , , , ,"190", ,"6800"
"Line(08500)","MEDICAL SUPPLIES","I", , , , , ,"191", ,"680210"
"Line(08600)","MEDICAL SUPPLIES","I", , , , , ,"191", ,"664"
"Line(08700)","MEDICAL SUPPLIES","I", , , , , ,"191", ,"596"
"Line(08800)","MEDICAL SUPPLIES","I", , , , , ,"194", ,"22982"
"Line(08900)","MEDICAL SUPPLIES","I", , , , , ,"194", ,"1214"
