"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000E0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000E0)","Entity[562588] Report(A6000E0[00000])","Entity[562588] Report(A6000E0[00100])", ,"Entity[562588] Report(A6000E0[00300])", ,"Entity[562588] Report(A6000E0[00500])", ,"Entity[562588] Report(A6000E0[00700])", ,"Entity[562588] Report(A6000E0[00900])"
"Line(03900)","EMPLOYEE BENEFITS","E", , , , , ,"56", ,"236932"
"Line(04000)","EMPLOYEE BENEFITS","E", , , , , ,"56", ,"2965"
"Line(04100)","EMPLOYEE BENEFITS","E", , , , , ,"57", ,"249331"
"Line(04200)","EMPLOYEE BENEFITS","E", , , , , ,"57", ,"57033"
"Line(04300)","EMPLOYEE BENEFITS","E", , , , , ,"58", ,"243537"
"Line(04400)","EMPLOYEE BENEFITS","E", , , , , ,"58", ,"37382"
"Line(04500)","EMPLOYEE BENEFITS","E", , , , , ,"59", ,"591087"
"Line(04600)","EMPLOYEE BENEFITS","E", , , , , ,"60", ,"1758757"
"Line(04700)","EMPLOYEE BENEFITS","E", , , , , ,"60", ,"1686747"
"Line(04800)","EMPLOYEE BENEFITS","E", , , , , ,"60", ,"47507"
"Line(04900)","EMPLOYEE BENEFITS","E", , , , , ,"60", ,"206118"
"Line(05000)","EMPLOYEE BENEFITS","E", , , , , ,"63", ,"875468"
"Line(05100)","EMPLOYEE BENEFITS","E", , , , , ,"63", ,"3"
"Line(05200)","EMPLOYEE BENEFITS","E", , , , , ,"64", ,"286029"
"Line(05300)","EMPLOYEE BENEFITS","E", , , , , ,"65", ,"1874148"
"Line(05400)","EMPLOYEE BENEFITS","E", , , , , ,"65", ,"71237"
"Line(05500)","EMPLOYEE BENEFITS","E", , , , , ,"65", ,"205661"
"Line(05600)","EMPLOYEE BENEFITS","E", , , , , ,"66", ,"690222"
"Line(05700)","EMPLOYEE BENEFITS","E", , , , , ,"66", ,"39284"
"Line(05800)","EMPLOYEE BENEFITS","E", , , , , ,"67", ,"214275"
"Line(05900)","EMPLOYEE BENEFITS","E", , , , , ,"67", ,"33677"
"Line(06000)","EMPLOYEE BENEFITS","E", , , , , ,"68", ,"149507"
"Line(06100)","EMPLOYEE BENEFITS","E", , , , , ,"68", ,"151179"
"Line(06200)","EMPLOYEE BENEFITS","E", , , , , ,"68", ,"11857"
"Line(06300)","EMPLOYEE BENEFITS","E", , , , , ,"69", ,"147304"
"Line(06400)","EMPLOYEE BENEFITS","E", , , , , ,"70", ,"1121540"
"Line(06500)","EMPLOYEE BENEFITS","E", , , , , ,"74", ,"1180506"
"Line(06600)","EMPLOYEE BENEFITS","E", , , , , ,"76", ,"36026"
"Line(06700)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"19815975"
"Line(06800)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"1095789"
"Line(06900)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"311957"
"Line(07000)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"836316"
"Line(07100)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"721958"
"Line(07200)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"220295"
"Line(07300)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"287702"
"Line(07400)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"158074"
"Line(07500)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"180110"
"Line(07600)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"174045"
"Line(07700)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"208653"
"Line(07800)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"250855"
"Line(07900)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"34066"
"Line(08000)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"173263"
"Line(08100)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"3323780"
"Line(08200)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"201891"
"Line(08300)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"163906"
"Line(08400)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"2320121"
"Line(08500)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"446661"
"Line(08600)","EMPLOYEE BENEFITS","E", , , , , ,"90", ,"1256278"
"Line(08700)","EMPLOYEE BENEFITS","E", , , , , ,"91", ,"3328107"
"Line(08800)","EMPLOYEE BENEFITS","E", , , , , ,"91", ,"729533"
"Line(08900)","EMPLOYEE BENEFITS","E", , , , , ,"94", ,"51876"
"Line(09000)","EMPLOYEE BENEFITS","E", , , , , ,"101", ,"677111"
"Line(09100)","EMPLOYEE BENEFITS","E", , , , , ,"101", ,"340124"
"Line(09200)","EMPLOYEE BENEFITS","E", , , , , ,"105", ,"303279"
"Line(09300)","EMPLOYEE BENEFITS","E", , , , , ,"106", ,"74996"
"Line(09400)","EMPLOYEE BENEFITS","E", , , , , ,"112", ,"23346"
"Line(09500)","EMPLOYEE BENEFITS","E", , , , , ,"116", ,"539902"
"Line(09600)","EMPLOYEE BENEFITS","E", , , , , ,"116", ,"199629"
"Line(09700)","EMPLOYEE BENEFITS","E", , , , , ,"190", ,"20790"
"Line(09800)","EMPLOYEE BENEFITS","E", , , , , ,"190", ,"8767"
"Line(09900)","EMPLOYEE BENEFITS","E", , , , , ,"191", ,"1427020"
"Line(10000)","EMPLOYEE BENEFITS","E", , , , , ,"191", ,"566802"
"Line(10100)","EMPLOYEE BENEFITS","E", , , , , ,"194", ,"84727"
"Line(10200)","EMPLOYEE BENEFITS","E", , , , , ,"194", ,"1240491"
"Line(10300)","EMPLOYEE BENEFITS","E", , , , , ,"23", ,"11165"
