"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[572966] Report(A820010)", ,"Entity[572966] Report(A820010[00100])","Entity[572966] Report(A820010[00200])","Entity[572966] Report(A820010[00300])","Entity[572966] Report(A820010[00400])","Entity[572966] Report(A820010[00500])","Entity[572966] Report(A820010[00600])","Entity[572966] Report(A820010[00700])","Entity[572966] Report(A820010[00800])","Entity[572966] Report(A820010[00900])", , ,"Entity[572966] Report(A820010[01200])","Entity[572966] Report(A820010[01300])", , ,"Entity[572966] Report(A820010[01600])","Entity[572966] Report(A820010[01700])","Entity[572966] Report(A820010[01800])"
"Line(01100)", ,"5","AGGREGATE-A&G - PAVILION FOR WOMEN","55368","32617","18417","177200","287","24450","1223", , , , , , ,"24450", ,"36951"
"Line(01200)", ,"13","AGGREGATE-NURSING ADMINISTRATION","85001","42751","34560","177200","2145","182738","9137", , ,"1297","527", , ,"183265", ,"50441"
"Line(01300)", ,"16","AGGREGATE-MEDICAL RECORDS & LIBRARY","371190","100322","258955","208000","1070","107000","5350", , , , , , ,"107000","151955","264190"
"Line(01400)", ,"18","AGGREGATE-DIAGNOSTIC IMAGING ADMIN","5468397","4334856","551556","225300","4362","472480","23624", , , , , , ,"472480","79076","4995917"
"Line(01500)", ,"18","AGGREGATE-LABORATORY ADMIN","40529","40529", , , , , , , , , , , , , ,"40529"
"Line(01600)", ,"18","AGGREGATE-LABORATORY ADMIN","2229764","1407141","445193","215700","6889","714402","35720", , ,"1400","280", , ,"714682", ,"1784571"
"Line(01700)", ,"18","AGGREGATE-PULMONARY ADMIN","37942","37942", , , , , , , , , , , , , ,"37942"
"Line(01800)", ,"18","AGGREGATE-PULMONARY ADMIN","1197643","788800","229035","177200","4082","347755","17388", , , , , , ,"347755", ,"968608"
"Line(01900)", ,"18","AGGREGATE-PM&R ADMIN","11758","11758", , , , , , , , , , , , , ,"11758"
"Line(02000)", ,"18","AGGREGATE-PM&R ADMIN","619812","472212","121519","177200","2135","181886","9094", , , , , , ,"181886", ,"498293"
"Line(02100)", ,"18","AGGREGATE-CARDIOLOGY ADMIN","245781","245781", , , , , , , , , , , , , ,"245781"
"Line(02200)", ,"18","AGGREGATE-CARDIOLOGY ADMIN","4270573","3156499","515454","177200","8305","707522","35376", , ,"27622","3334", , ,"710856", ,"3755119"
"Line(02300)", ,"18","AGGREGATE-NUTRITION AND GI ADMIN","70971","70971", , , , , , , , , , , , , ,"70971"
"Line(02400)", ,"18","AGGREGATE-NUTRITION AND GI ADMIN","2218621","1501349","254312","177200","5435","463020","23151", , ,"1647","189", , ,"463209", ,"1964309"
"Line(02500)", ,"18","AGGREGATE-RHEUMATOLOGY ADMIN","3610","3610", , , , , , , , , , , , , ,"3610"
"Line(02600)", ,"18","AGGREGATE-RHEUMATOLOGY ADMIN","473591","306865","99590","177200","1685","143549","7177", , , , , , ,"143549", ,"374001"
"Line(02700)", ,"18","AGGREGATE-ORTHOPEDIC SURG ADMIN","73729","73729", , , , , , , , , , , , , ,"73729"
"Line(02800)", ,"18","AGGREGATE-ORTHOPEDIC SURG ADMIN","1169073","880988","160772","208000","2451","245100","12255", , , , , , ,"245100", ,"1008301"
"Line(02900)", ,"18","AGGREGATE-SURGERY ADMIN","165375","165375", , , , , , , , , , , , , ,"165375"
"Line(03000)", ,"18","AGGREGATE-SURGERY ADMIN","4079042","2957439","603289","208000","4849","484900","24245", , ,"3200","473", , ,"485373","117916","3593669"
"Line(03100)", ,"18","AGGREGATE-SURGERY ADMIN","6044", , ,"177200", , , , , , , , , , , ,"6044"
"Line(03200)", ,"18","AGGREGATE-SURGERY SERVICES","578582","307146","189693","208000","447","44700","2235", , ,"150","49", , ,"44749","144944","533833"
"Line(03300)", ,"18","AGGREGATE-DIABETES & ENDOCRINE ADMIN","32462","32462", , , , , , , , , , , , , ,"32462"
"Line(03400)", ,"18","AGGREGATE-DIABETES & ENDOCRINE ADMIN","1328154","762665","294244","177200","7164","610318","30516", , , , , , ,"610318", ,"1033910"
"Line(03500)", ,"18","AGGREGATE-OTOLARYNGOLOGY ADMIN","18145","18145", , , , , , , , , , , , , ,"18145"
"Line(03600)", ,"18","AGGREGATE-OTOLARYNGOLOGY ADMIN","719690","539878","122566","208000","2513","251300","12565", , , , , , ,"251300", ,"597124"
"Line(03700)", ,"18","AGGREGATE-OPTHALMOLOGY ADMIN","1209","1209", , , , , , , , , , , , , ,"1209"
"Line(03800)", ,"18","AGGREGATE-OPTHALMOLOGY ADMIN","126077","79905","16558","20800","1668","16680","834", , ,"817","107", , ,"16787", ,"109519"
"Line(03900)", ,"18","AGGREGATE-NEUROLOGY ADMIN","87460","87460", , , , , , , , , , , , , ,"87460"
"Line(04000)", ,"18","AGGREGATE-NEUROLOGY ADMIN","4013454","2768346","623688","177200","8746","745092","37255", , , , , , ,"745092", ,"3389766"
"Line(04100)", ,"18","AGGREGATE-DERMATOLOGY ADMIN","839","839", , , , , , , , , , , , , ,"839"
"Line(04200)", ,"18","AGGREGATE-DERMATOLOGY ADMIN","145645","129053","2291","177200","72","6134","307", , , , , , ,"6134", ,"143354"
"Line(04300)", ,"18","AGGREGATE-ADOLESCENT SPORTS MED ADMI","12243","12243", , , , , , , , , , , , , ,"12243"
"Line(04400)", ,"18","AGGREGATE-ADOLESCENT SPORTS MED ADMI","591606","358220","100069","177200","2473","210681","10534", , , , , , ,"210681", ,"491537"
"Line(04500)", ,"18","AGGREGATE-GENETICS ADMIN","8558","8558", , , , , , , , , , , , , ,"8558"
"Line(04600)", ,"18","AGGREGATE-GENETICS ADMIN","503375","181435","51695","177200","2045","174218","8711", , , , , , ,"174218", ,"451680"
"Line(04700)", ,"18","AGGREGATE-NEONATOLOGY ADMIN","66733","66733", , , , , , , , , , , , , ,"66733"
"Line(04800)", ,"18","AGGREGATE-NEONATOLOGY ADMIN","820998","623506","-95966","177200","3836","326798","16340", , , , , , ,"326798", ,"916964"
"Line(04900)", ,"18","AGGREGATE-UROLOGY ADMIN","35844","24169","8525","208000","467","46700","2335", , , , , , ,"46700", ,"27319"
"Line(05000)", ,"18","AGGREGATE-HEMATOLOGY & ONCOLOGY ADMI","294729","294729", , , , , , , , , , , , , ,"294729"
"Line(05100)", ,"18","AGGREGATE-HEMATOLOGY & ONCOLOGY ADMI","6768420","3209865","1391111","177200","19968","1701120","85056", , ,"2489","512", , ,"1701632", ,"5377309"
"Line(05200)", ,"18","AGGREGATE-NEUROSURGERY ADMIN","91522","91522", , , , , , , , , , , , , ,"91522"
"Line(05300)", ,"18","AGGREGATE-NEUROSURGERY ADMIN","863900","617994","155838","208000","1159","115900","5795", , , , , , ,"115900","39938","748000"
"Line(05400)", ,"18","AGGREGATE-PEDIATRICS ADMIN","34298","34298", , , , , , , , , , , , , ,"34298"
"Line(05500)", ,"18","AGGREGATE-PEDIATRICS ADMIN","1140135","631991","236288","140600","6231","421192","21060", , ,"494","102", , ,"421294", ,"903847"
"Line(05600)", ,"18","AGGREGATE-PEDIATRICS ADMIN","4176462","1349625","1022637","208000","7471","747100","37355", , , , , , ,"747100","275537","3429362"
"Line(05700)", ,"18","AGGREGATE-NEPHROLOGY ADMIN","77998","77998", , , , , , , , , , , , , ,"77998"
"Line(05800)", ,"18","AGGREGATE-NEPHROLOGY ADMIN","1625775","828293","507713","177200","6724","572833","28642", , , , , , ,"572833", ,"1118062"
"Line(05900)", ,"18","AGGREGATE-CRITICAL CARE ADMIN","204132","204132", , , , , , , , , , , , , ,"204132"
"Line(06000)", ,"18","AGGREGATE-CRITICAL CARE ADMIN","5001657","3428732","697161","177200","7239","616707","30835", , , , , , ,"616707","80454","4384950"
"Line(06100)", ,"18","AGGREGATE-ANESTHESIOLOGY ADMIN","160454","160454", , , , , , , , , , , , , ,"160454"
"Line(06200)", ,"18","AGGREGATE-ANESTHESIOLOGY ADMIN","5712855","4966691","339288","200300","6445","620641","31032", , , , , , ,"620641", ,"5373567"
"Line(06300)", ,"18","AGGREGATE-INFECTIOUS DISEASE ADMIN","110536", , ,"208000", , , , , , , , , , , ,"110536"
"Line(06400)", ,"18","AGGREGATE-INFECTIOUS DISEASE ADMIN","1097294","408980","153808","177200","2264","192875","9644", , , , , , ,"192875", ,"943486"
"Line(06500)", ,"18","AGGREGATE-EMERGENCY MEDICINE ADMIN","588859","588859", , , , , , , , , , , , , ,"588859"
"Line(06600)", ,"18","AGGREGATE-EMERGENCY MEDICINE ADMIN","9462705","7402819","994765","177200","17250","1469567","73478", , ,"1627","171", , ,"1469738", ,"8467940"
"Line(06700)", ,"18","AGGREGATE-PSYCHOLOGY ADMIN","3380","3380", , , , , , , , , , , , , ,"3380"
"Line(06800)", ,"18","AGGREGATE-PSYCHOLOGY ADMIN","13892","1522","2113","177200","90","7667","383", , , , , , ,"7667", ,"11779"
"Line(06900)", ,"18","AGGREGATE-FETAL CENTER ADMIN","509855","378514","59460","208000","470","47000","2350", , ,"3721","434", , ,"47434","12026","462421"
"Line(07000)", ,"22","AGGREGATE-I&R SERVICES-OTHER PRGM CO","44673","44673", , , , , , , , , , , , , ,"44673"
"Line(07100)", ,"22","AGGREGATE-I&R SERVICES-OTHER PRGM CO","32469","4747","6741","140600","109","7368","368", , , , , , ,"7368", ,"25728"
"Line(07200)", ,"50","AGGREGATE-OPERATING ROOM","3624","3022","467","177200","8","682","34", , , , , , ,"682", ,"3157"
"Line(07300)", ,"60","AGGREGATE-LABORATORY","272341","194529","46897","215700","526","54547","2727", , , , , , ,"54547", ,"225444"
"Line(07400)", ,"60","AGGREGATE-LABORATORY","75729","12326","7176","177200","81","6901","345", , ,"45","4", , ,"6905","271","68824"
"Line(07500)", ,"65","AGGREGATE-RESPIRATORY THERAPY","300932","182696","96281","177200","1445","123103","6155", , , , , , ,"123103", ,"204651"
"Line(07600)", ,"69","AGGREGATE-ELECTROCARDIOLOGY","405477","148558","144455","177200","1395","118843","5942", , , , , , ,"118843","25612","286634"
"Line(07700)", ,"74","AGGREGATE-RENAL DIALYSIS","146634","80325","34769","177200","334","28454","1423", , ,"2103","499", , ,"28953","5816","117681"
"Line(07800)", ,"76","AGGREGATE-IMMUNOLOGY","34873","34873", , , , , , , , , , , , , ,"34873"
"Line(07900)", ,"76","AGGREGATE-IMMUNOLOGY","1461547","595438","392508","177200","3924","334295","16715", , ,"677","182", , ,"334477","58031","1127070"
"Line(08000)", ,"76","AGGREGATE-PHERESIS","26447","19271","3572","177200","56","4771","239", , ,"1420","192", , ,"4963", ,"22875"
"Line(08100)", ,"90","AGGREGATE-CLINIC","759158","759158", , , , , , , , , , , , , ,"759158"
"Line(08200)", ,"90","AGGREGATE-CLINIC","11113173","7795812","1247267","196400","12897","1217774","60889", , , , , , ,"1217774","29493","9895399"
"Line(08300)", ,"90","AGGREGATE-CLINIC","678823","458225","108697","154100","2418","179141","8957", , , , , , ,"179141", ,"570126"
"Line(08400)", ,"90","AGGREGATE-CLINIC","741370","463015","101956","208000","759","75900","3795", , , , , , ,"75900","26056","665470"
"Line(08500)", ,"90","AGGREGATE-CLINIC","2090728","879769","489334","177200","10456","890771","44539", , ,"2573","602", , ,"891373", ,"1601394"
"Line(08600)", ,"91","AGGREGATE-EMERGENCY","98877","43978","35848","208000","263","26300","1315", , ,"965","350", , ,"26650","9198","72227"
"Line(08700)", ,"91","AGGREGATE-EMERGENCY","71802","66506","5162","177200","72","6134","307", , , , , , ,"6134", ,"66640"
"Line(08800)", ,"105","AGGREGATE-KIDNEY ACQUISITION","21955","10289","5922","177200","60","5112","256", , , , , , ,"5112","810","16843"
"Line(08900)", ,"106","AGGREGATE-HEART ACQUISITION","241916","208680","23255","177200","427","36377","1819", , , , , , ,"36377", ,"218661"
"Line(09000)", ,"107","AGGREGATE-LIVER ACQUISITION","77259","47224","14475","177200","128","10905","545", , , , , , ,"10905","3570","66354"
"Line(09100)", ,"16","AGGREGATE-MEDICAL RECORDS & LIBRARY","122969","3167","89720","140600","1518","102611","5131", , , , , , ,"102611", ,"33249"
