"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A000000 ","-------------","-------------","-----------",""
"Line(01811)","01861SURGERY SERVICES","2657071","1038235","3695306","242675","3937981","-864581","3073400"
"Line(01812)","01862MEYER CENTER ADMIN","32","33686","33718","-13344","20374","-10","20364"
"Line(01813)","01863DIABETES & ENDOCRINE ADMIN", ,"2013469","2013469","-127209","1886260","-1508683","377577"
"Line(01814)","01864OTOLARYNGOLOGY ADMIN","89385","856086","945471","12023","957494","-678959","278535"
"Line(01815)","01865OPTHALMOLOGY ADMIN","44842","294317","339159","7800","346959","-261949","85010"
"Line(01816)","01866NEUROLOGY ADMIN","245334","4826159","5071493","-41294","5030199","-3914575","1115624"
"Line(01817)","01867DERMATOLOGY ADMIN","37578","215495","253073","1192","254265","-196314","57951"
"Line(01818)","01868ADOLESCENT SPORTS MED ADMIN","102613","941236","1043849","10368","1054217","-763890","290327"
"Line(01819)","01869GENETICS ADMIN", ,"1406638","1406638","7671","1414309","-618289","796020"
"Line(01820)","01870NEONATOLOGY ADMIN","9513420","2107479","11620899","1909207","13530106","-2582217","10947889"
"Line(01821)","01871UROLOGY ADMIN", ,"15083","15083","60309","75392","-59712","15680"
"Line(01822)","01872HEMATOLOGY & ONCOLOGY ADMIN","698475","11739120","12437595","-347650","12089945","-9394801","2695144"
"Line(01823)","01873HEALTH CENTERS ADMIN"
"Line(01824)","01874NEUROSURGERY ADMIN","123023","1756828","1879851","-41041","1838810","-1485832","352978"
"Line(01825)","01875PEDIATRICS ADMIN","58368","2706699","2765067","4111823","6876890","-5698245","1178645"
"Line(01826)","01876NEPHROLOGY ADMIN", ,"3397044","3397044","-1075715","2321329","-1858415","462914"
"Line(01827)","01877TRANSPLANT SERVICES ADMIN","279020","84017","363037","-159730","203307","-5368","197939"
"Line(01828)","01878CRITICAL CARE ADMIN","520636","5641225","6161861","-319352","5842509","-4760591","1081918"
"Line(01829)","01879ANESTHESIOLOGY ADMIN","353313","7623141","7976454","-127319","7849135","-7052528","796607"
"Line(01830)","01880OB/GYN ADMIN","315765","310980","626745","-38195","588550","-51771","536779"
"Line(01831)","01881ALLERGY & IMMUNOLOGY ADMIN", ,"3066","3066","54","3120","-11","3109"
"Line(01832)","01882INFECTIOUS DISEASE ADMIN", , , ,"1207830","1207830","-1054022","153808"
"Line(01833)","01883EMERGENCY MEDICINE ADMIN","74965","10802436","10877401","53107","10930508","-9662879","1267629"
"Line(01834)","01884PSYCHIATRY ADMIN", ,"25479","25479","445","25924","-25371","553"
"Line(01835)","01885PSYCHOLOGY ADMIN","701858","3144093","3845951","54393","3900344","-2472637","1427707"
"Line(01836)","01886RETROVIROLOGY ADMIN"
"Line(01837)","01887ANCILLARY ADMINISTRATION","1950443","333537","2283980","-1311505","972475","-172778","799697"
"Line(01838)","01889FETAL CENTER ADMIN","668141","1184150","1852291","-42796","1809495","-498020","1311475"
"Line(01839)","01081COMMUNITY CLINIC ADMIN","67673","12441","80114","965","81079","-533","80546"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A","79787","34801758","34881545","-2174543","32707002","-2156090","30550912"
"Line(03000)","03000ADULTS & PEDIATRICS","63041631","22741545","85783176","7644549","93427725","477183","93904908"
"Line(03101)","02080PICU","17646082","8983256","26629338","1649354","28278692","-2423587","25855105"
"Line(03102)","02060NICU","26940269","10039523","36979792","2045587","39025379","229975","39255354"
"Line(03103)","02081CVICU","7285118","3072085","10357203","289487","10646690","-17150","10629540"
"Line(04300)","04300NURSERY", , , ,"4528303","4528303", ,"4528303"
"Line(05000)","05000OPERATING ROOM","13969906","38181185","52151091","-24289475","27861616","169013","28030629"
"Line(05100)","05100RECOVERY ROOM","7459878","2750666","10210544","-250583","9959961","31547","9991508"
"Line(05200)","05200DELIVERY ROOM & LABOR ROOM","9080566","4610981","13691547","-1710611","11980936","320987","12301923"
"Line(05300)","05300ANESTHESIOLOGY","1322854","5091540","6414394","-533520","5880874","50495","5931369"
"Line(05400)","05400RADIOLOGY-DIAGNOSTIC","8840533","8813065","17653598","-3036938","14616660","187500","14804160"
"Line(05700)","05700CT SCAN","1096138","1496268","2592406","-962118","1630288","23041","1653329"
"Line(05800)","05800MRI","1547606","3979409","5527015","-3152484","2374531","42485","2417016"
"Line(05900)","05900CARDIAC CATHETERIZATION","1378613","4872707","6251320","-3011670","3239650","-3079","3236571"
"Line(06000)","06000LABORATORY","15997740","31054433","47052173","-1470512","45581661","-984834","44596827"
"Line(06200)","06200WHOLE BLOOD & PACKED RED BLOOD","2109900","6804333","8914233","-174244","8739989","7335","8747324"
"Line(06500)","06500RESPIRATORY THERAPY","11673985","5985329","17659314","-532640","17126674","-342404","16784270"
"Line(06600)","06600PHYSICAL THERAPY","8438390","3095415","11533805","-305631","11228174","-504232","10723942"
"Line(06800)","06800SPEECH PATHOLOGY","1728485","427353","2155838","12465","2168303","-46072","2122231"
"Line(06900)","06900ELECTROCARDIOLOGY","2203966","2117902","4321868","-837350","3484518","-288627","3195891"
"Line(07000)","07000ELECTROENCEPHALOGRAPHY","3227618","1280516","4508134","-156147","4351987","-12224","4339763"
"Line(07100)","07100MEDICAL SUPPLIES CHARGED TO PAT", , , ,"11907335","11907335", ,"11907335"
"Line(07200)","07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"12602753","12602753", ,"12602753"
"Line(07300)","07300DRUGS CHARGED TO PATIENTS", , , ,"48229312","48229312", ,"48229312"
"Line(07301)","07301TAKE HOME DRUGS", , , ,"2879583","2879583", ,"2879583"
"Line(07400)","07400RENAL DIALYSIS","2943473","1549169","4492642","-799654","3692988","-141139","3551849"
"Line(07600)","03950NUTRITIONAL SUPPORT","2038505","4247102","6285607","-20355","6265252","-41224","6224028"
"Line(07601)","03380IMMUNOLOGY","1164975","3402922","4567897","-275683","4292214","-2072465","2219749"
"Line(07602)","03951PHERESIS","95076","224325","319401","88570","407971","-23057","384914"
"Line(07603)","03952INFUSION CENTER","1165237","551011","1716248","-139892","1576356","68226","1644582"
"Line(07604)","03953BONE MARROW TRANSPLANT","335471","4357600","4693071","19018","4712089","-15271","4696818"
"Line(07605)","03954FETAL CENTER","868507","484397","1352904","-512408","840496","104242","944738"
"Line(09000)","09000CLINIC","21112613","29914181","51026794","-261172","50765622","-18326192","32439430"
"Line(09001)","09001HOSPITAL BASED HEALTH CENTERS","10476522","9656988","20133510","-812068","19321442","-83772","19237670"
"Line(09100)","09100EMERGENCY","15101823","7349852","22451675","-596268","21855407","-417906","21437501"
"Line(09200)","09200OBSERVATION BEDS (NON-DISTINCT"
"Line(09201)","09201OBSERVATION BEDS-DISTINCT","2060241","546946","2607187","-32956","2574231","-3947"
"Line(09400)","09400HOME PROGRAM DIALYSIS","322955","579073","902028","550963","1452991","-527","1452464"
"Line(09500)","09500AMBULANCE SERVICES","2788257","4290780","7079037","-103132","6975905","17984","6993889"
"Line(10000)","10000I&R SERVICES-NOT APPRVD PRGM", ,"1110476","1110476","-33554","1076922", ,"1076922"
"Line(10500)","10500KIDNEY ACQUISITION","311762","467443","779205","-157035","622170","-17026","605144"
"Line(10600)","10600HEART ACQUISITION","321255","1030246","1351501","-272044","1079457","-260425","819032"
"Line(10700)","10700LIVER ACQUISITION","417220","2113803","2531023","-379184","2151839","-465464","1686375"
"Line(10800)","10800LUNG ACQUISITION","339955","1413428","1753383","-263030","1490353","-286122","1204231"
"Line(11800)", ,"481118819","794838920","1275957739","-5803495","1270154244","-193345746","1076808498"
"Line(19000)","19000GIFT  FLOWER  COFFEE SHOP & CAN","695071","876116","1571187","-147727","1423460","36041","1459501"
"Line(19100)","19100RESEARCH", ,"1954323","1954323","685786","2640109", ,"2640109"
"Line(19101)","19101RESEARCH - CRC","1329003","333086","1662089","-790760","871329","14403","885732"
"Line(19102)","19102RESEARCH - OTHER SPONSORED","287905","757263","1045168","271216","1316384","-3536","1312848"
"Line(19103)","19103RESEARCH - DEPARTMENTAL","1916664","15433900","17350564","-2640760","14709804","-2378143","12331661"
"Line(19104)","19104RESEARCH - VIVARIUM", ,"757319","757319","-687570","69749", ,"69749"
"Line(19105)","19105RESEARCH - VACANT SPACE"
"Line(19106)","19106RESEARCH - CORES","329952","2394151","2724103","-736550","1987553","4676","1992229"
"Line(19107)","19107ACADEMIC EDUCATION", ,"589460","589460","1104","590564","-140","590424"
"Line(19108)","19108RESEARCH OTH INSTITUTIONAL ACTI"
"Line(19200)","19200PHYSICIANS PRIVATE OFFICES"
"Line(19400)","07950FUNDRAISING","3649532","6971049","10620581","1381712","12002293","-2359856","9642437"
"Line(19401)","07951TCP", ,"516928","516928","8435003","8951931","-515386","8436545"
"Line(19402)","07952TCF","91814","66994","158808","1750668","1909476", ,"1909476"
"Line(19403)","07953TCHP", ,"10778","10778","2709477","2720255", ,"2720255"
"Line(19404)","07954AUTISTIC PRESCHOOL", ,"129511","129511","-127251","2260", ,"2260"
"Line(19405)","07955OTHER NONREIMBURSABLE","76434","81030","157464","357137","514601", ,"514601"
"Line(19406)","07956GUEST SERVICES","4293275","2063373","6356648","-4157366","2199282","21544","2220826"
"Line(19407)","07957PEDIATRIC DENTISTRY","268814","273675","542489","-2608","539881","-15308","524573"
"Line(19408)","07958LEASED SPACE", , , ,"37268","37268", ,"37268"
"Line(19409)","07959VANNIE COOK CLINIC MCALLEN TX","23228","451728","474956","1559","476515","-93920","382595"
"Line(19410)","07960INTERNATIONAL SERVICES","424336","3867347","4291683","174233","4465916","-340","4465576"
"Line(19411)","07961TELEMEDICINE","171425","85144","256569","-6790","249779", ,"249779"
"Line(19412)","07962COMMUNITY INITIATIVES","1436922","1520273","2957195","-1129288","1827907", ,"1827907"
"Line(19413)","07963MARKETING","1503800","4786908","6290708","-249221","6041487","-3917811","2123676"
"Line(19414)","07964THE CENTER PHARMACY","248704","284399","533103","2761","535864", ,"535864"
"Line(19415)","07965MID-LEVEL PRACTICTIONERS","3841921","682011","4523932","-967633","3556299", ,"3556299"
"Line(19416)","07966TCWS", , , ,"513920","513920", ,"513920"
"Line(19417)","07967COMMUNITY BASED CLINICS","725565","1448784","2174349","-108055","2066294","-314611","1751683"
"Line(19418)","07968TCPG", , , ,"1166749","1166749", ,"1166749"
"Line(19419)","07969RISE SCHOOL"
"Line(19420)","07970THE CENTER FOR CHILDREN AND WOM","25889","2097","27986","66481","94467", ,"94467"
"Line(19421)","07971NOT USED"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A6000A0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572966] Report(A6000A0)","Entity[572966] Report(A6000A0[00000])","Entity[572966] Report(A6000A0[00100])", ,"Entity[572966] Report(A6000A0[00300])", ,"Entity[572966] Report(A6000A0[00500])", ,"Entity[572966] Report(A6000A0[00700])", ,"Entity[572966] Report(A6000A0[00900])"
"Line(00100)","COST OF DRUGS SOLD TO PATIENTS","A", ,"73", ,"48542439", ,"15", ,"51422022"
"Line(00200)","COST OF DRUGS SOLD TO PATIENTS","A", ,"73", ,"2879583"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A6000B0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572966] Report(A6000B0)","Entity[572966] Report(A6000B0[00000])","Entity[572966] Report(A6000B0[00100])", ,"Entity[572966] Report(A6000B0[00300])", ,"Entity[572966] Report(A6000B0[00500])", ,"Entity[572966] Report(A6000B0[00700])", ,"Entity[572966] Report(A6000B0[00900])"
"Line(00100)","RECLASS GME EXPENSE","B", ,"100", ,"46322", ,"22", ,"46322"
"Line(00200)","RECLASS GME EXPENSE","B", ,"22", ,"79876", ,"100", ,"79876"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A6000C0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572966] Report(A6000C0)","Entity[572966] Report(A6000C0[00000])","Entity[572966] Report(A6000C0[00100])", ,"Entity[572966] Report(A6000C0[00300])", ,"Entity[572966] Report(A6000C0[00500])", ,"Entity[572966] Report(A6000C0[00700])", ,"Entity[572966] Report(A6000C0[00900])"
"Line(00100)","COST OF SUPPLIES SOLD TO PATIENTS","C", ,"71", ,"1846421", ,"5", ,"51"
"Line(00200)","COST OF SUPPLIES SOLD TO PATIENTS","C", ,"14", ,"1731", ,"5", ,"446"
"Line(00300)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"6", ,"55"
"Line(00400)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"13", ,"74783"
"Line(00500)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"15", ,"366371"
"Line(00600)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"18", ,"2"
"Line(00700)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"18", ,"126"
"Line(00800)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"18", ,"17"
"Line(00900)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"30", ,"173353"
"Line(01000)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"31", ,"273105"
"Line(01100)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"31", ,"164455"
"Line(01200)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"31", ,"83458"
"Line(01300)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"43", ,"7435"
"Line(01400)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"50", ,"81534"
"Line(01500)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"51", ,"61441"
"Line(01600)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"52", ,"46488"
"Line(01700)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"53", ,"77557"
"Line(01800)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"54", ,"12119"
"Line(01900)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"59", ,"10290"
"Line(02000)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"60", ,"66"
"Line(02100)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"62", ,"325"
"Line(02200)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"65", ,"1931"
"Line(02300)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"66", ,"51"
"Line(02400)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"70", ,"96"
"Line(02500)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"74", ,"24812"
"Line(02600)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"76", ,"7"
"Line(02700)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"76", ,"786"
"Line(02800)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"76", ,"19635"
"Line(02900)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"90", ,"217634"
"Line(03000)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"90", ,"3797"
"Line(03100)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"91", ,"142337"
"Line(03200)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"92", ,"3191"
"Line(03300)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"94", ,"316"
"Line(03400)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"191", ,"74"
"Line(03500)","COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"194", ,"8"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A6000D0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572966] Report(A6000D0)","Entity[572966] Report(A6000D0[00000])","Entity[572966] Report(A6000D0[00100])", ,"Entity[572966] Report(A6000D0[00300])", ,"Entity[572966] Report(A6000D0[00500])", ,"Entity[572966] Report(A6000D0[00700])", ,"Entity[572966] Report(A6000D0[00900])","Entity[572966] Report(A6000D0[01000])"
"Line(00100)","DEPRECIATAION EXPENSES","D", ,"1", ,"18041975", ,"4", ,"123132","9"
"Line(00200)","DEPRECIATAION EXPENSES","D", ,"1", ,"457856", ,"5", ,"147005","9"
"Line(00300)","DEPRECIATAION EXPENSES","D", ,"1", ,"3990167", ,"5", ,"29181007","9"
"Line(00400)","DEPRECIATAION EXPENSES","D", ,"1", ,"251767", ,"5", ,"4088","9"
"Line(00500)","DEPRECIATAION EXPENSES","D", ,"2", ,"93528981", ,"5", ,"208135","9"
"Line(00600)","DEPRECIATAION EXPENSES","D", ,"194", ,"514625", ,"5", ,"88711"
"Line(00700)","DEPRECIATAION EXPENSES","D", ,"194", ,"3358", ,"5", ,"182118"
"Line(00800)","DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"93064"
"Line(00900)","DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"829815"
"Line(01000)","DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"99260"
"Line(01100)","DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"59700"
"Line(01200)","DEPRECIATAION EXPENSES","D", , , , , ,"6", ,"1099334"
"Line(01300)","DEPRECIATAION EXPENSES","D", , , , , ,"7", ,"23979051"
"Line(01400)","DEPRECIATAION EXPENSES","D", , , , , ,"7", ,"347410"
"Line(01500)","DEPRECIATAION EXPENSES","D", , , , , ,"7", ,"6966823"
"Line(01600)","DEPRECIATAION EXPENSES","D", , , , , ,"8", ,"93"
"Line(01700)","DEPRECIATAION EXPENSES","D", , , , , ,"9", ,"10450348"
"Line(01800)","DEPRECIATAION EXPENSES","D", , , , , ,"9", ,"5768785"
"Line(01900)","DEPRECIATAION EXPENSES","D", , , , , ,"9", ,"456602"
"Line(02000)","DEPRECIATAION EXPENSES","D", , , , , ,"10", ,"459774"
"Line(02100)","DEPRECIATAION EXPENSES","D", , , , , ,"11", ,"148942"
"Line(02200)","DEPRECIATAION EXPENSES","D", , , , , ,"13", ,"365915"
"Line(02300)","DEPRECIATAION EXPENSES","D", , , , , ,"14", ,"1232007"
"Line(02400)","DEPRECIATAION EXPENSES","D", , , , , ,"15", ,"1019503"
"Line(02500)","DEPRECIATAION EXPENSES","D", , , , , ,"16", ,"98154"
"Line(02600)","DEPRECIATAION EXPENSES","D", , , , , ,"17", ,"1929"
"Line(02700)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"43597"
"Line(02800)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"779930"
"Line(02900)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"190983"
"Line(03000)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"17586"
"Line(03100)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"7720"
"Line(03200)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"290351"
"Line(03300)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"62565"
"Line(03400)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"17082"
"Line(03500)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"15416"
"Line(03600)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"86233"
"Line(03700)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"34485"
"Line(03800)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"13933"
"Line(03900)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"48537"
"Line(04000)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"10966"
"Line(04100)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"5445"
"Line(04200)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"76136"
"Line(04300)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"2641"
"Line(04400)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"13145"
"Line(04500)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"17064"
"Line(04600)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"163019"
"Line(04700)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"7971"
"Line(04800)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"241240"
"Line(04900)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"35605"
"Line(05000)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"3920"
"Line(05100)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"32589"
"Line(05200)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"4774"
"Line(05300)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"130474"
"Line(05400)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"128703"
"Line(05500)","DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"45744"
