"----------"," Entity 572966"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"01857NUTRITION AND GI ADMIN","33325","2926134","2959459","-39508","2919951","-2543240","376711", , , , , , , , , , , , 
"01858RHEUMATOLOGY ADMIN","47121","804742","851863","-18010","833853","-610564","223289", , , , , , , , , , , , 
"01859ORTHOPEDIC SURG ADMIN","720","1460973","1461693","-2338","1459355","-1278037","181318", , , , , , , , , , , , 
"01860SURGERY ADMIN","736531","9911133","10647664","-265911","10381753","-8806980","1574773", , , , , , , , , , , , 
"01861SURGERY SERVICES","2657071","1038235","3695306","242675","3937981","-864581","3073400", , , , , , , , , , , , 
"01862MEYER CENTER ADMIN","32","33686","33718","-13344","20374","-10","20364", , , , , , , , , , , , 
"01863DIABETES & ENDOCRINE ADMIN", ,"2013469","2013469","-127209","1886260","-1508683","377577", , , , , , , , , , , , 
"01864OTOLARYNGOLOGY ADMIN","89385","856086","945471","12023","957494","-678959","278535", , , , , , , , , , , , 
"01865OPTHALMOLOGY ADMIN","44842","294317","339159","7800","346959","-261949","85010", , , , , , , , , , , , 
"01866NEUROLOGY ADMIN","245334","4826159","5071493","-41294","5030199","-3914575","1115624", , , , , , , , , , , , 
"01867DERMATOLOGY ADMIN","37578","215495","253073","1192","254265","-196314","57951", , , , , , , , , , , , 
"01868ADOLESCENT SPORTS MED ADMIN","102613","941236","1043849","10368","1054217","-763890","290327", , , , , , , , , , , , 
"01869GENETICS ADMIN", ,"1406638","1406638","7671","1414309","-618289","796020", , , , , , , , , , , , 
"01870NEONATOLOGY ADMIN","9513420","2107479","11620899","1909207","13530106","-2582217","10947889", , , , , , , , , , , , 
"01871UROLOGY ADMIN", ,"15083","15083","60309","75392","-59712","15680", , , , , , , , , , , , 
"01872HEMATOLOGY & ONCOLOGY ADMIN","698475","11739120","12437595","-347650","12089945","-9394801","2695144", , , , , , , , , , , , 
"01873HEALTH CENTERS ADMIN", , , , , , , , , , , , , , , , , , , 
"01874NEUROSURGERY ADMIN","123023","1756828","1879851","-41041","1838810","-1485832","352978", , , , , , , , , , , , 
"01875PEDIATRICS ADMIN","58368","2706699","2765067","4111823","6876890","-5698245","1178645", , , , , , , , , , , , 
"01876NEPHROLOGY ADMIN", ,"3397044","3397044","-1075715","2321329","-1858415","462914", , , , , , , , , , , , 
"01877TRANSPLANT SERVICES ADMIN","279020","84017","363037","-159730","203307","-5368","197939", , , , , , , , , , , , 
"01878CRITICAL CARE ADMIN","520636","5641225","6161861","-319352","5842509","-4760591","1081918", , , , , , , , , , , , 
"01879ANESTHESIOLOGY ADMIN","353313","7623141","7976454","-127319","7849135","-7052528","796607", , , , , , , , , , , , 
"01880OB/GYN ADMIN","315765","310980","626745","-38195","588550","-51771","536779", , , , , , , , , , , , 
"01881ALLERGY & IMMUNOLOGY ADMIN", ,"3066","3066","54","3120","-11","3109", , , , , , , , , , , , 
"01882INFECTIOUS DISEASE ADMIN", , , ,"1207830","1207830","-1054022","153808", , , , , , , , , , , , 
"01883EMERGENCY MEDICINE ADMIN","74965","10802436","10877401","53107","10930508","-9662879","1267629", , , , , , , , , , , , 
"01884PSYCHIATRY ADMIN", ,"25479","25479","445","25924","-25371","553", , , , , , , , , , , , 
"01885PSYCHOLOGY ADMIN","701858","3144093","3845951","54393","3900344","-2472637","1427707", , , , , , , , , , , , 
"01886RETROVIROLOGY ADMIN", , , , , , , , , , , , , , , , , , , 
"01887ANCILLARY ADMINISTRATION","1950443","333537","2283980","-1311505","972475","-172778","799697", , , , , , , , , , , , 
"01889FETAL CENTER ADMIN","668141","1184150","1852291","-42796","1809495","-498020","1311475", , , , , , , , , , , , 
"01081COMMUNITY CLINIC ADMIN","67673","12441","80114","965","81079","-533","80546", , , , , , , , , , , , 
"02200I&R SERVICES-OTHER PRGM COSTS A","79787","34801758","34881545","-2174543","32707002","-2156090","30550912", , , , , , , , , , , , 
"03000ADULTS & PEDIATRICS","63041631","22741545","85783176","7644549","93427725","477183","93904908", , , , , , , , , , , , 
"02080PICU","17646082","8983256","26629338","1649354","28278692","-2423587","25855105", , , , , , , , , , , , 
"02060NICU","26940269","10039523","36979792","2045587","39025379","229975","39255354", , , , , , , , , , , , 
"02081CVICU","7285118","3072085","10357203","289487","10646690","-17150","10629540", , , , , , , , , , , , 
"04300NURSERY", , , ,"4528303","4528303", ,"4528303", , , , , , , , , , , , 
"05000OPERATING ROOM","13969906","38181185","52151091","-24289475","27861616","169013","28030629", , , , , , , , , , , , 
"05100RECOVERY ROOM","7459878","2750666","10210544","-250583","9959961","31547","9991508", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","9080566","4610981","13691547","-1710611","11980936","320987","12301923", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","1322854","5091540","6414394","-533520","5880874","50495","5931369", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","8840533","8813065","17653598","-3036938","14616660","187500","14804160", , , , , , , , , , , , 
"05700CT SCAN","1096138","1496268","2592406","-962118","1630288","23041","1653329", , , , , , , , , , , , 
"05800MRI","1547606","3979409","5527015","-3152484","2374531","42485","2417016", , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","1378613","4872707","6251320","-3011670","3239650","-3079","3236571", , , , , , , , , , , , 
"06000LABORATORY","15997740","31054433","47052173","-1470512","45581661","-984834","44596827", , , , , , , , , , , , 
"06200WHOLE BLOOD & PACKED RED BLOOD","2109900","6804333","8914233","-174244","8739989","7335","8747324", , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","11673985","5985329","17659314","-532640","17126674","-342404","16784270", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","8438390","3095415","11533805","-305631","11228174","-504232","10723942", , , , , , , , , , , , 
"06800SPEECH PATHOLOGY","1728485","427353","2155838","12465","2168303","-46072","2122231", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","2203966","2117902","4321868","-837350","3484518","-288627","3195891", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY","3227618","1280516","4508134","-156147","4351987","-12224","4339763", , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT", , , ,"11907335","11907335", ,"11907335", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"12602753","12602753", ,"12602753", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", , , ,"48229312","48229312", ,"48229312", , , , , , , , , , , , 
"07301TAKE HOME DRUGS", , , ,"2879583","2879583", ,"2879583", , , , , , , , , , , , 
"07400RENAL DIALYSIS","2943473","1549169","4492642","-799654","3692988","-141139","3551849", , , , , , , , , , , , 
"03950NUTRITIONAL SUPPORT","2038505","4247102","6285607","-20355","6265252","-41224","6224028", , , , , , , , , , , , 
"03380IMMUNOLOGY","1164975","3402922","4567897","-275683","4292214","-2072465","2219749", , , , , , , , , , , , 
"03951PHERESIS","95076","224325","319401","88570","407971","-23057","384914", , , , , , , , , , , , 
"03952INFUSION CENTER","1165237","551011","1716248","-139892","1576356","68226","1644582", , , , , , , , , , , , 
"03953BONE MARROW TRANSPLANT","335471","4357600","4693071","19018","4712089","-15271","4696818", , , , , , , , , , , , 
"03954FETAL CENTER","868507","484397","1352904","-512408","840496","104242","944738", , , , , , , , , , , , 
"09000CLINIC","21112613","29914181","51026794","-261172","50765622","-18326192","32439430", , , , , , , , , , , , 
"09001HOSPITAL BASED HEALTH CENTERS","10476522","9656988","20133510","-812068","19321442","-83772","19237670", , , , , , , , , , , , 
"09100EMERGENCY","15101823","7349852","22451675","-596268","21855407","-417906","21437501", , , , , , , , , , , , 
"09200OBSERVATION BEDS (NON-DISTINCT", , , , , , , , , , , , , , , , , , , 
"09201OBSERVATION BEDS-DISTINCT","2060241","546946","2607187","-32956","2574231","-3947", , , , , , , , , , , , , 
"09400HOME PROGRAM DIALYSIS","322955","579073","902028","550963","1452991","-527","1452464", , , , , , , , , , , , 
"09500AMBULANCE SERVICES","2788257","4290780","7079037","-103132","6975905","17984","6993889", , , , , , , , , , , , 
"10000I&R SERVICES-NOT APPRVD PRGM", ,"1110476","1110476","-33554","1076922", ,"1076922", , , , , , , , , , , , 
"10500KIDNEY ACQUISITION","311762","467443","779205","-157035","622170","-17026","605144", , , , , , , , , , , , 
"10600HEART ACQUISITION","321255","1030246","1351501","-272044","1079457","-260425","819032", , , , , , , , , , , , 
"10700LIVER ACQUISITION","417220","2113803","2531023","-379184","2151839","-465464","1686375", , , , , , , , , , , , 
"10800LUNG ACQUISITION","339955","1413428","1753383","-263030","1490353","-286122","1204231", , , , , , , , , , , , 
 ,"481118819","794838920","1275957739","-5803495","1270154244","-193345746","1076808498", , , , , , , , , , , , 
"19000GIFT  FLOWER  COFFEE SHOP & CAN","695071","876116","1571187","-147727","1423460","36041","1459501", , , , , , , , , , , , 
"19100RESEARCH", ,"1954323","1954323","685786","2640109", ,"2640109", , , , , , , , , , , , 
"19101RESEARCH - CRC","1329003","333086","1662089","-790760","871329","14403","885732", , , , , , , , , , , , 
"19102RESEARCH - OTHER SPONSORED","287905","757263","1045168","271216","1316384","-3536","1312848", , , , , , , , , , , , 
"19103RESEARCH - DEPARTMENTAL","1916664","15433900","17350564","-2640760","14709804","-2378143","12331661", , , , , , , , , , , , 
"19104RESEARCH - VIVARIUM", ,"757319","757319","-687570","69749", ,"69749", , , , , , , , , , , , 
"19105RESEARCH - VACANT SPACE", , , , , , , , , , , , , , , , , , , 
"19106RESEARCH - CORES","329952","2394151","2724103","-736550","1987553","4676","1992229", , , , , , , , , , , , 
"19107ACADEMIC EDUCATION", ,"589460","589460","1104","590564","-140","590424", , , , , , , , , , , , 
"19108RESEARCH OTH INSTITUTIONAL ACTI", , , , , , , , , , , , , , , , , , , 
"19200PHYSICIANS PRIVATE OFFICES", , , , , , , , , , , , , , , , , , , 
"07950FUNDRAISING","3649532","6971049","10620581","1381712","12002293","-2359856","9642437", , , , , , , , , , , , 
"07951TCP", ,"516928","516928","8435003","8951931","-515386","8436545", , , , , , , , , , , , 
"07952TCF","91814","66994","158808","1750668","1909476", ,"1909476", , , , , , , , , , , , 
"07953TCHP", ,"10778","10778","2709477","2720255", ,"2720255", , , , , , , , , , , , 
"07954AUTISTIC PRESCHOOL", ,"129511","129511","-127251","2260", ,"2260", , , , , , , , , , , , 
"07955OTHER NONREIMBURSABLE","76434","81030","157464","357137","514601", ,"514601", , , , , , , , , , , , 
"07956GUEST SERVICES","4293275","2063373","6356648","-4157366","2199282","21544","2220826", , , , , , , , , , , , 
"07957PEDIATRIC DENTISTRY","268814","273675","542489","-2608","539881","-15308","524573", , , , , , , , , , , , 
"07958LEASED SPACE", , , ,"37268","37268", ,"37268", , , , , , , , , , , , 
"07959VANNIE COOK CLINIC MCALLEN TX","23228","451728","474956","1559","476515","-93920","382595", , , , , , , , , , , , 
"07960INTERNATIONAL SERVICES","424336","3867347","4291683","174233","4465916","-340","4465576", , , , , , , , , , , , 
"07961TELEMEDICINE","171425","85144","256569","-6790","249779", ,"249779", , , , , , , , , , , , 
"07962COMMUNITY INITIATIVES","1436922","1520273","2957195","-1129288","1827907", ,"1827907", , , , , , , , , , , , 
"07963MARKETING","1503800","4786908","6290708","-249221","6041487","-3917811","2123676", , , , , , , , , , , , 
"07964THE CENTER PHARMACY","248704","284399","533103","2761","535864", ,"535864", , , , , , , , , , , , 
"07965MID-LEVEL PRACTICTIONERS","3841921","682011","4523932","-967633","3556299", ,"3556299", , , , , , , , , , , , 
"07966TCWS", , , ,"513920","513920", ,"513920", , , , , , , , , , , , 
"07967COMMUNITY BASED CLINICS","725565","1448784","2174349","-108055","2066294","-314611","1751683", , , , , , , , , , , , 
"07968TCPG", , , ,"1166749","1166749", ,"1166749", , , , , , , , , , , , 
"07969RISE SCHOOL", , , , , , , , , , , , , , , , , , , 
"07970THE CENTER FOR CHILDREN AND WOM","25889","2097","27986","66481","94467", ,"94467", , , , , , , , , , , , 
"07971NOT USED", , , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000A0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000A0[00000])","Entity[572966] Report(A6000A0[00100])", ,"Entity[572966] Report(A6000A0[00300])", ,"Entity[572966] Report(A6000A0[00500])", ,"Entity[572966] Report(A6000A0[00700])", ,"Entity[572966] Report(A6000A0[00900])", , , , , , , , , , 
"COST OF DRUGS SOLD TO PATIENTS","A", ,"73", ,"48542439", ,"15", ,"51422022", , , , , , , , , , 
"COST OF DRUGS SOLD TO PATIENTS","A", ,"73", ,"2879583", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000B0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000B0[00000])","Entity[572966] Report(A6000B0[00100])", ,"Entity[572966] Report(A6000B0[00300])", ,"Entity[572966] Report(A6000B0[00500])", ,"Entity[572966] Report(A6000B0[00700])", ,"Entity[572966] Report(A6000B0[00900])", , , , , , , , , , 
"RECLASS GME EXPENSE","B", ,"100", ,"46322", ,"22", ,"46322", , , , , , , , , , 
"RECLASS GME EXPENSE","B", ,"22", ,"79876", ,"100", ,"79876", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000C0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000C0[00000])","Entity[572966] Report(A6000C0[00100])", ,"Entity[572966] Report(A6000C0[00300])", ,"Entity[572966] Report(A6000C0[00500])", ,"Entity[572966] Report(A6000C0[00700])", ,"Entity[572966] Report(A6000C0[00900])", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", ,"71", ,"1846421", ,"5", ,"51", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", ,"14", ,"1731", ,"5", ,"446", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"6", ,"55", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"13", ,"74783", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"15", ,"366371", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"18", ,"2", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"18", ,"126", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"18", ,"17", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"30", ,"173353", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"31", ,"273105", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"31", ,"164455", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"31", ,"83458", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"43", ,"7435", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"50", ,"81534", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"51", ,"61441", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"52", ,"46488", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"53", ,"77557", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"54", ,"12119", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"59", ,"10290", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"60", ,"66", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"62", ,"325", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"65", ,"1931", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"66", ,"51", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"70", ,"96", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"74", ,"24812", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"76", ,"7", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"76", ,"786", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"76", ,"19635", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"90", ,"217634", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"90", ,"3797", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"91", ,"142337", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"92", ,"3191", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"94", ,"316", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"191", ,"74", , , , , , , , , , 
"COST OF SUPPLIES SOLD TO PATIENTS","C", , , , , ,"194", ,"8", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000D0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000D0[00000])","Entity[572966] Report(A6000D0[00100])", ,"Entity[572966] Report(A6000D0[00300])", ,"Entity[572966] Report(A6000D0[00500])", ,"Entity[572966] Report(A6000D0[00700])", ,"Entity[572966] Report(A6000D0[00900])","Entity[572966] Report(A6000D0[01000])", , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"1", ,"18041975", ,"4", ,"123132","9", , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"1", ,"457856", ,"5", ,"147005","9", , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"1", ,"3990167", ,"5", ,"29181007","9", , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"1", ,"251767", ,"5", ,"4088","9", , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"2", ,"93528981", ,"5", ,"208135","9", , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"194", ,"514625", ,"5", ,"88711", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", ,"194", ,"3358", ,"5", ,"182118", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"93064", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"829815", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"99260", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"5", ,"59700", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"6", ,"1099334", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"7", ,"23979051", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"7", ,"347410", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"7", ,"6966823", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"8", ,"93", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"9", ,"10450348", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"9", ,"5768785", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"9", ,"456602", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"10", ,"459774", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"11", ,"148942", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"13", ,"365915", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"14", ,"1232007", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"15", ,"1019503", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"16", ,"98154", , , , , , , , , , 
