"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[563706] Report(A820010)", ,"Entity[563706] Report(A820010[00100])","Entity[563706] Report(A820010[00200])","Entity[563706] Report(A820010[00300])","Entity[563706] Report(A820010[00400])","Entity[563706] Report(A820010[00500])","Entity[563706] Report(A820010[00600])","Entity[563706] Report(A820010[00700])","Entity[563706] Report(A820010[00800])","Entity[563706] Report(A820010[00900])", , , , , , ,"Entity[563706] Report(A820010[01600])","Entity[563706] Report(A820010[01700])","Entity[563706] Report(A820010[01800])"
"Line(01600)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","671271", ,"671271","177200","3339","284457","14223", , , , , , ,"284457","386814","386814"
"Line(01700)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","867317", ,"867317","177200","5074","432266","21613", , , , , , ,"432266","435051","435051"
"Line(01800)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","4268445", ,"4268445","208000","14463","1446300","72315", , , , , , ,"1446300","2822145","2822145"
"Line(01900)", ,"31","INTENSIVE CARE UNIT","24500", ,"24500","208000","110","11000","550", , , , , , ,"11000","13500","13500"
"Line(02000)", ,"32","CORONARY CARE UNIT","6500", ,"6500","177200","34","2897","145", , , , , , ,"2897","3603","3603"
"Line(02100)", ,"32","CORONARY CARE UNIT","385489", ,"385489","177200","3256","277386","13869", , , , , , ,"277386","108103","108103"
"Line(02200)", ,"41","SUBPROVIDER - IRF","108061", ,"108061","177200","1341","114243","5712", , , , , , ,"114243"
"Line(02300)", ,"50","OPERATING ROOM","151250", ,"151250","208000","819","81900","4095", , , , , , ,"81900","69350","69350"
"Line(02400)", ,"53","ANESTHESIOLOGY","21000", ,"21000","200300","576","55468","2773", , , , , , ,"55468"
"Line(02500)", ,"53","ANESTHESIOLOGY","2283224", ,"2283224","200300","10230","985129","49256", , , , , , ,"985129","1298095","1298095"
"Line(02600)", ,"55","RADIOLOGY-THERAPEUTIC","1305195", ,"1305195","225300","6386","691714","34586", , , , , , ,"691714","613481","613481"
"Line(02700)", ,"69","ELECTROCARDIOLOGY","41250", ,"41250","177200","421","35866","1793", , , , , , ,"35866","5384","5384"
"Line(02800)", ,"69","HEART CATHERIZATION","6750", ,"6750","208000","33","3300","165", , , , , , ,"3300","3450","3450"
"Line(02900)", ,"69","HEART CATHERIZATION","714692", ,"714692","177200","4600","391885","19594", , , , , , ,"391885","322807","322807"
"Line(03000)", ,"69","CARDIO - PULMONARY REHAB","12000", ,"12000","177200","171","14568","728", , , , , , ,"14568"
"Line(03100)", ,"76","ACUTE RENAL DIALYSIS","153527", ,"153527","177200","1628","138693","6935", , , , , , ,"138693","14834","14834"
"Line(03200)", ,"76","CLINICAL GI LAB","308356", ,"308356","177200","3060","260688","13034", , , , , , ,"260688","47668","47668"
"Line(03300)", ,"90","FALK CLINIC","1839444", ,"1839444","165600","21942","1746921","87346", , , , , , ,"1746921","92523","92523"
"Line(03400)", ,"90","KAUFMANN CLINIC","227847", ,"227847","177200","1713","145934","7297", , , , , , ,"145934","81913","81913"
"Line(03500)", ,"90","BENEDUM GERIATRICS","144602", ,"144602","177200","2074","176689","8834", , , , , , ,"176689"
"Line(03600)", ,"90","UPP FAMILY PRACTICE","3894", ,"3894","165600","21","1672","84", , , , , , ,"1672","2222","2222"
"Line(03700)", ,"91","EMERGENCY","981369", ,"981369","177200","5742","489174","24459", , , , , , ,"489174","492195","492195"
"Line(03800)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","592280","592280", , , , , , , , , , , , , ,"592280"
"Line(03900)", ,"5","OTHER ADMIN AND GENERAL","5990461","5990461", , , , , , , , , , , , , ,"5990461"
"Line(04000)", ,"13","NURSING ADMINISTRATION","482784","482784", , , , , , , , , , , , , ,"482784"
"Line(04100)", ,"16","LAB INFORMATION","4675317","4675317", , , , , , , , , , , , , ,"4675317"
"Line(04200)", ,"17","SOCIAL SERVICE","152633","152633", , , , , , , , , , , , , ,"152633"
"Line(04300)", ,"18","CLINICAL SUPPORT","123471","123471", , , , , , , , , , , , , ,"123471"
"Line(04400)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","95729630","95729630", , , , , , , , , , , , , ,"95729630"
"Line(04500)", ,"30","ADULTS & PEDIATRICS","13700","13700", , , , , , , , , , , , , ,"13700"
"Line(04600)", ,"31","INTENSIVE CARE UNIT","17000","17000", , , , , , , , , , , , , ,"17000"
"Line(04700)", ,"32","CORONARY CARE UNIT","321969","321969", , , , , , , , , , , , , ,"321969"
"Line(04800)", ,"41","SUBPROVIDER - IRF","589870","589870", , , , , , , , , , , , , ,"589870"
"Line(04900)", ,"44","SKILLED NURSING FACILITY","40583","40583", , , , , , , , , , , , , ,"40583"
"Line(05000)", ,"50","OPERATING ROOM","1080646","1080646", , , , , , , , , , , , , ,"1080646"
"Line(05100)", ,"53","ANESTHESIOLOGY","40207699","40207699", , , , , , , , , , , , , ,"40207699"
"Line(05200)", ,"55","RADIOLOGY-THERAPEUTIC","388","388", , , , , , , , , , , , , ,"388"
"Line(05300)", ,"65","PULMONARY FUNCTION LAB","23276","23276", , , , , , , , , , , , , ,"23276"
"Line(05400)", ,"66","PHYSICAL THERAPY","479367","479367", , , , , , , , , , , , , ,"479367"
"Line(05500)", ,"69","HEART CATHERIZATION","19086797","19086797", , , , , , , , , , , , , ,"19086797"
"Line(05600)", ,"70","PUH MEG","295728","295728", , , , , , , , , , , , , ,"295728"
"Line(05700)", ,"76","ACUTE RENAL DIALYSIS","103971","103971", , , , , , , , , , , , , ,"103971"
"Line(05800)", ,"90","FALK CLINIC","1007283","1007283", , , , , , , , , , , , , ,"1007283"
"Line(05900)", ,"90","KAUFMANN CLINIC","53468","53468", , , , , , , , , , , , , ,"53468"
"Line(06000)", ,"90","BENEDUM GERIATRICS","106453","106453", , , , , , , , , , , , , ,"106453"
"Line(06100)", ,"90","UPP FAMILY PRACTICE","706256","706256", , , , , , , , , , , , , ,"706256"
"Line(06200)", ,"90","HILLMAN CANCER CENTER","12959456","12959456", , , , , , , , , , , , , ,"12959456"
"Line(06300)", ,"90","OUTPATIENT DENTAL","200","200", , , , , , , , , , , , , ,"200"
"Line(06400)", ,"90","HBC CLINICS","22135953","22135953", , , , , , , , , , , , , ,"22135953"
"Line(06500)", ,"91","EMERGENCY","1090446","1090446", , , , , , , , , , , , , ,"1090446"
"Line(06600)", ,"93","OUTPATIENT DIABETES","37161","37161", , , , , , , , , , , , , ,"37161"
"Line(06700)", ,"5","INFORMATION SYSTEMS","119768", ,"119768","154100","868","64307","3215", , , , , , ,"64307","55461","55461"
"Line(06800)", ,"5","OTHER ADMIN AND GENERAL","1532223", ,"1532223","154100","10809","800801","40040", , , , , , ,"800801","731422","731422"
"Line(06900)", ,"16","MEDICAL RECORDS & LIBRARY","102414", ,"102414","154100","991","73420","3671", , , , , , ,"73420","28994","28994"
"Line(07000)", ,"22","I & R SERVICES OTHER WPIC","3928022", ,"3928022","154100","48207","3571490","178575", , , , , , ,"3571490","356532","356532"
"Line(07100)", ,"40","SUBPROVIDER - IPF","2938691", ,"2938691","154100","31940","2366324","118316", , , , , , ,"2366324","572367","572367"
"Line(07200)", ,"69","WPIC-INTERNAL MEDICINE","386718","335425","51293","154100","432","32005","1600", , , , , , ,"32005","19288","354713"
"Line(07300)", ,"70","ELECTROENCEPHALOGRAPHY","26357","15232","11125","154100","1","74","4", , , , , , ,"74","11051","26283"
"Line(07400)", ,"76","WPIC DEC","1155514", ,"1155514","154100","9425","698266","34913", , , , , , ,"698266","457248","457248"
"Line(07500)", ,"76","WPIC GERIATRICS","277453", ,"277453","154100","3068","227298","11365", , , , , , ,"227298","50155","50155"
"Line(07600)", ,"76","WPIC AYA","747771", ,"747771","154100","9919","734864","36743", , , , , , ,"734864","12907","12907"
"Line(07700)", ,"76","WPIC BEHAVIORAL MED","76720", ,"76720","154100","726","53787","2689", , , , , , ,"53787","22933","22933"
"Line(07800)", ,"76","WPIC D & A","348668", ,"348668","154100","4930","365247","18262", , , , , , ,"365247"
"Line(07900)", ,"76","WPIC SPEC CHILD THERAPY","114931", ,"114931","154100","1262","93497","4675", , , , , , ,"93497","21434","21434"
"Line(08000)", ,"76","WPIC AFF DISORDERS","704943", ,"704943","154100","8581","635737","31787", , , , , , ,"635737","69206","69206"
"Line(08100)", ,"76","WPIC SCHIZOPHRENIA","630152", ,"630152","154100","7220","534905","26745", , , , , , ,"534905","95247","95247"
"Line(08200)", ,"76","WPIC ECT","20864", ,"20864","154100","192","14225","711", , , , , , ,"14225","6639","6639"
"Line(08300)", ,"90","WPIC PSY OUTREACH","324328", ,"324328","154100","2364","175141","8757", , , , , , ,"175141","149187","149187"
"Line(08400)", ,"90","WPIC MEDICAT CLINIC","1854", ,"1854","154100","1","74","4", , , , , , ,"74","1780","1780"
"Line(08500)", ,"90","WPIC HILL SATELLITES","45227", ,"45227","154100","366","27116","1356", , , , , , ,"27116","18111","18111"
"Line(08600)", ,"90","WPIC O/P SATELLITES","134895", ,"134895","154100","1387","102758","5138", , , , , , ,"102758","32137","32137"
"Line(08700)", ,"90","WPIC PRTL PGM ADULT","29966", ,"29966","154100","429","31783","1589", , , , , , ,"31783"
"Line(08800)", ,"90","WPIC PRTL PGM CHILD","156606", ,"156606","154100","1755","130022","6501", , , , , , ,"130022","26584","26584"
"Line(08900)", ,"90","WPIC CACTIS PROGRAM","617022", ,"617022","154100","3766","279010","13951", , , , , , ,"279010","338012","338012"
"Line(09000)", ,"90","WPIC ICM/RC","372460", ,"372460","154100","3490","258562","12928", , , , , , ,"258562","113898","113898"
"Line(09100)", ,"90","WPIC RESIDENTAIL TREATMENT","92865", ,"92865","154100","908","67271","3364", , , , , , ,"67271","25594","25594"
