"\" Hospital specific payments (to be completed by SCH and MDH"," small rural hospitals only  (see instructions)\"","","","","","","","48", , , , , , , , , , , 
" Total payment for inpatient operating costs SCH and MDH only  (see instructions)","","","","","","","49", , , , , , , , , , , , 
"\" Payment for inpatient program capital (from Worksheet L"," Parts I"," II"," as applicable)\"","","","","","","","50", , , , , , , , , 
"\" Exception payment for inpatient program capital (Worksheet L"," Part III)  (see instructions)\"","","","","","","","51", , , , , , , , , , , 
"\" Direct graduate medical education payment (from Worksheet E-4"," line 49)  (see instructions).\"","","","","","","","52", , , , , , , , , , , 
" Nursing and allied health managed care payment","","","","","","","53", , , , , , , , , , , , 
" Special add-on payments for new technologies","","","","","","","54", , , , , , , , , , , , 
"\" Net organ acquisition cost (Worksheet D-4 Part III"," col. 1"," line 69)\"","","","","","","","55", , , , , , , , , , 
"\" Cost of teaching physicians (Worksheet D-5"," Part II"," col. 3"," line 20)\"","","","","","","","56", , , , , , , , , 
" Routine service other pass through costs","","","","","","","57", , , , , , , , , , , , 
"\" Ancillary service other pass through costs Worksheet D"," Part IV"," col. 11 line 200)\"","","","","","","","58", , , , , , , , , , 
" Total (sum of amounts on lines 49 through 58)","","","","","","","59", , , , , , , , , , , , 
" Primary payer payments","","","","","","","60", , , , , , , , , , , , 
" Total amount payable for program beneficiaries (line 59 minus line 60)","","","","","","","61", , , , , , , , , , , , 
" Deductibles billed to program beneficiaries","","","","","","","62", , , , , , , , , , , , 
" Coinsurance billed to program beneficiaries","","","","","","","63", , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","","64", , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","","","65", , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","","66", , , , , , , , , , , , 
" Subtotal (line 61 plus line 65 minus lines 62 and 63) ","","","","","","","67", , , , , , , , , , , , 
" Credits received from manufacturers for replaced devices applicable to MS-DRG  (see instructions)","","","","","","","68", , , , , , , , , , , , 
" Outlier payments reconciliation","","","","","","","69", , , , , , , , , , , , 
"Other adjustments (specify)  (see instructions)","","","","","","","70", , , , , , , , , , , , 
" Amount due provider (line 67 minus lines 68 plus/minus lines 69 & 70)","","","","","","","71", , , , , , , , , , , , 
" Interim payments","","","","","","","72", , , , , , , , , , , , 
" Tentative settlement (for contractor use only) ","","","","","","","73", , , , , , , , , , , , 
" Balance due provider (Program) (lines 71 minus the sum of lines  72  and 73)","","","","","","","74", , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","","75", , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","", , , , , , , , , , , , 
"\" Operating outlier amount from Worksheet E"," Part A line 2\"","","","","","","","90", , , , , , , , , , , 
"\" Capital outlier from Worksheet L"," Part I"," line 2\"","","","","","","","91", , , , , , , , , , 
" Operating outlier reconciliation adjustment amount  (see instructions)","","","","","","","92", , , , , , , , , , , , 
" Capital outlier reconciliation adjustment amount  (see instructions)","","","","","","","93", , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money  (see instructions)","","","","","","","94", , , , , , , , , , , , 
" Time Value of Money for operating expenses  (see instructions)","","","","","","","95", , , , , , , , , , , , 
" Time Value of Money for capital related expenses  (see instructions)","","","","","","","96", , , , , , , , , , , , 
 ,"Entity[572851] Report(E00A18A[00100])","Entity[572851] Report(E00A18A[00200])", , , , , , , , , , , , , , , , , 
 ,"89700788", , , , , , , , , , , , , , , , , , 
 ,"34364222", , , , , , , , , , , , , , , , , , 
 ,"7467663", , , , , , , , , , , , , , , , , , 
 ,"23970787", , , , , , , , , , , , , , , , , , 
 ,"868", , , , , , , , , , , , , , , , , , 
 ,"173", , , , , , , , , , , , , , , , , , 
 ,"173", , , , , , , , , , , , , , , , , , 
 ,"231", , , , , , , , , , , , , , , , , , 
 ,"10", , , , , , , , , , , , , , , , , , 
 ,"183", , , , , , , , , , , , , , , , , , 
 ,"182", , , , , , , , , , , , , , , , , , 
 ,"181", , , , , , , , , , , , , , , , , , 
 ,"182", , , , , , , , , , , , , , , , , , 
 ,"182", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"16016585", , , , , , , , , , , , , , , , , , 
 ,"59", , , , , , , , , , , , , , , , , , 
 ,"16016585", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"24897324", , , , , , , , , , , , , , , , , , 
 , ,"2147483647", , , , , , , , , , , , , , , , , 
 , ,"0", , , , , , , , , , , , , , , , , 
 , ,"24016158", , , , , , , , , , , , , , , , , 
 , ,"6053393", , , , , , , , , , , , , , , , , 
 ,"6053393", , , , , , , , , , , , , , , , , , 
 ,"178499975", , , , , , , , , , , , , , , , , , 
 ,"178499975", , , , , , , , , , , , , , , , , , 
 ,"12294951", , , , , , , , , , , , , , , , , , 
 ,"4832647", , , , , , , , , , , , , , , , , , 
 ,"578903", , , , , , , , , , , , , , , , , , 
 ,"21450", , , , , , , , , , , , , , , , , , 
 ,"12421799", , , , , , , , , , , , , , , , , , 
 ,"1266180", , , , , , , , , , , , , , , , , , 
 ,"872552", , , , , , , , , , , , , , , , , , 
 ,"210788457", , , , , , , , , , , , , , , , , , 
 ,"420410", , , , , , , , , , , , , , , , , , 
 ,"210368047", , , , , , , , , , , , , , , , , , 
 ,"9280468", , , , , , , , , , , , , , , , , , 
 ,"723115", , , , , , , , , , , , , , , , , , 
 ,"3438544", , , , , , , , , , , , , , , , , , 
 ,"2235054", , , , , , , , , , , , , , , , , , 
 ,"1967310", , , , , , , , , , , , , , , , , , 
 ,"202599518", , , , , , , , , , , , , , , , , , 
 ,"-58866", , , , , , , , , , , , , , , , , , 
 ,"-575194", , , , , , , , , , , , , , , , , , 
 ,"201965458", , , , , , , , , , , , , , , , , , 
 ,"3049678", , , , , , , , , , , , , , , , , , 
 ,"198969603", , , , , , , , , , , , , , , , , , 
 ,"-53823", , , , , , , , , , , , , , , , , , 
 ,"4845864", , , , , , , , , , , , , , , , , , 
 ,"7467663", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E00A18B ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
" Medical and other services  (see instructions)","","","","","","1", , , , , , , , , , , , , 
" Medical and other services reimbursed under OPPS  (see instructions).","","","","","","2", , , , , , , , , , , , , 
" PPS payments","","","","","","3", , , , , , , , , , , , , 
" Outlier payment  (see instructions)","","","","","","4", , , , , , , , , , , , , 
" Enter the hospital specific payment to cost ratio  (see instructions)","","","","","","5", , , , , , , , , , , , , 
" Line 2 times line 5","","","","","","6", , , , , , , , , , , , , 
" Sum of lines line 3 plus line 4 divided by line 6","","","","","","7", , , , , , , , , , , , , 
" Transitional corridor payment  (see instructions)","","","","","","8", , , , , , , , , , , , , 
"\" Ancillary service other pass through costs from Worksheet D"," Part IV"," column 13"," line 200\"","","","","","","9", , , , , , , , , , 
" Organ acquisition","","","","","","10", , , , , , , , , , , , , 
" Total cost (sum of lines 1 and 10)  (see instructions)","","","","","","11", , , , , , , , , , , , , 
"COMPUTATION OF LESSER OF COST OR CHARGES","","","","","","", , , , , , , , , , , , , 
"Reasonable charges","","","","","","", , , , , , , , , , , , , 
" Ancillary service charges","","","","","","12", , , , , , , , , , , , , 
"\" Organ acquisition charges (from Worksheet D-4"," Part III"," line 69"," col. 4)\"","","","","","","13", , , , , , , , , , 
" Total reasonable charges (sum of lines 12 and 13)","","","","","","14", , , , , , , , , , , , , 
"Customary charges","","","","","","", , , , , , , , , , , , , 
" Aggregate amount actually collected from patients liable for payment for services on a charge basis","","","","","","15", , , , , , , , , , , , , 
" Amounts that would have been realized from patients liable for payment for services on a charge  ","","","","","","16", , , , , , , , , , , , , 
" basis had such payment been made in accordance with 42 CFR 413.13(e)","","","","","","", , , , , , , , , , , , , 
" Ratio of line 15 to line 16 (not to exceed 1.000000)","","","","","","17", , , , , , , , , , , , , 
" Total customary charges  (see instructions)","","","","","","18", , , , , , , , , , , , , 
" Excess of customary charges over reasonable cost (complete only if line 18 exceeds line 11)  (see instructions)","","","","","","19", , , , , , , , , , , , , 
" Excess of reasonable cost over customary charges (complete only if line 11 exceeds line 18)  (see instructions)","","","","","","20", , , , , , , , , , , , , 
"\" Lesser of cost or charges (line 11 minus line 20)  (for CAH"," see instructions)\"","","","","","","21", , , , , , , , , , , , 
" Interns and residents  (see instructions)","","","","","","22", , , , , , , , , , , , , 
"\" Cost of teaching physicians (see instructions"," 42 CFR 415.160 and CMS Pub. 15-1"," �2148)\"","","","","","","23", , , , , , , , , , , 
"\" Total prospective payment (sum of lines 3"," 4"," 8 and 9)\"","","","","","","24", , , , , , , , , , , 
"COMPUTATION OF REIMBURSEMENT SETTLEMENT","","","","","","", , , , , , , , , , , , , 
" Deductibles and coinsurance  (see instructions)","","","","","","25", , , , , , , , , , , , , 
" Deductibles and Coinsurance relating to amount on line 24  (see instructions)","","","","","","26", , , , , , , , , , , , , 
" Subtotal {(lines 21 and 24 - the sum of lines 25 and 26) plus the sum of lines 22 and 23}  (see instructions)","","","","","","27", , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 50)\"","","","","","","28", , , , , , , , , , , , 
"\" ESRD direct medical education costs (from Worksheet E-4"," line 36)\"","","","","","","29", , , , , , , , , , , , 
" Subtotal (sum of lines 27 through 29)","","","","","","30", , , , , , , , , , , , , 
" Primary payer payments","","","","","","31", , , , , , , , , , , , , 
" Subtotal (line 30 minus line 31)","","","","","","32", , , , , , , , , , , , , 
"ALLOWABLE BAD DEBTS (EXCLUDE BAD DEBTS FOR PROFESSIONAL SERVICES)","","","","",""," ", , , , , , , , , , , , , 
"\" Composite rate ESRD (from Worksheet I-5"," line 11)\"","","","","","","33", , , , , , , , , , , , 
" Allowable bad debts  (see instructions)","","","","","","34", , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","","35", , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","","36", , , , , , , , , , , , , 
"\" Subtotal (sum of lines 32"," 33"," and 34 or 35) (line 35 hospital and subprovider only)\"","","","","","","37", , , , , , , , , , , 
" MSP-LCC reconciliation amount from PS&R","","","","","","38", , , , , , , , , , , , , 
" Other adjustments (specify)  (see instructions)","","","","","","39", , , , , , , , , , , , , 
" Subtotal (line 37 plus or minus lines 39 minus 38)","","","","","","40", , , , , , , , , , , , , 
" Interim payments","","","","","","41", , , , , , , , , , , , , 
" Tentative settlement (for contractors use only)","","","","","","42", , , , , , , , , , , , , 
"\" Balance due provider/program (line 40 minus the sum of lines 41"," and 42) \"","","","","","","43", , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","44", , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"Check applicable box","","  [  ] Hospital     [  ] IPF        [ ] IRF      [  ] Subprovider(Other)        [  ] SNF","","","","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","", , , , , , , , , , , , , 
" Original outlier amount  (see instructions)","","","","","","90", , , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","","91", , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money","","","","","","92", , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","","93", , , , , , , , , , , , , 
" Total (sum of lines 91 and 93)","","","","","","94", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
" SECTION 4030.2)\"","","","","","","","", , , , , , , , , , , , 
"","","","","","","40-587", , , , , , , , , , , , , 
"Entity[572851] Report(E00A18B[00000])","Entity[572851] Report(E00A18B[00100])", , , , , , , , , , , , , , , , , , 
 ,"79158", , , , , , , , , , , , , , , , , , 
 ,"91625359", , , , , , , , , , , , , , , , , , 
 ,"66983551", , , , , , , , , , , , , , , , , , 
 ,"2426891", , , , , , , , , , , , , , , , , , 
 ,"593979", , , , , , , , , , , , , , , , , , 
 ,"79158", , , , , , , , , , , , , , , , , , 
 ,"326081", , , , , , , , , , , , , , , , , , 
 ,"326081", , , , , , , , , , , , , , , , , , 
 ,"246923", , , , , , , , , , , , , , , , , , 
 ,"79158", , , , , , , , , , , , , , , , , , 
 ,"70004421", , , , , , , , , , , , , , , , , , 
 ,"21351", , , , , , , , , , , , , , , , , , 
 ,"13099967", , , , , , , , , , , , , , , , , , 
 ,"56962261", , , , , , , , , , , , , , , , , , 
 ,"2231821", , , , , , , , , , , , , , , , , , 
 ,"59194082", , , , , , , , , , , , , , , , , , 
 ,"15230", , , , , , , , , , , , , , , , , , 
 ,"59178852", , , , , , , , , , , , , , , , , , 
 ,"2658715", , , , , , , , , , , , , , , , , , 
 ,"1728165", , , , , , , , , , , , , , , , , , 
 ,"1208069", , , , , , , , , , , , , , , , , , 
 ,"60907017", , , , , , , , , , , , , , , , , , 
"REBILLING ADJUSTMENT","-36", , , , , , , , , , , , , , , , , , 
 ,"60906981", , , , , , , , , , , , , , , , , , 
 ,"919695", , , , , , , , , , , , , , , , , , 
 ,"58990562", , , , , , , , , , , , , , , , , , 
 ,"996724", , , , , , , , , , , , , , , , , , 
 ,"919713", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E10A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B","", , , , , , , , , , , 
"box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount", , , , , , , , , , , 
"Description","","","","1","2","3","4","", , , , , , , , , , , 
"Total interim payments paid to provider","","","","","","","","1", , , , , , , , , , , 
"\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2", , , , , , , , , , 
"\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","","", , , , , , , , , , 
"List separately each retroactive  ","","","0.01","","","","","3.01", , , , , , , , , , , 
"lump sum adjustment amount based","","","0.02","","","","","3.02", , , , , , , , , , , 
"on subsequent revision of the","","Program to ","0.03","","","","","3.03", , , , , , , , , , , 
"interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04", , , , , , , , , , , 
"Also show date of each payment.","","","0.05","","","","","3.05", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5", , , , , , , , , , 
"","","","0.51","","","","","3.51", , , , , , , , , , , 
"","","Provider to ","0.52","","","","","3.52", , , , , , , , , , , 
"","","Program","0.53","","","","","3.53", , , , , , , , , , , 
"","","","0.54","","","","","3.54", , , , , , , , , , , 
"Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99", , , , , , , , , , , 
"\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4", , , , , , , , , 
"\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","","", , , , , , , , , , 
"and column as appropriate)","","","","","","","","", , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","","", , , , , , , , , , , 
"List separately each tentative settlement","","Program to","0.01","","","","","5.01", , , , , , , , , , , 
"payment after desk review. Also show","","Provider","0.02","","","","","5.02", , , , , , , , , , , 
"date of each payment.","","","0.03","","","","","5.03", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5", , , , , , , , , , 
"","","Provider to ","0.51","","","","","5.51", , , , , , , , , , , 
"","","Program","0.52","","","","","5.52", , , , , , , , , , , 
"Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99", , , , , , , , , , , 
"Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01", , , , , , , , , , , 
"due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02", , , , , , , , , , , 
"Total Medicare program liability (see instructions)","","","","","","","","7", , , , , , , , , , , 
" Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","","", , , , , , , 
"even though total repayment is not accomplished until a later date.","","","","","","","","", , , , , , , , , , , 
"Entity[572851] Report(E10A181[00000])","Entity[572851] Report(E10A181[00100])","Entity[572851] Report(E10A181[00200])","Entity[572851] Report(E10A181[00300])","Entity[572851] Report(E10A181[00400])", , , , , , , , , , , , , , , 
 , ,"199367939", ,"58858489", , , , , , , , , , , , , , , 
 ,"07/10/2013","126288","09/04/2013","175742", , , , , , , , , , , , , , , 
 ,"09/04/2013","524624","07/10/2013","43669", , , , , , , , , , , , , , , 
 , ,"-398336", ,"132073", , , , , , , , , , , , , , , 
 , ,"198969603", ,"58990562", , , , , , , , , , , , , , , 
 , ,"53823", , , , , , , , , , , , , , , , , 
 , ,"198915780", ,"59987286", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E10A182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable box:","","","","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"HEALTH INFORMATION TECHNOLOGY DATA COLLECTION AND CALCULATION","","","","","","","", , , , , , , , , , , , 
"\" Total hospital discharges as defined in AARA �4102 from Wkst S-3"," Part I"," line 14"," column 15\"","","","","","","","1", , , , , , , , , 
"\" Medicare days from Wkst S-3"," Part I"," column 6 sum of lines 1"," 8-12\"","","","","","","","2", , , , , , , , , 
