"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[572851] Report(A820010)", ,"Entity[572851] Report(A820010[00100])","Entity[572851] Report(A820010[00200])","Entity[572851] Report(A820010[00300])","Entity[572851] Report(A820010[00400])","Entity[572851] Report(A820010[00500])","Entity[572851] Report(A820010[00600])","Entity[572851] Report(A820010[00700])","Entity[572851] Report(A820010[00800])","Entity[572851] Report(A820010[00900])", , , , , , ,"Entity[572851] Report(A820010[01600])","Entity[572851] Report(A820010[01700])","Entity[572851] Report(A820010[01800])"
"Line(05500)", ,"60","LABORATORY","6263","6263", ,"177200", , , , , , , , , , , ,"6263"
"Line(05600)", ,"50","OPERATING ROOM","10000", ,"10000","208000","133","13300","665", , , , , , ,"13300"
"Line(05700)", ,"90","PAIN MANAGEMENT","750","750", ,"177200", , , , , , , , , , , ,"750"
"Line(05800)", ,"65","RESPIRATORY THERAPY","848","848", ,"177200", , , , , , , , , , , ,"848"
"Line(05900)", ,"90","SLEEP LAB","2574","2574", ,"177200", , , , , , , , , , , ,"2574"
"Line(06000)", ,"90","WOUND CARE","7203","1176","6027","177200","41","3493","175", , , , , , ,"3493","2534","3710"
"Line(06100)", ,"90","CMC SURGERY","275414","275414", ,"208000", , , , , , , , , , , ,"275414"
"Line(06200)", ,"5","ADMINISTRATIVE & GENERAL","1260","592","668","177200","2973","253277","12664", , , , , , ,"253277", ,"592"
"Line(06300)", ,"5","ADMINISTRATIVE & GENERAL","500340","500340", ,"177200", , , , , , , , , , , ,"500340"
"Line(06400)", ,"90","MENTAL HEALTH O/P CLINIC","3894232","3183516","710716","154100","1863","138023","6901", , , , , , ,"138023","572693","3756209"
"Line(06500)", ,"192","PHYSICIANS PRIVATE OFFICES","297256","297256", ,"154100", , , , , , , , , , , ,"297256"
"Line(06600)", ,"192","PHYSICIANS PRIVATE OFFICES","159831","159831", ,"154100", , , , , , , , , , , ,"159831"
"Line(06700)", ,"90","MENTAL HEALTH O/P CLINIC","83988","83988", ,"154100", , , , , , , , , , , ,"83988"
"Line(06800)", ,"191","RESEARCH","65517","65517", ,"177200", , , , , , , , , , , ,"65517"
"Line(06900)", ,"77","CARDIAC REHABILITATION","19057","19057", ,"177200", , , , , , , , , , , ,"19057"
"Line(07000)", ,"192","PHYSICIANS PRIVATE OFFICES","1344195","1344195", ,"177200", , , , , , , , , , , ,"1344195"
"Line(07100)", ,"90","MENTAL HEALTH O/P CLINIC","2454633","1972632","482001","154100","3494","258858","12943", , , , , , ,"258858","223143","2195775"
"Line(07200)", ,"90","CLINIC - CHILD OP RESP CTR","5815788","3764225","2051563","140600","17279","1167994","58400", , , , , , ,"1167994","883569","4647794"
"Line(07300)", ,"90","CLINIC","1877717","1343812","533905","177200","4077","347329","17366", , , , , , ,"347329","186576","1530388"
"Line(07400)", ,"90","CLINIC - MYERS PARK","136224","114338","21886","165600","592","47132","2357", , , , , , ,"47132", ,"114338"
"Line(07500)", ,"90","CLINIC - MYERS PARK","2229508","1258589","970919","165600","4999","397997","19900", , , , , , ,"397997","572922","1831511"
"Line(07600)", ,"90","CLINIC - NORTHPARK","1664554","1664554", ,"177200", , , , , , , , , , , ,"1664554"
"Line(07700)", ,"90","CLINIC - NORTHPARK","741514","741514", ,"196400", , , , , , , , , , , ,"741514"
"Line(07800)", ,"192","PHYSICIANS PRIVATE OFFICES","455669","455669", ,"208000", , , , , , , , , , , ,"455669"
"Line(07900)", ,"41","SUBPROVIDER - IRF","67195","67195", ,"177200", , , , , , , , , , , ,"67195"
"Line(08000)", ,"90","CLINIC - DENTISTRY","583097","200844","382253","177200","2678","228145","11407", , , , , , ,"228145","154108","354952"
"Line(08100)", ,"91","EMERGENCY","12439652","4427864","8011788","177200","50542","4305790","215290", , , , , , ,"4305790","3705998","8133862"
"Line(08200)", ,"90","CLINIC - MYERS PARK","4124952","1357933","2767019","138700","23786","1586115","79306", , , , , , ,"1586115","1180904","2538837"
"Line(08300)", ,"90","CLINIC - MYERS PARK","5960373","1743517","4216856","165600","26350","2097865","104893", , , , , , ,"2097865","2118991","3862508"
"Line(08400)", ,"91","EMERGENCY-SUBPROVIDER","953825","901366","52459","177200","137","11671","584", , , , , , ,"11671","40788","942154"
"Line(08500)", ,"31","NEONATAL INTENSIVE CARE UNIT","6430994","4154461","2276533","196400","8709","822331","41117", , , , , , ,"822331","1454202","5608663"
"Line(08600)", ,"90","NEUROSCIENCE CLINIC","5153051","4126196","1026855","177200","6448","549320","27466", , , , , , ,"549320","477535","4603731"
"Line(08700)", ,"90","CLINIC - MYERS PARK","2838836","821538","2017298","140600","26905","1818674","90934", , , , , , ,"1818674","198624","1020162"
"Line(08800)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","3749186","3492162","257024","177200","699","59549","2977", , , , , , ,"59549","197475","3689637"
"Line(08900)", ,"192","PHYSICIANS PRIVATE OFFICES","2780791","2704541","76250","208000","338","33800","1690", , , , , , ,"33800","42450","2746991"
"Line(09000)", ,"90","CLINIC - MYERS PARK","175758","175758", ,"177200","52","4430","222", , , , , , ,"4430", ,"175758"
"Line(09100)", ,"90","CMC ORTHOPEDICS","1462859","1086868","375991","177200","819","69773","3489", , , , , , ,"69773","306218","1393086"
"Line(09200)", ,"91","EMERGENCY-SUBPROVIDER","4701776","4680046","21730","154100","98","7260","363", , , , , , ,"7260","14470","4694516"
"Line(09300)", ,"90","CLINIC - MYERS PARK","2291730","877737","1413993","196400","7317","690894","34545", , , , , , ,"690894","723099","1600836"
"Line(09400)", ,"90","CMC SURGERY","4577501","3798546","778955","208000","2135","213500","10675", , , , , , ,"213500","565455","4364001"
"Line(09500)", ,"90","CLINIC - ONCOLOGY","2794240","1869873","924367","196400","4839","456913","22846", , , , , , ,"456913","467454","2337327"
"Line(09600)", ,"90","POST TRANSPLANT CLINIC","1547048","999912","547136","165600","3094","246330","12317", , , , , , ,"246330","300806","1300718"
"Line(09700)", ,"90","CMC SURGERY","2380129","2380129", ,"208000", , , , , , , , , , , ,"2380129"
"Line(09800)", ,"31","INTENSIVE CARE UNIT","4576215","3465668","1110547","165600","3803","302777","15139", , , , , , ,"302777","807770","4273438"
"Line(09900)", ,"31","INTENSIVE CARE UNIT","907776","846404","61372","165600","289","23009","1150", , , , , , ,"23009","38363","884767"
"Line(10000)", ,"90","CLINIC - MYERS PARK","1748966","979793","769173","165600","5340","425146","21257", , , , , , ,"425146","344027","1323820"
"Line(10100)", ,"90","CLINIC - MYERS PARK","1408589","701737","706852","165600","5450","433904","21695", , , , , , ,"433904","272948","974685"
"Line(10200)", ,"5","ADMINISTRATIVE & GENERAL","314975","314975", ,"177200", , , , , , , , , , , ,"314975"
"Line(10300)", ,"90","CLINIC - MYERS PARK","349559","349559", ,"196400", , , , , , , , , , , ,"349559"
"Line(10400)", ,"90","WOMENS INSTITUTE","3389043","2518928","870115","196400","2737","258436","12922", , , , , , ,"258436","611679","3130607"
"Line(10500)", ,"192","PHYSICIANS PRIVATE OFFICES","1694027","1430696","263331","177200","1310","111602","5580", , , , , , ,"111602","151729","1582425"
"Line(10600)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","81894","81894", ,"177200", , , , , , , , , , , ,"81894"
"Line(10700)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","1512","1512", ,"177200", , , , , , , , , , , ,"1512"
"Line(10800)", ,"192","PHYSICIANS PRIVATE OFFICES","78630","67777","10853","154100","2435","180401","9020", , , , , , ,"180401", ,"67777"
"Line(10900)", ,"192","PHYSICIANS PRIVATE OFFICES","1658236","1531413","126823","177200","718","61168","3058", , , , , , ,"61168","65655","1597068"
"Line(11000)", ,"192","PHYSICIANS PRIVATE OFFICES","326686","220513","106173","177200","494","42085","2104", , , , , , ,"42085","64088","284601"
"Line(11100)", ,"90","CLINIC - MYERS PARK","1653723","568534","1085189","177200","3787","322623","16131", , , , , , ,"322623","762566","1331100"
"Line(11200)", ,"90","CLINIC - MYERS PARK","3313094","2588602","724492","177200","3233","275427","13771", , , , , , ,"275427","449065","3037667"
"Line(11300)", ,"50","BONE MARROW TRANSPLANT","619174","390607","228567","140600","1277","86320","4316", , , , , , ,"86320","142247","532854"
"Line(11400)", ,"90","PEDIATRIC AFTER HOURS CLINIC","18835","18835", ,"140600", , , , , , , , , , , ,"18835"
"Line(11500)", ,"90","PEDIATRIC ONCOLOGY","1919350","1258246","661104","140600","4639","313578","15679", , , , , , ,"313578","347526","1605772"
"Line(11600)", ,"30","ADULTS & PEDIATRICS","1824645","1449117","375528","140600","4466","301884","15094", , , , , , ,"301884","73644","1522761"
"Line(11700)", ,"34","PEDIATRIC INTENSIVE CARE UNIT","3392995","2106693","1286302","140600","9005","608703","30435", , , , , , ,"608703","677599","2784292"
"Line(11800)", ,"90","CMC ORTHOPEDICS","1421591","894734","526857","140600","2230","150739","7537", , , , , , ,"150739","376118","1270852"
"Line(11900)", ,"65","RESPIRATORY THERAPY","1481","1481", ,"177200", , , , , , , , , , , ,"1481"
"Line(12000)", ,"90","WOMENS INSTITUTE","2090708","1540979","549729","196400","2132","201310","10066", , , , , , ,"201310","348419","1889398"
"Line(12100)", ,"90","CLINIC - ONCOLOGY","3455387","2125579","1329808","208000","7602","760200","38010", , , , , , ,"760200","569608","2695187"
"Line(12200)", ,"90","CLINIC - MYERS PARK","6618894","1814736","4804158","208000","18961","1896100","94805", , , , , , ,"1896100","2908058","4722794"
"Line(12300)", ,"90","TEEN HEALTH CONNECTION","407301","200294","207007","140600","3046","205898","10295", , , , , , ,"205898","1109","201403"
"Line(12400)", ,"90","CMC SURGERY","4151851","3402936","748915","208000","3178","317800","15890", , , , , , ,"317800","431115","3834051"
"Line(12500)", ,"192","PHYSICIANS PRIVATE OFFICES","1604775","852659","752116","196400","2440","230392","11520", , , , , , ,"230392","521724","1374383"
"Line(12600)", ,"90","CLINIC - MYERS PARK","1833176","1030690","802486","177200","3325","283264","14163", , , , , , ,"283264","519222","1549912"
"Line(12700)", ,"53","ANESTHESIOLOGY","532709", ,"532709","200300","1727","166307","8315", , , , , , ,"166307","366402","366402"
"Line(12800)", ,"23","PARAMED CRNA","61973", ,"61973","200300","201","19356","968", , , , , , ,"19356","42617","42617"
"Line(12900)", ,"60","LABORATORY","275938", ,"275938","215700","634","65747","3287", , , , , , ,"65747","210191","210191"
"Line(13000)", ,"55","RADIOLOGY-THERAPEUTIC","34917", ,"34917","225300","2782","301339","15067", , , , , , ,"301339"
"Line(13100)", ,"54","RADIOLOGY-DIAGNOSTIC","128601", ,"128601","225300","1957","211977","10599", , , , , , ,"211977"
