"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A810000 ","-------------","-------------","-----------",""
"Line(00379)", ,"91","EMERGENCY-PEDIATRIC","HOME OFFICE COST","7889","6221","1668"
"Line(00380)", ,"91","EMERGENCY-MERCY","HOME OFFICE COST","32351","27524","4827"
"Line(00381)", ,"92","OBSERVATION BEDS (DISTINCT PART)","HOME OFFICE COST","29633","19906","9727"
"Line(00382)", ,"92","OBSERVATION BEDS (PSYCH)","HOME OFFICE COST","5519","3729","1790"
"Line(00383)", ,"95","AMBULANCE SERVICES","HOME OFFICE COST","871996","757984","114012"
"Line(00384)", ,"105","KIDNEY ACQUISITION","HOME OFFICE COST","858211","959523","-101312"
"Line(00385)", ,"106","HEART ACQUISITION","HOME OFFICE COST","1561","1374","187"
"Line(00386)", ,"107","LIVER ACQUISITION","HOME OFFICE COST","4390","4206","184"
"Line(00387)", ,"190","GIFT  FLOWER  COFFEE SHOP & CANTEEN","HOME OFFICE COST","39801","45954","-6153"
"Line(00388)", ,"191","RESEARCH","HOME OFFICE COST","1465161","1635445","-170284"
"Line(00389)", ,"192","PHYSICIANS PRIVATE OFFICES","HOME OFFICE COST","1918643","2136191","-217548"
"Line(00390)", ,"192","WOMENS INST BALLANTYNE","HOME OFFICE COST","26039","29398","-3359"
"Line(00391)", ,"194","CAROLINAS REHABILITATION","HOME OFFICE COST","17325","16722","603"
"Line(00392)", ,"194","UNIVERSITY HOSPITAL","HOME OFFICE COST","106209","113888","-7679"
"Line(00393)", ,"194","OTHER NONREIMBURSABLE COST CENTERS","HOME OFFICE COST","281673","299719","-18046"
"Line(00394)", ,"194","MERCY HOSPITAL SOUTH","HOME OFFICE COST","6383","6397","-14"
"Line(00395)", ,"194","UNION REGIONAL MEDICAL CENTER","HOME OFFICE COST","10917","10982","-65"
"Line(00396)", ,"194","DISASTER RELIEF","HOME OFFICE COST","55594","36503","19091"
"Line(00397)", ,"194","UNDERGRAD MEDED","HOME OFFICE COST","12706","13238","-532"
"Line(00398)", ,"194","OTHER NONREIMBURSABLE COST CENTERS","HOME OFFICE COST","94015","104834","-10819"
"Line(00399)", ,"194","LINCOLN HOSPITAL","HOME OFFICE COST","10156","10237","-81"
"Line(00500)", , , , ,"253309272","233075744","20233528"
