"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000G0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000G0)","Entity[572851] Report(A6000G0[00000])","Entity[572851] Report(A6000G0[00100])", ,"Entity[572851] Report(A6000G0[00300])", ,"Entity[572851] Report(A6000G0[00500])", ,"Entity[572851] Report(A6000G0[00700])", ,"Entity[572851] Report(A6000G0[00900])"
"Line(03400)","FILE 300.19 LAB","G", , , , , ,"69", ,"19677"
"Line(03500)","FILE 300.19 LAB","G", , , , , ,"71", ,"1498"
"Line(03600)","FILE 300.19 LAB","G", , , , , ,"74", ,"5035"
"Line(03700)","FILE 300.19 LAB","G", , , , , ,"75", ,"14520"
"Line(03800)","FILE 300.19 LAB","G", , , , , ,"76", ,"14347"
"Line(03900)","FILE 300.19 LAB","G", , , , , ,"77", ,"350"
"Line(04000)","FILE 300.19 LAB","G", , , , , ,"90", ,"29875"
"Line(04100)","FILE 300.19 LAB","G", , , , , ,"90", ,"1714"
"Line(04200)","FILE 300.19 LAB","G", , , , , ,"90", ,"9139"
"Line(04300)","FILE 300.19 LAB","G", , , , , ,"90", ,"106152"
"Line(04400)","FILE 300.19 LAB","G", , , , , ,"90", ,"90878"
"Line(04500)","FILE 300.19 LAB","G", , , , , ,"90", ,"1612"
"Line(04600)","FILE 300.19 LAB","G", , , , , ,"90", ,"35948"
"Line(04700)","FILE 300.19 LAB","G", , , , , ,"90", ,"11544"
"Line(04800)","FILE 300.19 LAB","G", , , , , ,"90", ,"4668"
"Line(04900)","FILE 300.19 LAB","G", , , , , ,"90", ,"29074"
"Line(05000)","FILE 300.19 LAB","G", , , , , ,"90", ,"746"
"Line(05100)","FILE 300.19 LAB","G", , , , , ,"90", ,"69"
"Line(05200)","FILE 300.19 LAB","G", , , , , ,"90", ,"773"
"Line(05300)","FILE 300.19 LAB","G", , , , , ,"90", ,"139714"
"Line(05400)","FILE 300.19 LAB","G", , , , , ,"90", ,"10215"
"Line(05500)","FILE 300.19 LAB","G", , , , , ,"90", ,"2245"
"Line(05600)","FILE 300.19 LAB","G", , , , , ,"90", ,"855"
"Line(05700)","FILE 300.19 LAB","G", , , , , ,"90", ,"225151"
"Line(05800)","FILE 300.19 LAB","G", , , , , ,"90", ,"11"
"Line(05900)","FILE 300.19 LAB","G", , , , , ,"90", ,"232"
"Line(06000)","FILE 300.19 LAB","G", , , , , ,"91", ,"98033"
"Line(06100)","FILE 300.19 LAB","G", , , , , ,"91", ,"77405"
"Line(06200)","FILE 300.19 LAB","G", , , , , ,"91", ,"17183"
"Line(06300)","FILE 300.19 LAB","G", , , , , ,"91", ,"4240"
"Line(06400)","FILE 300.19 LAB","G", , , , , ,"92", ,"13914"
"Line(06500)","FILE 300.19 LAB","G", , , , , ,"92", ,"1590"
"Line(06600)","FILE 300.19 LAB","G", , , , , ,"95", ,"3917"
"Line(06700)","FILE 300.19 LAB","G", , , , , ,"105", ,"84525"
