"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000C0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000C0)","Entity[572851] Report(A6000C0[00000])","Entity[572851] Report(A6000C0[00100])", ,"Entity[572851] Report(A6000C0[00300])", ,"Entity[572851] Report(A6000C0[00500])", ,"Entity[572851] Report(A6000C0[00700])", ,"Entity[572851] Report(A6000C0[00900])"
"Line(02400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"40", ,"2000"
"Line(02500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"41", ,"9889"
"Line(02600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"50", ,"24864825"
"Line(02700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"50", ,"4924"
"Line(02800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"51", ,"34219"
"Line(02900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"52", ,"584166"
"Line(03000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"53", ,"743098"
"Line(03100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"54", ,"2539647"
"Line(03200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"55", ,"19697"
"Line(03300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"56", ,"2857"
"Line(03400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"57", ,"126965"
"Line(03500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"58", ,"4585"
"Line(03600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"59", ,"5646915"
"Line(03700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"60", ,"139902"
"Line(03800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"60", ,"598"
"Line(03900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"65", ,"369956"
"Line(04000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"66", ,"1403"
"Line(04100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"69", ,"3252"
"Line(04200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"74", ,"844130"
"Line(04300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"75", ,"4531146"
"Line(04400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"76", ,"15612"
"Line(04500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"76", ,"1149007"
"Line(04600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"77", ,"7"
"Line(04700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"2597"
"Line(04800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"944"
"Line(04900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"8784"
"Line(05000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"45640"
"Line(05100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"39919"
"Line(05200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"10300"
"Line(05300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"3140"
"Line(05400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"1305"
"Line(05500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"17924"
"Line(05600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"22"
"Line(05700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"60"
"Line(05800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"2523"
"Line(05900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"7648"
"Line(06000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"47590"
"Line(06100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"37523"
"Line(06200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"1823"
"Line(06300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"15428"
"Line(06400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"9844"
"Line(06500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"52038"
"Line(06600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"48"
"Line(06700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"47536"
"Line(06800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"285476"
"Line(06900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"1570"
"Line(07000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"31664"
"Line(07100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"13563"
"Line(07200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"92", ,"11527"
"Line(07300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"92", ,"493"
"Line(07400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"95", ,"4582"
"Line(07500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"105", ,"44455"
"Line(07600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"191", ,"87056"
"Line(07700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"192", ,"76901"
"Line(07800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"192", ,"48"
"Line(07900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"194", ,"280"
"Line(08000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"194", ,"479"
"Line(08100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"76", ,"762710"
"Line(08200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"194", ,"579"
