"07955UNION REGIONAL MEDICAL CENTER","694418","315640","1010058","-125948","884110","-314181","569929", , , , , , , , , , , , 
"07956DISASTER RELIEF","96819","154460","251279","301","251580","-128043","123537", , , , , , , , , , , , 
"07957RETAIL PHARMACY", , , , , , , , , , , , , , , , , , , 
"07958UNDERGRAD MEDED","1586929","277834","1864763","861002","2725765","-680649","2045116", , , , , , , , , , , , 
"07953OTHER NONREIMBURSABLE COST CENT","1128376","529381","1657757","-195120","1462637","-140099","1322538", , , , , , , , , , , , 
"07960LINCOLN HOSPITAL","369466","167429","536895","-53842","483053","-4608","478445", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000A0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000A0[00000])","Entity[572851] Report(A6000A0[00100])", ,"Entity[572851] Report(A6000A0[00300])", ,"Entity[572851] Report(A6000A0[00500])", ,"Entity[572851] Report(A6000A0[00700])", ,"Entity[572851] Report(A6000A0[00900])","Entity[572851] Report(A6000A0[01000])", , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", ,"1", ,"1150633", ,"5", ,"1567462","12", , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", ,"2", ,"1246519", ,"22", ,"32691","12", , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"30", ,"22793", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"31", ,"23175", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"31", ,"20012", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"34", ,"16784", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"41", ,"818", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"50", ,"4196", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"43607", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"39717", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"23803", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"197799", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"5810", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"4035", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"19850", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"9979", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"35587", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"9694", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"14886", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"90", ,"31315", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"91", ,"73167", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"91", ,"40713", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"95", ,"77738", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"192", ,"58773", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"194", ,"86", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"194", ,"7115", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"194", ,"968", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"194", ,"5164", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"194", ,"6026", , , , , , , , , , 
"FILE 300.11 PROPERTY INSURANCE","A", , , , , ,"194", ,"3389", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000B0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000B0[00000])","Entity[572851] Report(A6000B0[00100])", ,"Entity[572851] Report(A6000B0[00300])", ,"Entity[572851] Report(A6000B0[00500])", ,"Entity[572851] Report(A6000B0[00700])", ,"Entity[572851] Report(A6000B0[00900])", , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"4", ,"14685817", ,"5", ,"33988124", , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"7", ,"4141279", , , , , , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"8", ,"1058", , , , , , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"13", ,"9292629", , , , , , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"14", ,"4749066", , , , , , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"30", ,"738930", , , , , , , , , , , , , , 
"FILE 300.12 CORPORATE EXPENSES","B", ,"40", ,"379345", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000C0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000C0[00000])","Entity[572851] Report(A6000C0[00100])", ,"Entity[572851] Report(A6000C0[00300])", ,"Entity[572851] Report(A6000C0[00500])", ,"Entity[572851] Report(A6000C0[00700])", ,"Entity[572851] Report(A6000C0[00900])", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", ,"71", ,"45236750", ,"5", ,"22982", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", ,"71", ,"762710", ,"7", ,"3", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", ,"13", ,"414", ,"14", ,"777754", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"15", ,"30861", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"16", ,"2", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"17", ,"10", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"20", ,"1003", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"22", ,"372", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"23", ,"326", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"23", ,"1794", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"23", ,"1082", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"30", ,"565692", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"31", ,"204293", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"31", ,"170221", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"32", ,"110483", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"32", ,"67925", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"191409", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"291225", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"61060", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"141408", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"208", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"30960", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"15982", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"40", ,"2000", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"41", ,"9889", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"50", ,"24864825", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"50", ,"4924", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"51", ,"34219", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"52", ,"584166", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"53", ,"743098", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"54", ,"2539647", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"55", ,"19697", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"56", ,"2857", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"57", ,"126965", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"58", ,"4585", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"59", ,"5646915", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"60", ,"139902", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"60", ,"598", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"65", ,"369956", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"66", ,"1403", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"69", ,"3252", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"74", ,"844130", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"75", ,"4531146", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"76", ,"15612", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"76", ,"1149007", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"77", ,"7", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"2597", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"944", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"8784", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"45640", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"39919", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"10300", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"3140", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"1305", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"17924", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"22", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"60", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"2523", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"7648", , , , , , , , , , 
