"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report A000000 ","-------------","-------------","-----------",""
"Line(06700)","06700OCCUPATIONAL THERAPY","2613441","494279","3107720","-127653","2980067","-841569","2138498"
"Line(06900)","06900ELECTROCARDIOLOGY","573665","33790","607455","-93891","513564","-39247","474317"
"Line(07000)","07000ELECTROENCEPHALOGRAPHY","1947197","147688","2094885","-170356","1924529","-967118","957411"
"Line(07200)","07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"37902168","37902168","-529844","37372324"
"Line(07300)","07300DRUGS CHARGED TO PATIENTS", , , ,"-303354","-303354", ,"-303354"
"Line(07400)","07400RENAL DIALYSIS","173862","1491140","1665002","-57255","1607747", ,"1607747"
"Line(07500)","07500ASC (NON-DISTINCT PART)","10641404","15693044","26334448","-3130244","23204204","-1420","23202784"
"Line(07501)","07501AMB SURG SAWGRASS OBSOLETE"
"Line(07600)","03996BLANK LINE - NOT USED"
"Line(07601)","03040AUDIOLOGY","1721576","1321279","3042855","-4","3042851","-42","3042809"
"Line(07603)","03160CARDIOPULMONARY","9118907","20847500","29966407","-17604931","12361476","-978583","11382893"
"Line(07605)","03630ULTRASOUND DIAGNOSTIC","2724781","550009","3274790","544469","3819259","-213728","3605531"
"Line(07606)","03480ONCOLOGY","12447384","2093662","14541046","-208142","14332904","-4308366","10024538"
"Line(07608)","03450NUCLEAR MEDICINE - DIAGNOSTIC","591799","1424907","2016706","311296","2328002", ,"2328002"
"Line(07613)","03140CARDIOLOGY"
"Line(07614)","03260ECHOCARDIOGRAPHY","3909233","1215282","5124515","-114043","5010472","-777138","4233334"
"Line(07618)","03330ENDOSCOPY","3511192","2426722","5937914","-992948","4944966","-727356","4217610"
"Line(07631)","03957NUTRITIONAL COUNSELING","498947","2526","501473","-176504","324969","175489","500458"
"Line(07650)","03020ORTHOTIC LAB","858843","1507645","2366488","-73909","2292579","77003","2369582"
"Line(07651)","03390TISSUE TYPING","430508","625627","1056135", ,"1056135", ,"1056135"
"Line(07652)","03952OCCUP HEALTH OBSOLETE"
"Line(07653)","03953SPECIAL PURCHASES", ,"423014","423014","-423014"
"Line(07654)","03550PSYCH ACTIVITIES","170651","21594","192245","32454","224699", ,"224699"
"Line(07655)","03954CEP TESTING","1531252","40055","1571307","-164577","1406730","-589389","817341"
"Line(07656)","0395523 HOUR SHORT STAY", , , ,"935562","935562", ,"935562"
"Line(07657)","03956OTHER"
"Line(07658)","03190SMH MEDICAL ONCOLOGY AT PLUTA","2216532","875030","3091562","-675","3090887","-601911","2488976"
"Line(07659)","03191SMH RADIATION ONCOLOGY AT PLUTA","1628056","984221","2612277","-49723","2562554","-1026364","1536190"
"Line(07698)","07698HYPERBARIC OXYGEN THERAPY","570776","1171352","1742128","-87601","1654527","41467","1695994"
"Line(07699)","07699LITHOTRIPSY","296420","64951","361371","-189616","171755","166247","338002"
"Line(09000)","09000CLINIC","36841504","28875633","65717137","-5945470","59771667","-7802899","51968768"
"Line(09001)","09001ALCOHOL/CHEMICAL DEPENDENCY CLI","805453","30598","836051","69699","905750","-142206","763544"
"Line(09020)","09020MENTAL HEALTH CLINIC","4957941","701106","5659047","1386256","7045303","-1328257","5717046"
"Line(09021)","09021BLANK LINE - NOT USED"
"Line(09025)","09025MNT HLTH PARTIAL HOSP-O/P","1694386","205260","1899646","117517","2017163","-179499","1837664"
"Line(09026)","09026ALL OTHER OMH PROGRAMS-O/P","514995","584065","1099060","-766245","332815","23060","355875"
"Line(09028)","09028MENTAL HEALTH OUTPT ACT PROGRAM","549342","177853","727195","101479","828674","-165667","663007"
"Line(09029)","09029MENTAL HEALTH OUTPT ICM PROGRAM","729580","161440","891020","139185","1030205","-19440","1010765"
"Line(09037)","09037AMBULATORY SURGICAL SERVICE"
"Line(09038)","09038REFERRED AMBULATORY SERVICE"
"Line(09040)","09040METHADONE MAINT TREATMENT PROGR","916170","191268","1107438","100518","1207956","-207367","1000589"
"Line(09042)","09042CANCER TREATMENT SERVICES"
"Line(09044)","09011OTHER"
"Line(09045)","09012OTHER"
"Line(09100)","09100EMERGENCY","17596108","6694650","24290758","-3097654","21193104","-959748","20233356"
"Line(09101)","09101CPEP","4581374","265073","4846447","-77351","4769096","-1636092","3133004"
"Line(09102)","09102POISON CONTROL", ,"7727","7727", ,"7727", ,"7727"
"Line(09200)","09200OBSERVATION BEDS (NON-DISTINCT"
"Line(09202)","09202CPEP OBSERVATION BEDS (PSYCH)", , , ,"86923","86923"
"Line(10500)","10500KIDNEY ACQUISITION","2562669","4206881","6769550","-3433634","3335916","-181310","3154606"
"Line(10600)","10600HEART ACQUISITION","1233682","191527","1425209","-317307","1107902","-29252","1078650"
"Line(10700)","10700LIVER ACQUISITION","1728908","386299","2115207","899278","3014485","-178653","2835832"
"Line(11200)","08600OTHER ORGAN ACQUISITION (SPECIF", , , ,"213220","213220","-1330","211890"
"Line(11800)", ,"485066898","643340497","1128407395","-1769","1128405626","-30073673","1098331953"
"Line(19000)","19000GIFT  FLOWER  COFFEE SHOP & CAN","136277","379782","516059", ,"516059", ,"516059"
"Line(19400)","07950APPEAL FOR FUNDS"
"Line(19402)","07953PHYSICIANS PRIVATE","343199","4052","347251","1769","349020","-15434","333586"
