"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[553807] Report(A820010)", ,"Entity[553807] Report(A820010[00100])","Entity[553807] Report(A820010[00200])","Entity[553807] Report(A820010[00300])","Entity[553807] Report(A820010[00400])","Entity[553807] Report(A820010[00500])","Entity[553807] Report(A820010[00600])","Entity[553807] Report(A820010[00700])","Entity[553807] Report(A820010[00800])","Entity[553807] Report(A820010[00900])", , , , ,"Entity[553807] Report(A820010[01400])","Entity[553807] Report(A820010[01500])","Entity[553807] Report(A820010[01600])","Entity[553807] Report(A820010[01700])","Entity[553807] Report(A820010[01800])"
"Line(03100)", ,"40","SUBPROVIDER - IPF","2383278","1670096","713182","154100","4417","327240","16362", , , , ,"33718","10090","337330","375852","2045948"
"Line(03200)", ,"35","NEONATAL INTENSIVE CARE UNIT","686272","438282","247990","177200","1868","159139","7957", , , , , , ,"159139","88851","527133"
"Line(03300)", ,"90","CLINIC","16735206","12377763","4357443","177200","26350","2244817","112241", , , , ,"414644","107963","2352780","2004663","14382426"
"Line(03400)", ,"91","EMERGENCY","2619453","650530","1968923","177200","10482","892986","44649", , , , ,"39504","29693","922679","1046244","1696774"
"Line(03500)", ,"75","ASC (NON-DISTINCT PART)","71201", ,"71201","208000","378","37800","1890", , , , , , ,"37800","33401","33401"
"Line(03600)", ,"105","KIDNEY ACQUISITION","483584","339558","144026","177200","1048","89282","4464", , , , ,"220","66","89348","54678","394236"
"Line(03700)", ,"90","ALL OTHER OMH PROGRAMS-O/P","69521","21916","47605","154100","480","35562","1778", , , , ,"687","470","36032","11573","33489"
"Line(03800)", ,"90","MNT HLTH PARTIAL HOSP-O/P","181494","107034","74460","154100","617","45711","2286", , , , ,"2813","1154","46865","27595","134629"
"Line(03900)", ,"90","METHADONE MAINT TREATMENT PROGRAM","266440","176739","89701","154100","687","50897","2545", , , , ,"3943","1327","52224","37477","214216"
"Line(04000)", ,"107","LIVER ACQUISITION","238583","62388","176195","208000","942","94200","4710", , , , ,"1228","907","95107","81088","143476"
"Line(04100)", ,"91","CPEP","2017107","1768629","248478","154100","1644","121798","6090", , , , ,"38564","4751","126549","121929","1890558"
"Line(04200)", ,"90","MENTAL HEALTH CLINIC","1233021","1024181","208840","154100","1694","125503","6275", , , , ,"19647","3328","128831","80009","1104190"
"Line(04300)", ,"90","ALCOHOL/CHEMICAL DEPENDENCY CLINIC","173597","126511","47086","154100","365","27042","1352", , , , ,"3113","844","27886","19200","145711"
"Line(04400)", ,"106","HEART ACQUISITION","147921","85757","62164","208000","525","52500","2625", , , , ,"3198","1344","53844","8320","94077"
"Line(04500)", ,"31","PEDIATRIC ICU","1474122","1161815","312307","140600","2355","159189","7959", , , , ,"38575","8172","167361","144946","1306761"
"Line(04600)", ,"90","MENTAL HEALTH OUTPT ACT PROGRAMS","74208","51501","22707","154100","189","14002","700", , , , ,"1614","494","14496","8211","59712"
"Line(04700)", ,"90","MENTAL HEALTH OUTPT ICM PROGRAMS","20137","13308","6829","154100","53","3927","196", , , , ,"329","112","4039","2790","16098"
